bozukluğu	porucha	bozukluk	porucha	N;NOM;SG;3	N;NOM;FEM;SG;POS
denklem	rovnice	denkle	rovnice	N;NOM;SG;3	N;NOM;FEM;SG;POS
fiziği	physique	fizik	physique	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
fiziği	fyzika	fizik	fyzika	N;NOM;SG;3	N;NOM;FEM;SG;POS
egemenlik	svrchovanosti	egemenlik	svrchovanost	N;NOM;SG;3	N;NOM;FEM;SG;POS
egemenlik	svrchovanost	egemenlik	svrchovanost	N;NOM;SG;3	N;NOM;FEM;SG;POS
markası	značka	marka	značka	N;NOM;SG;3	N;NOM;FEM;SG;POS
url	url	url	url	N;NOM;SG;3	N;NOM;NEUT;SG;POS
ahlak	etika	ahlak	etika	N;NOM;SG;3	N;NOM;FEM;SG;POS
ahlak	vice	ahlak	vice	N;NOM;SG;3	N;NOM;MASC;SG;POS
ahlak	morálka	ahlak	morálka	N;NOM;SG;3	N;NOM;FEM;SG;POS
ahlak	morálka	ahlak	morálka	N;NOM;SG;3	N;NOM;FEM;SG;POS
logosu	logo	logo	logo	N;NOM;SG;3	N;NOM;NEUT;SG;POS
işçiler	pracovníci	işçi	pracovník	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
işçiler	dělníci	işçi	dělník	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
işçiler	zaměstnanci	işçi	zaměstnanec	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
görüşmeler	rozhovory	görüşme	rozhovor	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
görüşmeler	výslechy	görüşme	výslech	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
görüşmeler	schůzky	görüşme	schůzka	N;NOM;PL;3	N;NOM;FEM;PL;POS
kalıntılar	ostatky	kalıntı	ostatky	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
kalıntılar	pozůstatky	kalıntı	pozůstatek	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
kalıntılar	rezidua	kalıntı	reziduum	N;NOM;PL;3	N;NOM;NEUT;PL;POS
kalıntılar	zbytky	kalıntı	zbytek	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
kalıntılar	trosky	kalıntı	troska	N;NOM;PL;3	N;NOM;FEM;PL;POS
kalıntılar	ruiny	kalıntı	ruina	N;NOM;PL;3	N;NOM;FEM;PL;POS
kalıntılar	zbytky	kalıntı	zbytek	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
kalıntılar	rezidua	kalıntı	reziduum	N;NOM;PL;3	N;NOM;NEUT;PL;POS
yazıyor	napíše	yaz	napsat	V;PROG;IND;SG;3;POS;INFM;PRS	V;IND;SG;3;POS;PRS;FIN;ACT
şampiyonları	mistři	şampiyon	mistr	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
zincir	řetízek	zincir	řetízek	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
zincir	řetěz	zincir	řetěz	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
zincir	řetězec	zincir	řetězec	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
mekaniği	mechanika	mekanik	mechanika	N;NOM;SG;3	N;NOM;FEM;SG;POS
çerçeve	rámec	çerçev	rámec	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
çerçeve	rámec	çerçev	rámec	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
çerçeve	rám	çerçev	rám	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
çerçeve	rámeček	çerçev	rámeček	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
cadde	ulice	cadde	ulice	N;NOM;SG;3	N;NOM;FEM;SG;POS
disiplin	disciplína	dis	disciplína	N;NOM;SG;3	N;NOM;FEM;SG;POS
disiplin	kázeň	dis	kázeň	N;NOM;SG;3	N;NOM;FEM;SG;POS
çeşitlilik	různorodost	çeşitlilik	různorodost	N;NOM;SG;3	N;NOM;FEM;SG;POS
çeşitlilik	rozmanitost	çeşitlilik	rozmanitost	N;NOM;SG;3	N;NOM;FEM;SG;POS
çeşitlilik	rozmanitosti	çeşitlilik	rozmanitost	N;NOM;SG;3	N;NOM;FEM;SG;POS
çeşitlilik	odrůda	çeşitlilik	odrůda	N;NOM;SG;3	N;NOM;FEM;SG;POS
defteri	sešit	defteri	sešit	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
defteri	zápisník	defteri	zápisník	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
uzaklık	vzdálenost	uzaklık	vzdálenost	N;NOM;SG;3	N;NOM;FEM;SG;POS
uzaklık	odstup	uzaklık	odstup	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
hıristiyanlık	křesťanství	hıristiyanlık	křesťanství	N;NOM;SG;3	N;NOM;NEUT;SG;POS
yöneticiler	manažeři	yönetici	manažer	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
yöneticiler	ředitelé	yönetici	ředitel	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
yöneticiler	správci	yönetici	správce	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
yöneticiler	vládci	yönetici	vládce	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
yöneticiler	správci	yönetici	správce	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
aydınlık	světle	aydınlık	světlo	N;NOM;SG;3	N;NOM;NEUT;SG;POS
aydınlık	světlo	aydınlık	světlo	N;NOM;SG;3	N;NOM;NEUT;SG;POS
aydınlık	jasu	aydınlık	jaso	N;NOM;SG;3	N;NOM;FEM;SG;POS
aydınlık	jas	aydınlık	jas	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
bizanslılar	byzantinci	bizanslı	byzantinec	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
sporcular	sportovci	sporcu	sportovec	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
sporcular	sportovci	sporcu	sportovec	N;NOM;PL;3	N;ANIM;NOM;MASC;PL;POS
arıcılık	včelařství	arıcılık	včelařství	N;NOM;SG;3	N;NOM;NEUT;SG;POS
cihazlar	přístroje	cihaz	přístroj	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
taşıdı	nesl	taşı	nést	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;POS;PST;V.PTCP;ACT
okumak	přečíst	oku	přečíst	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;POS;NFIN
okumak	číst	oku	číst	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;POS;NFIN
okumak	čtu	oku	číst	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;1;POS;PRS;FIN;ACT
uzmanlık	specialita	uzmanlık	specialita	N;NOM;SG;3	N;NOM;FEM;SG;POS
uzmanlık	odbornost	uzmanlık	odbornost	N;NOM;SG;3	N;NOM;FEM;SG;POS
uzmanlık	specializace	uzmanlık	specializace	N;NOM;SG;3	N;NOM;FEM;SG;POS
uzmanlık	specialita	uzmanlık	specialita	N;NOM;SG;3	N;NOM;FEM;SG;POS
uzmanlık	specializace	uzmanlık	specializace	N;NOM;SG;3	N;NOM;FEM;SG;POS
şimdiden	již	şimdiden	již	ADV	ADV
şimdiden	už	şimdiden	už	ADV	ADV
bakanlık	ministerstvo	bakanlık	ministerstvo	N;NOM;SG;3	N;NOM;NEUT;SG;POS
yüzük	kroužek	yüzük	kroužka	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
yüzük	prsten	yüzük	prsten	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
yüzük	prstýnek	yüzük	prstýnek	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
yanlışlıkla	omylem	yanlışlık	omyl	N;INS;SG;3	N;INAN;INS;MASC;SG;POS
üçüncüsü	třetí	üçüncü	třetí	ADJ;NOM;SG;3	ADJ;NOM;MASC;SG
iphone	iphone	iphon	iphona	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
fikirler	stanoviska	fikir	stanovisko	N;NOM;PL;3	N;NOM;NEUT;PL;POS
fikirler	posudky	fikir	posudek	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
fikirler	názory	fikir	názor	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
fikirler	nápady	fikir	nápad	N;NOM;PL;3	N;INAN;NOM;MASC;PL;POS
liderlik	vůdcovství	liderlik	vůdcovství	N;NOM;SG;3	N;NOM;NEUT;SG;POS
liderlik	vedení	liderlik	vedení	N;NOM;SG;3	N;NOM;NEUT;SG;POS
minimum	minimum	minim	minimum	N;NOM;SG;3	N;NOM;NEUT;SG;POS
parametre	parametr	parametre	parametr	N;NOM;SG;3	N;INAN;NOM;MASC;SG;POS
