uma	एक	um	एक	NUM	NUM
dos	डॉस	dos	डॉस	N;MASC;SG	N;NOM;MASC;SG;3
são	हैं	ser	है	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
mas	लेकिन	mas	लेकिन	CONJ	CONJ
mas	मगर	mas	मगर	CONJ	CONJ
discussão	परिचर्चा	discussão	परिचर्चा	N;FEM;SG	N;NOM;FEM;SG;3
discussão	चर्चा	discussão	चर्चा	N;FEM;SG	N;NOM;FEM;SG;3
anos	सालों	ano	साल	N;MASC;PL	N;NOM;MASC;PL;3
anos	वर्षों	ano	वर्ष	N;MASC;PL	N;NOM;MASC;PL;3
cidade	बस्ती	cidade	बस्ती	N;FEM;SG	N;NOM;FEM;SG;3
cidade	नगर	cidade	नगर	N;FEM;SG	N;NOM;MASC;SG;3
cidade	कस्बा	cidade	कस्बा	N;FEM;SG	N;NOM;MASC;SG;3
cidade	शहर	cidade	शहर	N;FEM;SG	N;NOM;MASC;SG;3
cidade	सिटी	cidade	सिटी	N;FEM;SG	N;NOM;FEM;SG;3
cidade	नगर	cidade	नगर	N;FEM;SG	N;NOM;MASC;SG;3
grande	बड़ा	grande	बड़ा	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	बड़ी	grande	बडा	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	विशाल	grande	विशाल	ADJ;MASC;SG	ADJ;NOM
grande	बड़ा	grande	बड़ा	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	बड़ी	grande	बडा	ADJ;MASC;SG	ADJ;NOM;FEM;SG
grande	महान	grande	महान	ADJ;MASC;SG	ADJ
grande	बड़ा	grande	बड़ा	ADJ;MASC;SG	ADJ;NOM;MASC;SG
rio	नदी	rio	नदी	N;MASC;SG	N;NOM;FEM;SG;3
depois	फिर	depois	फिर	ADV	ADV
depois	बाद	depois	बाद	ADV	ADV;NOM;MASC;SG;3
depois	बाद	depois	बाद	ADV	ADV;NOM;MASC;SG;3
estado	स्टेटस	estado	स्टेटस	N;MASC;SG	N;NOM;MASC;SG;3
estado	स्थिति	estado	स्थिति	N;MASC;SG	N;NOM;FEM;SG;3
estado	प्रस्थिति	estado	प्रस्थिति	N;MASC;SG	N;NOM;MASC;SG;3
estado	अवस्था	estado	अवस्था	N;MASC;SG	N;NOM;FEM;SG;3
estado	स्टेट	estado	स्टेट	N;MASC;SG	N;NOM;MASC;SG;3
estado	स्थिति	estado	स्थिति	N;MASC;SG	N;NOM;FEM;SG;3
estado	राज्य	estado	राज्य	N;MASC;SG	N;NOM;MASC;SG;3
estado	हालत	estado	हालत	N;MASC;SG	N;NOM;FEM;SG;3
estado	स्थिति	estado	स्थिति	N;MASC;SG	N;NOM;FEM;SG;3
estado	शर्त	estado	शर्त	N;MASC;SG	N;NOM;FEM;SG;3
estado	कंडीशन	estado	कंडीशन	N;MASC;SG	N;NOM;MASC;SG;3
ano	वर्ष	ano	वर्ष	N;MASC;SG	N;NOM;MASC;SG;3
ano	साल	ano	साल	N;MASC;SG	N;NOM;MASC;SG;3
primeiro	पहले	primeiro	पहले	ADV	ADV;NOM;MASC;SG;3
ligações	कनेक्शन्स	ligação	कनेक्शन्स	N;FEM;PL	N;NOM;MASC;PL;3
ligações	कड़ियाँ	ligação	कड़ी	N;FEM;PL	N;NOM;FEM;PL;3
parte	हिस्से	parte	हिस्सा	N;FEM;SG	N;NOM;MASC;SG;3
