melampaui	transcende	menlampaui	transcend	V;SG;ACT	V;IND;SG;3;PRS;FIN
skema	schema	skema	schemă	N;SG	N;DEF;FEM;SG
skema	schema	skema	schemă	N;SG	N;DEF;FEM;SG
uzbekistan	uzbec	uzbekistan	uzbec	N	N;INDF;MASC;SG
mendefinisikan	defineste	mendefinisikan	definest	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	defineste	mendefinisikan	definest	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	defini	mendefinisikan	defini	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	defineste	mendefinisikan	definest	V;SG;ACT	V;IND;SG;3;PRS;FIN
sumbu	fitil	sumbu	fitil	N;SG	N;INDF;MASC;SG
sumbu	axa	sumbu	axa	N;SG	N;DEF;FEM;SG
sumbu	axa	sumbu	axa	N;SG	N;DEF;FEM;SG
lidah	limba	lidah	limbă	N;SG	N;DEF;FEM;SG
lidah	limba	lidah	limbă	N;SG	N;DEF;FEM;SG
sup	ciorba	sup	ciorbă	N;SG	N;DEF;FEM;SG
sup	supa	sup	supă	N;SG	N;DEF;FEM;SG
sup	ciorba	sup	ciorbă	N;SG	N;DEF;FEM;SG
sup	supa	sup	supă	N;SG	N;DEF;FEM;SG
demam	febra	demam	febră	N;SG	N;DEF;FEM;SG
demam	febra	demam	febră	N;SG	N;DEF;FEM;SG
pengujian	test	penujian	test	N;SG	N;INDF;MASC;SG
pengujian	testul	penujian	test	N;SG	N;DEF;MASC;SG
pengujian	incercarea	penujian	incercare	N;SG	N;DEF;FEM;SG
pengujian	incercare	penujian	incercare	N;SG	N;INDF;FEM;SG
pengujian	testare	penujian	testare	N;SG	N;INDF;FEM;SG
pengujian	testare	penujian	testare	N;SG	N;INDF;FEM;SG
pengujian	testarea	penujian	testare	N;SG	N;DEF;FEM;SG
hilangnya	disparitia	hilang	disparitie	N;SG	N;DEF;FEM;SG
hilangnya	disparitia	hilang	disparitie	N;SG	N;DEF;FEM;SG
hilangnya	disparitie	hilang	disparitie	N;SG	N;INDF;FEM;SG
email	email	email	email	N	N;INDF;MASC;SG
email	emailuri	email	email	N	N;INDF;FEM;PL
sertifikat	certificat	sertifikat	certificat	N;SG	N;INDF;MASC;SG
sertifikat	certificatul	sertifikat	certificat	N;SG	N;DEF;MASC;SG
paralel	paralela	paralel	paralelă	N	N;DEF;FEM;SG
paralel	paralela	paralel	paralelă	N	N;DEF;FEM;SG
kuburan	graves	kuburan	graves	N;SG	N;INDF;MASC;SG
kuburan	cimitirul	kuburan	cimitir	N;SG	N;DEF;MASC;SG
kuburan	cimitir	kuburan	cimitir	N;SG	N;INDF;MASC;SG
kuburan	cimitirul	kuburan	cimitir	N;SG	N;DEF;MASC;SG
kuburan	cimitir	kuburan	cimitir	N;SG	N;INDF;MASC;SG
kuburan	mormant	kuburan	mormant	N;SG	N;INDF;MASC;SG
kuburan	mormant	kuburan	mormant	N;SG	N;INDF;MASC;SG
benih	samanta	benih	samanta	N;SG	N;DEF;FEM;SG
penolakan	respingerea	pentolakan	respingere	N;SG	N;DEF;FEM;SG
penolakan	respingere	pentolakan	respingere	N;SG	N;INDF;FEM;SG
interior	interior	interior	interior	N;SG	N;INDF;MASC;SG
enterprise	intreprindere	enterprise	intreprindere	N	N;INDF;FEM;SG
enterprise	intreprinderea	enterprise	intreprindere	N	N;DEF;FEM;SG
integrasi	integrare	integrasi	integrare	N;SG	N;INDF;FEM;SG
integrasi	integrarea	integrasi	integrare	N;SG	N;DEF;FEM;SG
staff	personalul	staff	personal	N	N;DEF;MASC;SG
staff	staff	staff	staff	N	N;INDF;MASC;SG
output	iesire	output	iesire	N	N;INDF;FEM;SG
output	iesire	output	iesire	N	N;INDF;FEM;SG
output	iesiri	output	iesire	N	N;INDF;FEM;PL
fisiologi	fiziologia	fisiologi	fiziologie	N	N;DEF;FEM;SG
dinamis	dinamic	dinamis	dinamic	ADJ;SG	ADJ;INDF;MASC;SG
animation	animatie	animation	animatie	N	N;INDF;FEM;SG
cacing	viermele	cacing	viermă	N;SG	N;DEF;MASC;SG
cacing	vierme	cacing	viermă	N;SG	N;INDF;MASC;SG
highland	highland	highland	highland	N	N;INDF;MASC;SG
digit	cifra	digit	cifră	N;SG	N;DEF;FEM;SG
digit	cifra	digit	cifră	N;SG	N;DEF;FEM;SG
krim	crema	krim	cremă	N;SG	N;DEF;FEM;SG
krim	smantana	krim	smantana	N;SG	N;DEF;FEM;SG
krim	crem	krim	crem	N;SG	N;INDF;MASC;SG
krim	crema	krim	cremă	N;SG	N;DEF;FEM;SG
cerah	luminos	cerah	luminos	ADJ;SG	ADJ;INDF;MASC;SG
cerah	insorita	cerah	insorit	ADJ;SG	ADJ;DEF;FEM;SG
cerah	insorit	cerah	insori	ADJ;SG	ADJ;INDF;MASC;SG
transformasi	transformarea	transformasi	transformare	N;SG	N;DEF;FEM;SG
transformasi	transformare	transformasi	transformare	N;SG	N;INDF;FEM;SG
kekacauan	haosul	kekacauan	haos	N;SG	N;DEF;MASC;SG
kekacauan	haos	kekacauan	haos	N;SG	N;INDF;MASC;SG
mengenang	amintindu	menkenang	aminti	V;SG;ACT	V;V.MSDR
pilih	selecteaza	pilih	selecteaza	V;SG;ACT	V;IND;SG;3;IPFV;FIN
impor	importul	impor	import	N;SG;ACT	N;DEF;MASC;SG
impor	import	impor	import	N;SG;ACT	N;INDF;MASC;SG
kesan	impresie	kesan	impresie	N;SG	N;INDF;FEM;SG
botol	sticla	botol	sticlă	N;SG	N;DEF;FEM;SG
botol	sticla	botol	sticlă	N;SG	N;DEF;FEM;SG
botol	flacon	botol	flacon	N;SG	N;INDF;MASC;SG
syuting	filmarea	syuting	filmare	N	N;DEF;FEM;SG
syuting	filmare	syuting	filmar	N	N;INDF;FEM;SG
kehancuran	devastare	kehancuran	devastare	N;SG	N;INDF;FEM;SG
kehancuran	ruina	kehancuran	ruină	N;SG	N;DEF;FEM;SG
kehancuran	ruina	kehancuran	ruină	N;SG	N;DEF;FEM;SG
kehancuran	distrugere	kehancuran	distrugere	N;SG	N;INDF;FEM;SG
kehancuran	distrugerea	kehancuran	distrugere	N;SG	N;DEF;FEM;SG
kenangan	memorie	kenangan	memorie	N;SG	N;INDF;FEM;SG
kenangan	memoria	kenangan	memorie	N;SG	N;DEF;FEM;SG
kenangan	amintirea	kenangan	amintire	N;SG	N;DEF;FEM;SG
kenangan	amintire	kenangan	amintire	N;SG	N;INDF;FEM;SG
dam	dam	dam	da		
pukulan	pumn	pukulan	pumn	N;SG	N;INDF;MASC;SG
pukulan	punch	pukulan	punch	N;SG	N;INDF;MASC;SG
romantis	romantism	romantis	romantism	N;SG	N;INDF;MASC;SG
mendatang	viitoare	mendatang	viitor	ADJ;SG	ADJ;INDF;FEM
agregat	agregare	agregat	agregare	N;SG	N;INDF;FEM;SG
perlombaan	rasa	perlombaan	rasă	N;SG	N;DEF;FEM;SG
perlombaan	cursa	perlombaan	cursă	N;SG	N;DEF;FEM;SG
perlombaan	rasa	perlombaan	rasă	N;SG	N;DEF;FEM;SG
perlombaan	cursa	perlombaan	cursă	N;SG	N;DEF;FEM;SG
serigala	lupii	serigala	lupe	N	N;DEF;MASC;PL
serigala	lupi	serigala	lupă	N	N;INDF;MASC;PL
serigala	lup	serigala	lup	N	N;INDF;MASC;SG
serigala	lupul	serigala	lup	N	N;DEF;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INDF;MASC;SG
taksi	taxiul	taksi	taxiu	N;SG	N;DEF;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INDF;MASC;SG
taksi	taxiul	taksi	taxiu	N;SG	N;DEF;MASC;SG
wabah	focar	wabah	focar	N;SG	N;INDF;MASC;SG
wabah	epidemie	wabah	epidemie	N;SG	N;INDF;FEM;SG
wabah	ciuma	wabah	ciumă	N;SG	N;DEF;FEM;SG
wabah	ciuma	wabah	ciumă	N;SG	N;DEF;FEM;SG
wabah	plaga	wabah	plaga	N;SG	N;DEF;FEM;SG
wabah	epidemie	wabah	epidemie	N;SG	N;INDF;FEM;SG
wabah	epidemia	wabah	epidemie	N;SG	N;DEF;FEM;SG
financial	financial	financial	financial	N	N;INDF;MASC;SG
lilin	lumanarea	lilin	lumanare	N;SG	N;DEF;FEM;SG
lilin	lumanare	lilin	lumanar	N;SG	N;INDF;FEM;SG
lilin	ceara	lilin	ceară	N;SG	N;DEF;FEM;SG
lilin	ceara	lilin	ceară	N;SG	N;DEF;FEM;SG
teritorial	teritoriala	teritorial	teritorial	N;SG	N;DEF;FEM;SG
laras	butoi	laras	butoi	N	N;INDF;MASC;SG
akademisi	academica	akademisi	academică	N;SG	N;DEF;FEM;SG
patroli	patrula	patroli	patrulă	N;SG	N;DEF;FEM;SG
patroli	patrula	patroli	patrulă	N;SG	N;DEF;FEM;SG
patroli	patrulare	patroli	patrular	N;SG	N;INDF;FEM;SG
mutlak	absoluta	mutlak	absolut	ADJ;SG	ADJ;DEF;FEM;SG
plasma	plasma	plasma	plasmă	N	N;DEF;FEM;SG
plasma	plasma	plasma	plasmă	N	N;DEF;FEM;SG
produktif	productiv	produktif	productiv	ADJ;SG	ADJ;INDF;MASC;SG
produktif	productiva	produktif	productivă	ADJ;SG	ADJ;DEF;FEM;SG
bandingkan	compara	bandingkan	compara	V;SG;ACT	V;IND;SG;3;IPFV;FIN
bandingkan	compara	bandingkan	compara	V;SG;ACT	V;IND;SG;3;IPFV;FIN
