もの	şeyler	もの	şey	N	N;NOM;PL;3
大学	üniversiteler	大学	üniversite	N	N;NOM;PL;3
大学	üniversitesi	大学	üniversitesi	N	N;NOM;SG;3
大学	üniversiteler	大学	üniversite	N	N;NOM;PL;3
テレビ	televizyon	テレビ	televizyon	N	N;NOM;SG;3
削除	sildim	削除	sil	V	V;PFV;IND;SG;1;POS;PST
削除	silindi	削除	sil	V	V;PFV;IND;SG;3;POS;PST;PASS
削除	silinmiş	削除	sil	V	V;PFV;NFH;IND;SG;3;POS;PST;PASS
削除	kaldırın	削除	kal	V	V;PFV;IMP;PL;2;POS;PRS;CAUS
現在	akıntı	現在	akıntı	N	N;NOM;SG;3
現在	hediye	現在	hedi	N	N;NOM;SG;3
学校	okullar	学校	okul	N	N;NOM;PL;3
学校	okulları	学校	okul	N	N;NOM;PL;3
学校	okula	学校	okul	N	N;DAT;SG;3
学校	okulumuz	学校	okul	N	N;NOM;SG;3
学校	okulu	学校	okul	N	N;NOM;SG;3
これ	bunu	これ	bu	PRO	PRO;ACC;SG;3
でも	ama	でも	ama	CONJ	CONJ
作品	diskografisi	作品	diskografi	N	N;NOM;SG;3
映画	sinema	映画	sine	N	N;NOM;SG;3
映画	sinema	映画	sine	N	N;NOM;SG;3
映画	filim	映画	filim	N	N;NOM;SG;3
映画	filmler	映画	film	N	N;NOM;PL;3
映画	sinema	映画	sine	N	N;NOM;SG;3
監督	direktör	監督	direk	N	N;NOM;SG;3
監督	gözetim	監督	gözet	N	N;NOM;SG;3
鉄道	demiryolları	鉄道	demiryol	N	N;NOM;PL;3
鉄道	demiryolları	鉄道	demiryol	N	N;NOM;PL;3
使用	kullanın	使用	kullan	V	V;PFV;IMP;PL;2;POS;PRS
使用	kullanmak	使用	kullan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
時間	saatleri	時間	saat	N	N;ACC;PL;3
時間	saatler	時間	saat	N	N;NOM;PL;3
時間	zaman	時間	zaman	N	N;NOM;SG;3
時間	süre	時間	süre	N	N;NOM;SG;3
開始	başlayın	開始	başla	V	V;PFV;IMP;PL;2;POS;PRS
開始	başlasın	開始	başla	V	V;PFV;IMP;SG;3;POS;PRS
開始	başlayın	開始	başla	V	V;PFV;IMP;PL;2;POS;PRS
シリーズ	dizi	シリーズ	dizi	N	N;NOM;SG;3
記事	madde	記事	madde	N	N;NOM;SG;3
記事	makale	記事	makale	N	N;NOM;SG;3
記事	hikaye	記事	hika	N	N;NOM;SG;3
記事	hikâyeler	記事	hikuye	N	N;NOM;PL;3
記事	haberler	記事	haber	N	N;NOM;PL;3
記事	öyküler	記事	öykü	N	N;NOM;PL;3
記事	hikayeler	記事	hikaye	N	N;NOM;PL;3
記事	makaleler	記事	makale	N	N;NOM;PL;3
記事	yazılar	記事	yazı	N	N;NOM;PL;3
記事	makale	記事	makale	N	N;NOM;SG;3
選手	oyuncular	選手	oyuncu	N	N;NOM;PL;3
選手	sporcular	選手	sporcu	N	N;NOM;PL;3
しかし	ama	しかし	ama	CONJ	CONJ
研究	çalışmalar	研究	çalış	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
研究	çalışmaları	研究	çalış	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
研究	araştırma	研究	araştır	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
研究	araştırmalar	研究	araştır	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
会話	konuşmalar	会話	konuş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
チーム	ekipler	チーム	ekip	N	N;NOM;PL;3
チーム	takımlar	チーム	takım	N	N;NOM;PL;3
優勝	kazanmak	優勝	kazan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
優勝	kazanıyor	優勝	kazan	V	V;PROG;IND;SG;3;POS;INFM;PRS
作詞	sözleri	作詞	söz	N	N;NOM;PL;3
作詞	sözler	作詞	söz	N	N;NOM;PL;3
国際	international	国際	international	N	N;NOM;SG;3
結果	sonuçlar	結果	sonuç	N	N;NOM;PL;3
結果	sonuçları	結果	sonuç	N	N;ACC;PL;3
アルバム	albümleri	アルバム	albüm	N	N;ACC;PL;3
ゲーム	maç	ゲーム	maç	N	N;NOM;SG;3
ゲーム	maçlar	ゲーム	maç	N	N;NOM;PL;3
ゲーム	oyunlar	ゲーム	oyun	N	N;NOM;PL;3
ゲーム	oyunları	ゲーム	oyun	N	N;ACC;PL;3
問題	problemler	問題	problem	N	N;NOM;PL;3
問題	sorunlar	問題	sorun	N	N;NOM;PL;3
問題	sorunları	問題	sorun	N	N;ACC;PL;3
問題	meseleler	問題	mesele	N	N;NOM;PL;3
問題	sorunlar	問題	sorun	N	N;NOM;PL;3
利用	kullanmak	利用	kullan	V	V;PFV;NOM;IND;POS;PRS;V.MSDR
開発	geliştirme	開発	geliş	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
事業	iş	事業	iş	N	N;NOM;SG;3
情報	bilgi	情報	bilgi	N	N;NOM;SG;3
情報	bilgileri	情報	bilgi	N	N;ACC;PL;3
情報	bilgiler	情報	bilgi	N	N;NOM;PL;3
情報	bilgi	情報	bilgi	N	N;NOM;SG;3
情報	bilgiler	情報	bilgi	N	N;NOM;PL;3
参加	katılın	参加	kat	V	V;PFV;IMP;PL;2;POS;PRS
参加	katılmak	参加	kat	V	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
地域	bölgeler	地域	bölge	N	N;NOM;PL;3
地域	bölgeleri	地域	bölge	N	N;ACC;PL;3
地域	bölgede	地域	bölge	N	N;ESS;SG;3
