まで	tot	まで	tot	ADP	ADP
もの	dingen	もの	dingen	N	N;PL
大学	universiteiten	大学	universiteit	N	N;PL
大学	universiteit	大学	universiteit	N	N;MASC+FEM;SG
大学	college	大学	college	N	N;NEUT;SG
大学	hogeschool	大学	hogeschool	N	N;MASC+FEM;SG
大学	universiteit	大学	universiteit	N	N;MASC+FEM;SG
大学	hogescholen	大学	hogeschool	N	N;PL
大学	colleges	大学	college	N	N;PL
テレビ	televisietoestellen	テレビ	televisietoestel	N	N;PL
テレビ	televisies	テレビ	televisie	N	N;PL
テレビ	televisie	テレビ	televisie	N	N;MASC+FEM;SG
放送	uitgezonden	放送	uitzenden	V	V;V.PTCP
放送	uitzenden	放送	uitzenden	V	V;NFIN
放送	uitzenden	放送	uitzenden	V	V;NFIN
削除	verwijderde	削除	verwijderen	V	V;SG;PST;FIN
削除	geschrapt	削除	schrappen	V	V;V.PTCP
削除	verwijderd	削除	verwijderen	V	V;V.PTCP
削除	gewist	削除	wissen	V	V;V.PTCP
削除	verwijder	削除	verwijder	V	V;SG;PRS;FIN
削除	verwijderen	削除	verwijderen	V	V;NFIN
削除	verwijder	削除	verwijder	V	V;SG;PRS;FIN
削除	verwijderen	削除	verwijderen	V	V;NFIN
削除	doorhalen	削除	doorhaal	V	V;NFIN
学校	scholen	学校	school	N	N;PL
学校	school	学校	school	N	N;MASC+FEM;SG
これ	dit	これ	dit	PRO	PRO;3
これ	deze	これ	deze	PRO	PRO
世界	wereld	世界	wereld	N	N;MASC+FEM;SG
でも	maar	でも	maar	CONJ	CONJ
について	over	について	over	ADP	ADP
作品	discografie	作品	discografie	N	N;MASC+FEM;SG
時代	tijdperk	時代	tijdperk	N	N;NEUT;SG
時代	era	時代	era	N	N;NEUT;SG
映画	filmpje	映画	filmp	N	N;NEUT;SG
映画	film	映画	film	N	N;MASC+FEM;SG
映画	bioscoop	映画	bioscoop	N	N;MASC+FEM;SG
映画	bioscopen	映画	bioscoop	N	N;PL
映画	cinema	映画	cinema	N	N;MASC+FEM;SG
映画	film	映画	film	N	N;MASC+FEM;SG
映画	films	映画	film	N	N;PL
映画	bioscoop	映画	bioscoop	N	N;MASC+FEM;SG
監督	directeur	監督	directeur	N	N;MASC+FEM;SG
監督	director	監督	director	N	N;MASC+FEM;SG
監督	regisseur	監督	regisseur	N	N;MASC+FEM;SG
監督	supervisie	監督	supervisie	N	N;MASC+FEM;SG
監督	toezicht	監督	toezicht	N	N;NEUT;SG
鉄道	spoorweg	鉄道	spoorweg	N	N;MASC+FEM;SG
鉄道	spoorlijnen	鉄道	spoorlijn	N	N;PL
