bedeuten	impliceren	bedeuten	impliceren	V;NFIN	V;NFIN
studieren	studeren	studieren	studeren	V;NFIN	V;NFIN
überführt	veroordeelde	überführen	veroordelen	V;V.PTCP	V;V.PTCP
überführt	veroordeeld	überführen	veroordelen	V;V.PTCP	V;V.PTCP
vierter	vierde	viert	vier	ADJ	ADJ
fordert	oproepen	fordern	oproep	V;IND;SG;3;PRS;FIN	V;NFIN
fordert	noemt	fordern	noemen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
kleidung	jurk	kleidung	jurk	N;NOM;FEM;SG	N;MASC+FEM;SG
kleidung	jurkje	kleidung	jurkje	N;NOM;FEM;SG	N;NEUT;SG
kleidung	kleding	kleidung	kleding	N;NOM;FEM;SG	N;MASC+FEM;SG
kleidung	kledij	kleidung	kledij	N;NOM;FEM;SG	N;MASC+FEM;SG
kleidung	kleding	kleidung	kleding	N;NOM;FEM;SG	N;MASC+FEM;SG
kleidung	kledij	kleidung	kledij	N;NOM;FEM;SG	N;MASC+FEM;SG
unterhält	onderhoudt	unterhalten	onderhouden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
bestattet	begraven	bestatten	begraven	V;V.PTCP	V;V.PTCP
bestattet	bedolven	bestatten	bedelven	V;V.PTCP	V;V.PTCP
geprüft	geverifieerde	prüfen	verifiëren	V;V.PTCP	V;V.PTCP
geprüft	gecontroleerd	prüfen	controleren	V;V.PTCP	V;V.PTCP
geprüft	geverifieerd	prüfen	erifiëren	V;V.PTCP	V;V.PTCP
geprüft	gecontroleerde	prüfen	controleren	V;V.PTCP	V;V.PTCP
geprüft	gecontroleerd	prüfen	controleren	V;V.PTCP	V;V.PTCP
geprüft	getest	prüfen	esten	V;V.PTCP	V;V.PTCP
geprüft	beproefd	prüfen	beproeven	V;V.PTCP	V;V.PTCP
geprüft	geteste	prüfen	esten	V;V.PTCP	V;V.PTCP
geprüft	nagekeken	prüfen	nagekijken	V;V.PTCP	V;V.PTCP
geprüft	gecheckt	prüfen	checken	V;V.PTCP	V;V.PTCP
geprüft	gecontroleerd	prüfen	controleren	V;V.PTCP	V;V.PTCP
geprüft	beoordeeld	prüfen	beoordelen	V;V.PTCP	V;V.PTCP
geprüft	herzien	prüfen	herzien	V;V.PTCP	V;V.PTCP
rückseite	achterste	rückseite	achter	ADJ	ADJ
zugeteilt	toegewezen	zuteilen	toewijzen	V;V.PTCP	V;V.PTCP
zugeteilt	toegewezen	zuteilen	toewijzen	V;V.PTCP	V;V.PTCP
geheimen	geheim	geheimen	geheim	ADJ	ADJ
teilung	partitie	teilung	partitie	N;NOM;FEM;SG	N;MASC+FEM;SG
fremde	vreemden	fremd	vreemde	ADJ;NOM;FEM;PL	ADJ
fremde	vreemde	fremd	vreemd	ADJ;NOM;FEM;PL	ADJ
registriert	geregistreerd	registrieren	registreren	V;V.PTCP	V;V.PTCP
registriert	ingeschreven	registrieren	inschrijven	V;V.PTCP	V;V.PTCP
registriert	geregistreerde	registrieren	registreren	V;V.PTCP	V;V.PTCP
verschwinden	verdwijnen	verschwinden	verdwijnen	V;NFIN	V;PL;PRS;FIN
verschwinden	verdwijnende	verschwinden	verdwijnen	V;NFIN	V;V.PTCP
verschwinden	verdwijnen	verschwinden	verdwijnen	V;NFIN	V;PL;PRS;FIN
verschwinden	verdwijnende	verschwinden	verdwijnen	V;NFIN	V;V.PTCP
verschwinden	verdwijnen	verschwinden	verdwijnen	V;NFIN	V;PL;PRS;FIN
magdalena	magdalena	magdalena	magdalena	N;NOM;FEM;SG	N;MASC+FEM;SG
magdalena	magdalena	magdalena	magdalena	N;NOM;FEM;SG	N;MASC+FEM;SG
spenden	doneren	spenden	doneren	V;NFIN	V;NFIN
republikanischen	republikeinse	republikanisch	republikeins	ADJ;NOM;MASC;PL	ADJ
bestätigen	verifiëren	bestätigen	verifiëren	V;NFIN	V;NFIN
bestätigen	valideren	bestätigen	valideren	V;NFIN	V;NFIN
bestätigen	erken	bestätigen	erk	V;NFIN	V;SG;PRS;FIN
bestätigen	erkennen	bestätigen	erkennen	V;NFIN	V;NFIN
bestätigen	bevestigen	bestätigen	bevestigen	V;NFIN	V;NFIN
bestätigen	bevestig	bestätigen	bevestig	V;NFIN	V;SG;PRS;FIN
scharf	scherp	scharf	scherp	ADJ	ADJ
scharf	scherpe	scharf	scherp	ADJ	ADJ
scharf	pittige	scharf	pittig	ADJ	ADJ
scharf	pikant	scharf	pikant	ADJ	ADJ
scharf	pittig	scharf	pittig	ADJ	ADJ
vermittelt	bemiddelde	vermitteln	bemiddelen	V;V.PTCP	V;SG;PST;FIN
vermittelt	overgebracht	vermitteln	overbrengen	V;V.PTCP	V;V.PTCP
frisch	vers	frisch	vers	ADJ	ADJ
frisch	fris	frisch	fris	ADJ	ADJ
dokument	document	dokument	document	N;NOM;NEUT;SG	N;NEUT;SG
kette	halsketting	kett	halsketting	N;NOM;FEM;SG	N;MASC+FEM;SG
kette	ketting	kett	ketting	N;NOM;FEM;SG	N;MASC+FEM;SG
kette	halssnoer	kett	halssnoer	N;NOM;FEM;SG	N;NEUT;SG
kette	ketting	kett	ketting	N;NOM;FEM;SG	N;MASC+FEM;SG
moderner	modern	modern	modern	ADJ	ADJ
moderner	moderne	modern	modern	ADJ	ADJ
schicht	laag	schechen	laag	ADJ	ADJ
offizieller	officiële	offiziell	officeel	ADJ	ADJ
offizieller	officieel	offiziell	officieel	ADJ	ADJ
bewaffneten	bewapend	bewaffnet	bewapenen	V;IND;PL;3;PST;FIN	V;V.PTCP
bewaffneten	gewapend	bewaffnet	wapenen	V;IND;PL;3;PST;FIN	V;V.PTCP
bewaffneten	gewapende	bewaffnet	gewapend	V;IND;PL;3;PST;FIN	V;V.PTCP
etablierte	opgericht	etablieren	oprichten	V;IND;SG;3;PST;FIN	V;V.PTCP
etablierte	gevestigde	etablieren	vestigen	V;IND;SG;3;PST;FIN	V;V.PTCP
etablierte	gevestigd	etablieren	vestigen	V;IND;SG;3;PST;FIN	V;V.PTCP
gefangenen	gevangene	gefangen	vangen	V;IND;PL;3;FIN	V;V.PTCP
gefangenen	gevangenen	gefangen	vangen	V;IND;PL;3;FIN	V;V.PTCP
gefangenen	gevangenen	gefangen	vangen	V;IND;PL;3;FIN	V;V.PTCP
gefangenen	gedetineerden	gefangen	detineren	V;IND;PL;3;FIN	V;V.PTCP
sank	verzonken	sinken	verzinken	V;IND;SG;3;PST;FIN	V;V.PTCP
sank	gezonken	sinken	zinken	V;IND;SG;3;PST;FIN	V;V.PTCP
sank	zonk	sinken	zinken	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
sank	gezonken	sinken	zinken	V;IND;SG;3;PST;FIN	V;V.PTCP
lateinische	latijnse	lateinisch	Latijns	ADJ;NOM;FEM;PL	ADJ
lateinische	latijns	lateinisch	latijn	ADJ;NOM;FEM;PL	ADJ
abbau	afbraak	Abbau	afbraak	N	N;MASC+FEM;SG
abbau	degradatie	Abbau	degradatie	N	N;MASC+FEM;SG
abbau	ontmanteling	Abbau	ontmanteling	N	N;MASC+FEM;SG
strategie	strategie	strategie	strategie	N;SG	N;MASC+FEM;SG
strategie	strategie	strategie	strategie	N;SG	N;MASC+FEM;SG
fragt	vraagt	fragen	vraag	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
fragt	gevraagd	fragen	vraag	V;IND;SG;3;PRS;FIN	V;V.PTCP
ausscheiden	aftreden	ausscheiden	aftreden	V;NFIN	V;NFIN
zeitgenössische	hedendaags	zeitgenössisch	hedendaags	ADJ;NOM;FEM;PL	ADJ
zeitgenössische	hedendaagse	zeitgenössisch	hedendaags	ADJ;NOM;FEM;PL	ADJ
zeitgenössische	eigentijdse	zeitgenössisch	eigentijds	ADJ;NOM;FEM;PL	ADJ
zeitgenössische	eigentijds	zeitgenössisch	eigentijds	ADJ;NOM;FEM;PL	ADJ
neueren	nieuwere	neu	nieuw	ADJ	ADJ;CMPR
neueren	nieuwer	neu	nieuwer	ADJ	ADJ;CMPR
publikation	publicatie	publikation	publicatie	N;NOM;FEM;SG	N;MASC+FEM;SG
publikation	publikatie	publikation	publikatie	N;NOM;FEM;SG	N;MASC+FEM;SG
publikation	bekendmaking	publikation	bekendmaking	N;NOM;FEM;SG	N;MASC+FEM;SG
fremden	vreemden	fremd	vreemde	ADJ	ADJ
fremden	vreemde	fremd	vreemd	ADJ	ADJ
ernsthaft	ernstig	ernsthaft	ernstig	ADJ	ADJ
ernsthaft	ernstige	ernsthaft	ernstig	ADJ	ADJ
ernsthaft	serieuze	ernsthaft	serieus	ADJ	ADJ
ernsthaft	serieus	ernsthaft	serieus	ADJ	ADJ
ernsthaft	serieus	ernsthaft	serieus	ADJ	ADJ
rief	riep	rufen	roepen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rief	riep	rufen	roepen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rief	schreeuwde	rufen	schreeuwen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rief	belde	rufen	bellen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rief	genoemd	rufen	noemen	V;IND;SG;3;PST;FIN	V;V.PTCP
rief	gebeld	rufen	bellen	V;IND;SG;3;PST;FIN	V;V.PTCP
rief	huilde	rufen	huilen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rief	riep	rufen	roepen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
entlassung	lozing	entlassung	lozing	N;NOM;FEM;SG	N;MASC+FEM;SG
entlassung	ontslag	entlassung	ontslag	N;NOM;FEM;SG	N;NEUT;SG
siebten	zevende	siebt	zeven	ADJ;NOM;MASC;SG	ADJ
grob	ruwe	grob	ruw	ADJ	ADJ
grob	grof	grob	grof	ADJ	ADJ
grob	ruw	grob	ruw	ADJ	ADJ
grob	ruig	grob	ruig	ADJ	ADJ
grob	ruw	grob	ruw	ADJ	ADJ
grob	ruwe	grob	ruw	ADJ	ADJ
grob	ruwweg	grob	ruwweg	ADJ	ADJ
grob	grof	grob	grof	ADJ	ADJ
technischer	technische	technisch	technisch	ADJ	ADJ
technischer	technisch	technisch	technisch	ADJ	ADJ
merkmal	karakteristiek	merkmal	karakteristiek	ADJ	ADJ
orthodoxen	orthodoxe	orthodox	orthodox	ADJ	ADJ
orthodoxen	orthodox	orthodox	orthodox	ADJ	ADJ
epoche	tijdperk	epoch	tijdperk	N;SG	N;NEUT;SG
verwiesen	gerefereerd	verweisen	refereren	V;V.PTCP	V;V.PTCP
verwiesen	verdreven	verweisen	verdrijven	V;V.PTCP	V;V.PTCP
verwiesen	weggestuurd	verweisen	wegsturen	V;V.PTCP	V;V.PTCP
verwiesen	uitgezet	verweisen	uitzetten	V;V.PTCP	V;V.PTCP
verwiesen	doorverwezen	verweisen	doorverwezen	V;V.PTCP	V;V.PTCP
benannten	aangeduide	benennen	aanduiden	V;PL;FIN	V;V.PTCP
benannten	aangeduid	benennen	aanduiden	V;PL;FIN	V;V.PTCP
benannten	aangewezen	benennen	aanwijzen	V;PL;FIN	V;V.PTCP
wertung	waardering	wertung	waardering	N;FEM;SG	N;MASC+FEM;SG
wertung	rating	wertung	rating	N;FEM;SG	N;MASC+FEM;SG
