vsebovala	zawierał	vsebovati	zawierać	V;IPFV;FEM;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
predsednica	przewodniczący	predsednica	przewodniczący	N;NOM;FEM;SG	N;NOM;MASC;SG
predsednica	prezes	predsednica	prezes	N;NOM;FEM;SG	N;NOM;MASC;SG
predsednica	prezydent	predsednica	prezydent	N;NOM;FEM;SG	N;NOM;MASC;SG
shranjevanje	przechowywanie	shranjevanje	przechowywać	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	magazynowanie	shranjevanje	magazynowanie	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	uratowanie	shranjevanje	uratować	N;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	oszczędność	shranjevanje	oszczędność	N;NOM;NEUT;SG	N;NOM;FEM;SG
shranjevanje	ratowanie	shranjevanje	ratować	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	zapisywanie	shranjevanje	zapisywać	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	składowanie	shranjevanje	składowanie	N;NOM;NEUT;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	magazyn	shranjevanje	magazyn	N;NOM;NEUT;SG	N;NOM;MASC;SG
shranjevanje	przechowywanie	shranjevanje	przechowywać	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
shranjevanje	magazynowanie	shranjevanje	magazynowanie	N;NOM;NEUT;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
zdravniki	lekarze	zdravnik	lekarz	N;NOM;MASC;PL	N;NOM;MASC;PL
zdravniki	lekarze	zdravnik	lekarz	N;NOM;MASC;PL	N;NOM;MASC;PL
zdravniki	doktorzy	zdravnik	doktorzyć	N;NOM;MASC;PL	N;NOM;MASC;PL
veri	wiara	vera	wiara	N;NOM;FEM;SG	N;NOM;FEM;SG
hudi	poważna	hud	poważny	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
hudi	poważne	hud	poważny	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
sedmi	siódmy	sedmi	siódmy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
sedmi	siódma	sedmi	siódmy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
piramide	piramidy	piramid	piramida	N;NOM;FEM;PL	N;NOM;FEM;PL
piramide	piramidy	piramid	piramida	N;NOM;FEM;PL	N;NOM;FEM;PL
biolog	biolog	biolog	biolog	N;NOM;MASC;SG	N;NOM;MASC;SG
gerald	gerald	gerald	gerald	N;NOM;MASC;SG	N;NOM;MASC;SG
