kuzu	羔羊	kuz	羔羊		
bağlılık	忠心	bağlılık	忠心	N;NOM;SG;3	N
bağlılık	忠誠	bağlılık	忠誠	N;NOM;SG;3	N
bağlılık	奉獻	bağlılık	奉獻	N;NOM;SG;3	N
çiftçilik	農耕	çiftçilik	農耕	N;NOM;SG;3	N
çiftçilik	耕作	çiftçilik	耕作	N;NOM;SG;3	N
çiftçilik	務	çiftçilik	務	N;NOM;SG;3	N
çiftçilik	農業	çiftçilik	農業	N;NOM;SG;3	N
ihtiyaçları	需求	ihtiyaç	需求	N;NOM;PL;3	N
fiyatı	價	fiyat	價	N;ACC;SG;3	N
fiyatı	價錢	fiyat	價錢	N;ACC;SG;3	N
fiyatı	價格	fiyat	價格	N;ACC;SG;3	N
bakmak	尋找	bak	尋找	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
çocukluğu	童年	çocukluk	童年	N;NOM;SG;3	N
uzlaşma	調解	uzlaş	調解	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
kâr	利潤	kâr	利潤		
kâr	利潤	kâr	利潤		
mühendisleri	工程	mühendis	工程	N;ACC;PL;3	N
ortaklık	附屬	ortaklık	附屬	N;NOM;SG;3	N
döngüsü	環	döngü	環	N;NOM;SG;3	N
döngüsü	迴圈	döngü	迴圈	N;NOM;SG;3	N
döngüsü	週期	döngü	週期	N;NOM;SG;3	N
döngüsü	迴圈	döngü	迴圈	N;NOM;SG;3	N
eğilimi	傾向	eğ	傾向	N;ACC;SG;3	N
sergiler	展覽	sergi	展覽	N;NOM;PL;3	N
sergiler	展覽	sergi	展覽	N;NOM;PL;3	N
sergiler	展覽	sergi	展覽	N;NOM;PL;3	N
sergiler	展品	sergi	展品	N;NOM;PL;3	N
dışarıda	外部	dışarı	外部	N;ESS;SG;3	N
dışarıda	室外	dışarı	室外	N;ESS;SG;3	N
dışarıda	外面	dışarı	外面	N;ESS;SG;3	N
dışarıda	外	dışarı	外	N;ESS;SG;3	N
manzara	風景	manzara	風景	N;NOM;SG;3	N
manzara	景觀	manzara	景觀	N;NOM;SG;3	N
manzara	風景	manzara	風景	N;NOM;SG;3	N
manzara	景觀	manzara	景觀	N;NOM;SG;3	N
sitede	網站	site	網站	N;ESS;SG;3	N
sitede	工地	site	工地	N;ESS;SG;3	N
düğünler	婚禮	düğün	婚禮	N;NOM;PL;3	N
bileşenleri	元件	bileş	元件	N;ACC;PL;3	N
valilik	省長	valilik	省長	N;NOM;SG;3	N
valilik	總督	valilik	總督	N;NOM;SG;3	N
valilik	州	valilik	州	N;NOM;SG;3	N
kil	黏土	kil	黏土		
kil	粘土	kil	粘土		
binaların	建築	bina	建築	N;GEN;PL;3	N
valentine	情人	valent	情人	N;NOM;SG;3	N
şampiyona	錦標	şampiyon	錦標	N;DAT;SG;3	N
şampiyona	錦標	şampiyon	錦標	N;DAT;SG;3	N
tükenmiş	精疲	tüken	精疲	V;PFV;NFH;IND;POS;PST;V.PTCP	V
tükenmiş	用盡	tüken	用盡	V;PFV;NFH;IND;POS;PST;V.PTCP	V
hipotez	假設	hipotez	假設	N;NOM;SG;3	N
hipotez	假說	hipotez	假說	N;NOM;SG;3	N
çorba	湯	çorb	湯	N;NOM;SG;3	N
suçlar	罪行	suç	罪行	N;NOM;PL;3	N
suçlar	犯罪	suç	犯罪	N;NOM;PL;3	N
suçlar	犯罪	suç	犯罪	N;NOM;PL;3	N
koku	聞	koku	聞		
kırılma	突破	kır	突破	V;PFV;NOM;IMP;POS;PRS;PASS	V
kırılma	打破	kır	打破	V;PFV;NOM;IMP;POS;PRS;PASS	V
ayakları	英尺	ayak	英尺	N;NOM;PL;3	N
ayakları	腳	ayak	腳	N;NOM;PL;3	N
davranışı	行為	davranış	行為	N;ACC;SG;3	N
birleştirme	合併	birleş	合併	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
birleştirme	合併	birleş	合併	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
birleştirme	結合	birleş	結合	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
birleştirme	統一	birleş	統一	V;PFV;IMP;SG;2;NEG;PRS;CAUS	V
sloganı	座右	slogan	座右	N;ACC;SG;3	N
sloganı	箴言	slogan	箴言	N;ACC;SG;3	N
sloganı	格言	slogan	格言	N;ACC;SG;3	N
uzatma	延伸	uza	延伸	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
uzatma	擴展	uza	擴展	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
uzatma	延長	uza	延長	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
uzatma	延期	uza	延期	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
derinlik	深度	derinlik	深度	N;NOM;SG;3	N
derinlik	深度	derinlik	深度	N;NOM;SG;3	N
kazanç	盈利	kazanç	盈利	N;NOM;SG;3	N
kazanç	營利	kazanç	營利	N;NOM;SG;3	N
kazanç	增益	kazanç	增益	N;NOM;SG;3	N
kazanç	收益	kazanç	收益	N;NOM;SG;3	N
kazanç	收入	kazanç	收入	N;NOM;SG;3	N
denklemleri	方程	denklem	方程	N;ACC;PL;3	N
denklemleri	方程	denklem	方程	N;ACC;PL;3	N
dinin	宗教	din	宗教	N;GEN;SG;3	N
dinin	宗教	din	宗教	N;GEN;SG;3	N
paradise	天堂	paradise	天堂	N;NOM;SG;3	N
paradise	樂園	paradise	樂園	N;NOM;SG;3	N
öncelik	優先	öncelik	優先	N;NOM;SG;3	N
hokeyi	曲棍	hoke	曲棍	N;NOM;SG;3	N
hokeyi	冰球	hoke	冰球	N;NOM;SG;3	N
sahneler	風景	sahne	風景	N;NOM;PL;3	N
sahneler	場景	sahne	場景	N;NOM;PL;3	N
uygulanabilir	適用	uygula	適用	V;IPFV;POT;SG;3;POS;PASS	V
bakımı	維護	bakım	維護	N;NOM;SG;3	N
iddialar	債權	iddia	債權	N;NOM;PL;3	N
eczacılık	藥房	eczacılık	藥房	N;NOM;SG;3	N
eczacılık	藥劑	eczacılık	藥劑	N;NOM;SG;3	N
eczacılık	藥店	eczacılık	藥店	N;NOM;SG;3	N
havayolları	航空	havayol	航空	N;NOM;PL;3	N
havayolları	航空	havayol	航空	N;NOM;PL;3	N
havayolları	航空	havayol	航空	N;NOM;PL;3	N
havayolları	航空	havayol	航空	N;NOM;PL;3	N
kullanın	利用	kullan	利用	V;PFV;IMP;PL;2;POS;PRS	V
kullanın	使用	kullan	使用	V;PFV;IMP;PL;2;POS;PRS	V
çıktılar	產出	çık	產出	V;PFV;IND;PL;3;POS;PST	V
eşitliği	平等	eşitlik	平等	N;ACC;SG;3	N
seyrek	難得	seyrek	難得		
rich	富	rich	富		
tablolar	圖表	tablo	圖表	N;NOM;PL;3	N
tablolar	油畫	tablo	油畫	N;NOM;PL;3	N
tablolar	繪畫	tablo	繪畫	N;NOM;PL;3	N
tarihler	日期	tarih	日期	N;NOM;PL;3	N
düğüm	結	düğüm	結		
düzenlemeleri	安排	düzenle	安排	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
creek	溪	creek	溪	N;NOM;SG;3	N
kayalar	岩	kaya	岩	N;NOM;PL;3	N
kayalar	岩石	kaya	岩石	N;NOM;PL;3	N
gerçeklik	現實	gerçeklik	現實	N;NOM;SG;3	N
gerçeklik	現實	gerçeklik	現實	N;NOM;SG;3	N
arayüzü	介面	arayüz	介面	N;ACC;SG;3	N
forumu	論壇	foru	論壇	N;NOM;SG;3	N
hedefleri	目標	hedef	目標	N;NOM;PL;3	N
kanallar	頻道	kanal	頻道	N;NOM;PL;3	N
kanallar	渠道	kanal	渠道	N;NOM;PL;3	N
kanallar	運河	kanal	運河	N;NOM;PL;3	N
acımasız	殘酷	acımasız	殘酷	ADJ	ADJ
acımasız	殘酷	acımasız	殘酷	ADJ	ADJ
acımasız	殘忍	acımasız	殘忍	ADJ	ADJ
hemşire	護士	hemşire	護士	N;NOM;SG;3	N
yapraklar	樹葉	yap	樹葉	N;NOM;PL;3	N
yapraklar	葉子	yap	葉子	N;NOM;PL;3	N
fazladan	多餘	fazladan	多餘	ADV	ADV
elbise	禮服	elbise	禮服	N;NOM;SG;3	N
elbise	裙	elbise	裙	N;NOM;SG;3	N
elbise	裙子	elbise	裙子	N;NOM;SG;3	N
elbise	禮服	elbise	禮服	N;NOM;SG;3	N
elbise	服裝	elbise	服裝	N;NOM;SG;3	N
elbise	衣物	elbise	衣物	N;NOM;SG;3	N
elbise	衣服	elbise	衣服	N;NOM;SG;3	N
kestane	栗子	kestan	栗子	N;NOM;SG;3	N
kestane	栗子	kestan	栗子	N;NOM;SG;3	N
kestane	栗色	kestan	栗色	N;NOM;SG;3	N
yürüyen	散步	yürü	散步	V;PFV;IND;POS;PRS;V.PTCP	V
yürüyen	行走	yürü	行走	V;PFV;IND;POS;PRS;V.PTCP	V
yürüyen	走路	yürü	走路	V;PFV;IND;POS;PRS;V.PTCP	V
tüp	管	tüp	管		
ilanı	宣言	ilan	宣言	N;ACC;SG;3	N
güvercin	鴿	güvercin	鴿	N;NOM;SG;3	N
güvercin	鴿子	güvercin	鴿子	N;NOM;SG;3	N
güvercin	鴿	güvercin	鴿	N;NOM;SG;3	N
güvercin	鴿子	güvercin	鴿子	N;NOM;SG;3	N
güvercin	鴿	güvercin	鴿	N;NOM;SG;3	N
güvercin	鴿子	güvercin	鴿子	N;NOM;SG;3	N
meyveler	漿果	meyve	漿果	N;NOM;PL;3	N
meyveler	果實	meyve	果實	N;NOM;PL;3	N
meyveler	水果	meyve	水果	N;NOM;PL;3	N
meyveler	果	meyve	果	N;NOM;PL;3	N
meyveler	果實	meyve	果實	N;NOM;PL;3	N
meyveler	水果	meyve	水果	N;NOM;PL;3	N
görünüşü	外觀	görünüş	外觀	N;NOM;SG;3	N
görünüşü	外表	görünüş	外表	N;NOM;SG;3	N
görünüşü	外貌	görünüş	外貌	N;NOM;SG;3	N
havuzu	撞球	havuz	撞球	N;NOM;SG;3	N
havuzu	池	havuz	池	N;NOM;SG;3	N
havuzu	游泳	havuz	游泳	N;NOM;SG;3	N
havuzu	泳池	havuz	泳池	N;NOM;SG;3	N
faktörü	因子	faktörü	因子	N;ACC;SG;3	N
faktörü	因數	faktörü	因數	N;ACC;SG;3	N
öldürme	殺害	öl	殺害	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V
çamur	黏土	çamur	黏土		
çamur	粘土	çamur	粘土		
memleketi	家鄉	memleket	家鄉	N;NOM;SG;3	N
memleketi	故鄉	memleket	故鄉	N;NOM;SG;3	N
sürümleri	版本	sürüm	版本	N;ACC;PL;3	N
sıkıntılar	煩惱	sıkıntı	煩惱	N;NOM;PL;3	N
azalan	降	azal	降		
sunmak	呈現	sun	呈現	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
göstergesi	指標	gösterge	指標	N;NOM;SG;3	N
kıyafet	服裝	kıyafet	服裝	N;NOM;SG;3	N
kıyafet	衣物	kıyafet	衣物	N;NOM;SG;3	N
kıyafet	衣服	kıyafet	衣服	N;NOM;SG;3	N
kıyafet	裝備	kıyafet	裝備	N;NOM;SG;3	N
kıyafet	服裝	kıyafet	服裝	N;NOM;SG;3	N
kıyafet	衣物	kıyafet	衣物	N;NOM;SG;3	N
kıyafet	衣服	kıyafet	衣服	N;NOM;SG;3	N
girdiler	投入	gir	投入	V;PFV;IND;PL;3;POS;PST	V
çekilme	撤回	çek	撤回	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	V
tüneli	地道	tüneli	地道	N;ACC;SG;3	N
tüneli	隧道	tüneli	隧道	N;ACC;SG;3	N
davranışlar	行為	davranış	行為	N;NOM;PL;3	N
davranışlar	行為	davranış	行為	N;NOM;PL;3	N
davranışlar	行為	davranış	行為	N;NOM;PL;3	N
demiryolları	鐵路	demiryol	鐵路	N;NOM;PL;3	N
demiryolları	鐵路	demiryol	鐵路	N;NOM;PL;3	N
demiryolları	鐵道	demiryol	鐵道	N;NOM;PL;3	N
bakteriler	細菌	bakter	細菌	N;NOM;PL;3	N
içecek	喝	iç	喝	V;PFV;IND;POS;FUT	V
içecek	喝酒	iç	喝酒	V;PFV;IND;POS;FUT	V
anal	肛交	anal	肛交		
ocean	大洋	ocean	大洋	N;NOM;SG;3	N
ocean	洋	ocean	洋	N;NOM;SG;3	N
ocean	海洋	ocean	海洋	N;NOM;SG;3	N
ocean	海	ocean	海	N;NOM;SG;3	N
çizgiler	線	çizgi	線	N;NOM;PL;3	N
çizgiler	線	çizgi	線	N;NOM;PL;3	N
çizgiler	花臉	çizgi	花臉	N;NOM;PL;3	N
çizgiler	條紋	çizgi	條紋	N;NOM;PL;3	N
mülkiyet	地產	mülkiyet	地產	N;NOM;SG;3	N
mülkiyet	屬性	mülkiyet	屬性	N;NOM;SG;3	N
mülkiyet	財產	mülkiyet	財產	N;NOM;SG;3	N
mülkiyet	物業	mülkiyet	物業	N;NOM;SG;3	N
tramvay	電車	tramvay	電車	N;NOM;SG;3	N
tramvay	電車	tramvay	電車	N;NOM;SG;3	N
tramvay	電車	tramvay	電車	N;NOM;SG;3	N
tramvay	電車	tramvay	電車	N;NOM;SG;3	N
seçeneği	選項	seçenek	選項	N;NOM;SG;3	N
romanlar	小說	roman	小說	N;NOM;PL;3	N
tedarik	採購	tedarik	採購	N;NOM;SG;3	N
şiddeti	暴力	şiddet	暴力	N;NOM;SG;3	N
çalışanları	僱員	çalışan	僱員	N;ACC;PL;3	N
çalışanları	員工	çalışan	員工	N;ACC;PL;3	N
survivor	生	survivor	生	N;NOM;SG;3	N
döviz	貨幣	döviz	貨幣	N;NOM;SG;3	N
döviz	幣值	döviz	幣值	N;NOM;SG;3	N
döviz	外匯	döviz	外匯	N;NOM;SG;3	N
döviz	交流	döviz	交流	N;NOM;SG;3	N
yakalanan	抓到	yakala	抓到	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
yakalanan	被	yakala	被	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PASS
kayıpları	虧損	kayıp	虧損	N;ACC;PL;3	N
kayıpları	損失	kayıp	損失	N;ACC;PL;3	N
içeriğe	內容	içerik	內容	N;DAT;SG;3	N
pilav	大米	pilav	大米	N;NOM;SG;3	N
pilav	米	pilav	米	N;NOM;SG;3	N
pilav	米飯	pilav	米飯	N;NOM;SG;3	N
pilav	飯	pilav	飯	N;NOM;SG;3	N
böcekler	昆蟲	böcek	昆蟲	N;NOM;PL;3	N
böcekler	蟲子	böcek	蟲子	N;NOM;PL;3	N
böcekler	臭蟲	böcek	臭蟲	N;NOM;PL;3	N
unsurlar	元素	unsur	元素	N;NOM;PL;3	N
unsurlar	要件	unsur	要件	N;NOM;PL;3	N
yakınlığı	親近	yakınlık	親近	N;NOM;SG;3	N
enlem	緯度	enlem	緯度	N;NOM;SG;3	N
korosu	合唱	koro	合唱	N;NOM;SG;3	N
korosu	合唱	koro	合唱	N;NOM;SG;3	N
korosu	合唱	koro	合唱	N;NOM;SG;3	N
private	隱私	privat	隱私	N;NOM;SG;3	N
private	私營	privat	私營	N;NOM;SG;3	N
namaz	禱告	namaz	禱告	N;NOM;SG;3	N
namaz	禱告	namaz	禱告	N;NOM;SG;3	N
hisse	股票	hisse	股票	N;NOM;SG;3	N
hisse	存貨	hisse	存貨	N;NOM;SG;3	N
hisse	庫存	hisse	庫存	N;NOM;SG;3	N
