से	no	से	no		
एक	viens	एक	viens	NUM	NUM;NOM;MASC;SG
एक	viena	एक	viena	NUM	NUM;NOM;FEM;SG
एक	vienu	एक	viens	NUM	NUM;ACC;MASC;SG
श्रेणी	kategorija	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
श्रेणी	sērija	श्रेणी	sērija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भी	pat	भी	pat	PART	PART
भी	arī	भी	arī	PART	PART
किया	paveikts	कर	paveikt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
किया	darīts	कर	darīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
किया	izdarīts	कर	izdarīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
कि	ka	कि	ka		
रूप	forma	रूप	forma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूप	izskats	रूप	izskats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नहीं	ne	नहीं	ne	PART;NEG	PART
नहीं	nē	नहीं	nē	PART;NEG	PART
गया	aizgāja	जा	aiziet	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
गया	devās	जा	doties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
गया	gāja	जा	iet	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
साथ	kopā	साथ	kopā	ADV;NOM;MASC;SG;3	ADV
बाद	vēlāk	बाद	vēlu	ADV;NOM;MASC;SG;3	ADV;CMPR
अपने	tavas	अपना	tava	PRO;NOM;MASC	PRO;NOM;FEM;PL;3
अपने	tavs	अपना	tavs	PRO;NOM;MASC	PRO;NOM;MASC;SG;3
अपने	tava	अपना	tava	PRO;NOM;MASC	PRO;NOM;FEM;SG;3
था	tika	था	tikt	V;MASC;IND;SG;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
राज्य	valsts	राज्य	valsts	N;NOM;MASC;SG;3	N;NOM;FEM;SG
राज्य	štats	राज्य	štats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बाहरी	ārējais	बाहरी	ārējs	ADJ;NOM	ADJ;NOM;MASC;SG
बाहरी	ārējā	बाहरी	ārēja	ADJ;NOM	ADJ;NOM;FEM;SG
बाहरी	ārējais	बाहरी	ārējs	ADJ;NOM	ADJ;NOM;MASC;SG
बाहरी	ārējs	बाहरी	ārējs	ADJ;NOM	ADJ;NOM;MASC;SG
बाहरी	ārējā	बाहरी	ārēja	ADJ;NOM	ADJ;NOM;FEM;SG
ईसा	jēzus	ईसा	jēzs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सरकार	valdība	सरकार	valdība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कड़ियाँ	ķēdes	कड़ी	ķēde	N;NOM;FEM;PL;3	N;NOM;FEM;PL
कड़ियाँ	saites	कड़ी	saite	N;NOM;FEM;PL;3	N;NOM;FEM;PL
प्रदेश	reģions	प्रदेश	reģions	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दिया	dots	दे	dot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
दिया	dota	दे	dot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
दिया	iedeva	दे	iedot	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
वर्ष	gads	वर्ष	gads	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समय	laiks	समय	laiks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नाम	vārds	नाम	vārds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नाम	nosaukums	नाम	nosaukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रकार	tips	प्रकार	tips	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रकार	veids	प्रकार	veids	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	teritorija	क्षेत्र	teritorija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्र	platība	क्षेत्र	platība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्र	apgabals	क्षेत्र	apgabals	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	laukums	क्षेत्र	laukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्र	reģions	क्षेत्र	reģions	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारण	pamatojums	कारण	pamatojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारण	iemesls	कारण	iemesls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कारण	cēlonis	कारण	cēlonis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पहले	agrāk	पहले	agrāk	ADV;NOM;MASC;SG;3	ADV
पहले	vispirms	पहले	vispirms	ADV;NOM;MASC;SG;3	ADV
दो	divas	दो	divas	NUM	NUM;NOM;FEM;PL
दो	divus	दो	divi	NUM	NUM;ACC;MASC;PL
दो	divi	दो	divi	NUM	NUM;NOM;MASC;PL
जिला	rajons	जिला	rajons	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जिला	apgabals	जिला	apgabals	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जन्म	dzimšanas	जन्म	dzimšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लेकिन	bet	लेकिन	bet	CONJ	CONJ
लेकिन	taču	लेकिन	taču	CONJ	CONJ
कहा	teica	कह	teikt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
कहा	pateikts	कह	pateikt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
लोग	cilveki	लोग	cilveks	N;NOM;MASC;PL;3	N;NOM;MASC;PL
लोग	cilvēki	लोग	cilvēks	N;NOM;MASC;PL;3	N;NOM;MASC;PL
प्राचीन	primitīvi	प्राचीन	primitīvi	ADJ;NOM	ADJ;NOM;MASC;PL
प्राचीन	senas	प्राचीन	sena	ADJ;NOM	ADJ;NOM;FEM;PL
