daha	更	daha	更	ADV	ADV
sonra	然後	sonra	然後	ADV	ADV
sonra	那麼	sonra	那麼	ADV	ADV
sonra	後	sonra	後	ADV	ADV
ilk	首先	ilk	首先		
yer	地點	yer	地點	N;NOM;SG;3	N
yer	場地	yer	場地	N;NOM;SG;3	N
yer	會場	yer	會場	N;NOM;SG;3	N
yer	地方	yer	地方	N;NOM;SG;3	N
yer	地點	yer	地點	N;NOM;SG;3	N
yer	位置	yer	位置	N;NOM;SG;3	N
yer	地點	yer	地點	N;NOM;SG;3	N
gibi	讚	gibi	讚		
bağlantılar	人脈	bağlantı	人脈	N;NOM;PL;3	N
center	中心	center	中心	N;NOM;SG;3	N
yeni	新	yeni	新	ADJ	ADJ
her	每個	her	每個	DET	DET
her	每	her	每	DET	DET
aynı	相同	aynı	相同	ADJ	ADJ
madde	實質	madde	實質	N;NOM;SG;3	N
madde	物質	madde	物質	N;NOM;SG;3	N
madde	條款	madde	條款	N;NOM;SG;3	N
madde	物料	madde	物料	N;NOM;SG;3	N
madde	材質	madde	材質	N;NOM;SG;3	N
madde	材料	madde	材料	N;NOM;SG;3	N
sağlık	醫療	sağlık	醫療	N;NOM;SG;3	N
sağlık	醫務	sağlık	醫務	N;NOM;SG;3	N
sağlık	醫學	sağlık	醫學	N;NOM;SG;3	N
sağlık	健康	sağlık	健康	N;NOM;SG;3	N
sağlık	保健	sağlık	保健	N;NOM;SG;3	N
adı	名字	ad	名字	N;NOM;SG;3	N
adı	名稱	ad	名稱	N;NOM;SG;3	N
adı	姓名	ad	姓名	N;NOM;SG;3	N
toplam	終生	toplam	終生		
önce	首先	önce	首先		
üniversitesi	大學	üniversitesi	大學	N;NOM;SG;3	N
ekim	十月	ekim	十月		
ekim	十月	ekim	十月		
zaman	時光	zaman	時光	N;NOM;SG;3	N
zaman	時間	zaman	時間	N;NOM;SG;3	N
aralık	區間	aralık	區間	N;NOM;SG;3	N
aralık	間歇	aralık	間歇	N;NOM;SG;3	N
