ennuste	پیشگوئی	ennuste	پیشگوئی	N;NOM;SG	N;NOM;FEM;SG;3
ikivanha	قدیم	iki#vanha	قدیم	ADJ;NOM;SG	ADJ
elektroni	برقیہ	elektroni	برقیہ	N;NOM;SG	N;NOM;MASC;SG;3
nappula	پیدل	nappula	پیدل	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	تشکیل	toimi#paikka	تشکیل	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	تاسیس	toimi#paikka	تاسیس	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	مہربانی	toimi#paikka	مہربانی	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	عہدہ	toimi#paikka	عہدہ	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	مہربانی	toimi#paikka	مہربانی	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	دفتر	toimi#paikka	دفتر	N;NOM;SG	N;NOM;MASC;SG;3
toimipaikka	عہدہ	toimi#paikka	عہدہ	N;NOM;SG	N;NOM;MASC;SG;3
solidaarisuus	اتحاد	solidaarisuus	اتحاد	N;NOM;SG	N;NOM;MASC;SG;3
tyhmä	احمقانہ	tyhmä	احمقانہ	ADJ;NOM;SG	ADJ
tyhmä	احمقانہ	tyhmä	احمقانہ	ADJ;NOM;SG	ADJ
dynaaminen	فعال	dynaaminen	فعال	ADJ;NOM;SG	ADJ
altis	موافق	altis	موافق	ADJ;NOM;SG	ADJ
risteys	تقاطع	risteys	تقاطع	N;NOM;SG	N;NOM;MASC;SG;3
vaarallisten	خطرناک	vaarallinen	خطرناک	ADJ;GEN;PL	ADJ
rauhallista	پُرسکون.	rauhallinen	پُرسکون.	ADJ;PRT;SG	ADJ
altistuminen	انکشاف	altistuminen	انکشاف	N;NOM;SG	N;NOM;MASC;SG;3
naama	چہرہ	naama	چہرہ	N;NOM;SG	N;NOM;MASC;SG;3
naama	شناخت	naama	شناخت	N;NOM;SG	N;NOM;MASC;SG;3
naama	چہرہ	naama	چہرہ	N;NOM;SG	N;NOM;MASC;SG;3
naama	رُخ	naama	رُخ	N;NOM;SG	N;NOM;MASC;SG;3
naama	شناخت	naama	شناخت	N;NOM;SG	N;NOM;MASC;SG;3
naama	شکل	naama	شکل	N;NOM;SG	N;NOM;MASC;SG;3
pimeää	ناخواندہ	pimeä	ناخواندہ	ADJ;PRT;SG	ADJ
pimeää	افسردہ	pimeä	افسردہ	ADJ;PRT;SG	ADJ
pimeää	رنجیدہ	pimeä	رنجیدہ	ADJ;PRT;SG	ADJ
pimeää	نامعلوم	pimeä	نامعلوم	ADJ;PRT;SG	ADJ
pimeää	نابلد	pimeä	نابلد	ADJ;PRT;SG	ADJ
pimeää	پراسرار	pimeä	پراسرار	ADJ;PRT;SG	ADJ
pimeää	تاریکی	pimeä	تاریکی	ADJ;PRT;SG	ADJ
näkö	منظر	tämä	منظر	N;NOM;SG	N;NOM;MASC;SG;3
näkö	منظر	tämä	منظر	N;NOM;SG	N;NOM;MASC;SG;3
näkö	نظر	tämä	نظر	N;NOM;SG	N;NOM;MASC;SG;3
näkö	نظر	tämä	نظر	N;NOM;SG	N;NOM;MASC;SG;3
hoikka	چھوٹا	hoikka	چھوٹا	ADJ;NOM;SG	ADJ;NOM;MASC;SG
hoikka	تیز	hoikka	تیز	ADJ;NOM;SG	ADJ
hoikka	مختصر	hoikka	مختصر	ADJ;NOM;SG	ADJ
hoikka	کمزور	hoikka	کمزور	ADJ;NOM;SG	ADJ
hoikka	ہلکے	hoikka	ہلکا	ADJ;NOM;SG	ADJ;NOM;MASC;SG
hoikka	کمزور	hoikka	کمزور	ADJ;NOM;SG	ADJ
hoikka	ہلکے	hoikka	ہلکا	ADJ;NOM;SG	ADJ;NOM;MASC;SG
