starania	snahy	starać	snaha	N;NOM;NEUT;PL	N;NOM;FEM;PL
nieznany	neznámy	nieznany	neznámy	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nieznany	neznáme	nieznany	neznámy	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
nieznany	neznáma	nieznany	neznámy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
elektryczny	elektrická	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
elektryczny	elektrický	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
elektryczny	elektrické	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
elektryczny	elektrický	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG
elektryczny	elektrická	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
elektryczny	elektrické	elektryczny	elektrický	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
publikacja	uverejnenie	publikacja	uverejnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	uverejňovanie	publikacja	uverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	publikácia	publikacja	publikácia	N;NOM;FEM;SG	N;NOM;FEM;SG
publikacja	zverejnenie	publikacja	zverejnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	zverejňovanie	publikacja	zverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	vydávanie	publikacja	vydávanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	publikovanie	publikacja	publikovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	zverejnenie	publikacja	zverejnenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikacja	uverejňovanie	publikacja	uverejňovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
