jako	जैसे	jako	जैसे	CONJ	CONJ
ale	लेकिन	ale	लेकिन	CONJ	CONJ
ale	मगर	ale	मगर	CONJ	CONJ
odkazy	कड़ियाँ	odkaz	कड़ी	N;INAN;NOM;MASC;PL;POS	N;NOM;FEM;PL;3
externí	बाहरी	externí	बाहरी	ADJ;NOM;MASC;SG;POS	ADJ;NOM
team	टीम	team	टीम	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
team	टोली	team	टोली	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG;3
první	प्रथम	první	प्रथम	ADJ;NOM;MASC;SG	ADJ
první	पहली	první	पहला	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
první	पहला	první	पहला	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
místo	जगह	místo	जगह	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
místo	स्थान	místo	स्थान	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
místo	प्लेस	místo	प्लेस	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
místo	लोकेशन	místo	लोकेशन	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
místo	अवस्थिति	místo	अवस्थिति	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
místo	स्थान	místo	स्थान	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
století	शतक	století	शतक	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG;3
století	शताब्दी	století	शताब्दी	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG;3
další	अगला	další	अगला	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
pak	फिर	pak	फिर	ADV	ADV
jen	सिर्फ	jen	सिर्फ	PART	PART
jen	केवल	jen	केवल	PART	PART
jen	सिर्फ	jen	सिर्फ	PART	PART
později	बाद	pozdě	बाद	ADV;CMPR;POS	ADV;NOM;MASC;SG;3
nad	nad	nad	nad		
nad	अरदास	nad	अरदास		
jpg	jpg	jpg	jpg	N;NEUT;POS	N;NOM;MASC;SG;3
část	हिस्से	část	हिस्सा	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
část	हिस्सा	část	हिस्सा	N;NOM;FEM;SG;POS	N;NOM;MASC;SG;3
