med	साथ	med	साथ	ADV	ADV;NOM;MASC;SG;3
blev	रुके	blive	रुक	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
blev	ठहरे	blive	ठहर	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
har	मिली	have	मिल	V;IND;PRS;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
har	मिला	have	मिल	V;IND;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
men	लेकिन	men	लेकिन	CONJ	CONJ
men	मगर	men	मगर	CONJ	CONJ
efter	बाद	efter	बाद	ADV	ADV;NOM;MASC;SG;3
under	नीचे	under	नीचे	ADV	ADV;NOM;MASC;SG;3
over	ऊपर	over	ऊपर	ADV	ADV;NOM;MASC;SG;3
første	प्रथम	første	प्रथम	ADJ	ADJ
første	पहली	første	पहला	ADJ	ADJ;NOM;FEM;SG
første	पहला	første	पहला	ADJ	ADJ;NOM;MASC;SG
mod	हिम्मत	mod	हिम्मत	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
fik	मिली	få	मिल	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
fik	मिला	få	मिल	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
del	हिस्से	del	हिस्सा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
del	हिस्सा	del	हिस्सा	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
født	जन्मे	føde	जन्मा	V;INDF;SG;PST;V.PTCP	V;MASC;IND;SG;3;FIN;ACT
team	टीम	team	टीम	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
team	टोली	team	टोली	N;INDF;NEUT;SG	N;NOM;FEM;SG;3
senere	बाद	senere	बाद	ADV;CMPR	ADV;NOM;MASC;SG;3
tidligere	पहले	tidligere	पहले	ADV;CMPR	ADV;NOM;MASC;SG;3
tidligere	पूर्व	tidligere	पूर्व	ADV;CMPR	ADV;NOM;MASC;SG;3
skal	चाहिए	skulle	चाहिए	V;IND;PRS;FIN;ACT	V;ACT
store	बड़े	stor	बडा	ADJ;PL	ADJ;NOM;MASC;PL
store	विशाल	stor	विशाल	ADJ;PL	ADJ;NOM
store	बड़े	stor	बडा	ADJ;PL	ADJ;NOM;MASC;PL
sammen	साथ	sammen	साथ	ADV	ADV;NOM;MASC;SG;3
bliver	रहने	blive	रह	V;IND;PRS;FIN;ACT	V;NFIN;ACT
bliver	रह	blive	रह	V;IND;PRS;FIN;ACT	V;ACT
bliver	रहकर	blive	रह	V;IND;PRS;FIN;ACT	V;V.CVB
kom	आया	komme	आ	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
kom	आये	komme	आ	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
kom	आए	komme	आ	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
