hän	彼女	hän	彼女	PRO;NOM;SG;3	PRO
vuonna	イヤー	vuosi	イヤー	N;FRML;SG	N
kello	時計	kello	時計	N;NOM;SG	N
kello	腕時	kello	腕時	N;NOM;SG	N
kello	クロック	kello	クロック	N;NOM;SG	N
kello	時計	kello	時計	N;NOM;SG	N
mutta	でも	mutta	でも	CONJ	CONJ
mutta	しかし	mutta	しかし	CONJ	CONJ
vuoden	イヤー	vuosi	イヤー	N;GEN;SG	N
jossa	どこ	joka	どこ	PRO;IN+ESS;SG	PRO
vain	ちょうど	vain	ちょうど	ADV	ADV
tavua	音節	tavuta	音節	N;PRT;SG	N
tavua	バイト	tavuta	バイト	N;PRT;SG	N
kaksi	二	kaksi	二	NUM;NOM;SG	NUM
kaksi	二	kaksi	二	NUM;NOM;SG	NUM
yksi	一	yksi	一	NUM;NOM;SG	NUM
tulos	結果	tulos	結果	N;NOM;SG	N
tulos	結果	tulos	結果	N;NOM;SG	N
tämä	これ	tämä	これ	PRO;NOM;SG	PRO
tämän	これ	tämä	これ	PRO;GEN;SG	PRO
osa	パート	osa	パート	N;NOM;SG	N
osa	部分	osa	部分	N;NOM;SG	N
osa	一部	osa	一部	N;NOM;SG	N
syyskuuta	九月	syyskuu	九月	N;PRT;SG	N
keskustelu	スレッド	keskustelu	スレッド	N;NOM;SG	N
keskustelu	ディスカッション	keskustelu	ディスカッション	N;NOM;SG	N
keskustelu	ディベート	keskustelu	ディベート	N;NOM;SG	N
keskustelu	チャット	keskustelu	チャット	N;NOM;SG	N
maaliskuuta	マーチ	maaliskuu	マーチ	N;PRT;SG	N
maaliskuuta	行進	maaliskuu	行進	N;PRT;SG	N
huhtikuuta	四月	huhtikuu	四月	N;PRT;SG	N
kesäkuuta	六月	kesäkuu	六月	N;PRT;SG	N
toukokuuta	五月	toukokuu	五月	N;PRT;SG	N
helmikuuta	二月	helmikuu	二月	N;PRT;SG	N
vielä	まだ	vielä	まだ	ADV	ADV
kauden	季節	kausi	季節	N;GEN;SG	N
kauden	シーズン	kausi	シーズン	N;GEN;SG	N
nimi	名前	nimi	名前	N;NOM;SG	N
nimi	氏名	nimi	氏名	N;NOM;SG	N
nimi	名称	nimi	名称	N;NOM;SG	N
vuotta	年数	vuosi	年数	N;PRT;SG	N
seura	クラブ	seura	クラブ	N;NOM;SG	N
seura	会社	seura	会社	N;NOM;SG	N
usein	しばしば	usein	しばしば	ADV	ADV
kuva	フォト	kuva	フォト	N;NOM;SG	N
kuva	写真	kuva	写真	N;NOM;SG	N
kuva	画像	kuva	画像	N;NOM;SG	N
kuva	イメージ	kuva	イメージ	N;NOM;SG	N
kuva	画像	kuva	画像	N;NOM;SG	N
kuva	写真	kuva	写真	N;NOM;SG	N
alus	船舶	alus	船舶	N;NOM;SG	N
alus	船舶	alus	船舶	N;NOM;SG	N
uusi	新しい	uusi	新しい	ADJ;NOM;SG	ADJ
uusi	新規	uusi	新規	ADJ;NOM;SG	ADJ
ajan	タイム	aika	タイム	N;GEN;SG	N
ajan	時間	aika	時間	N;GEN;SG	N
saa	ゲット	saada	ゲット	V;IND;SG;0;PRS;FIN;ACT	V
pinta	表面	pinta	表面	N;NOM;SG	N
pinta	曲面	pinta	曲面	N;NOM;SG	N
pohjois	北方	pohjois	北方	N;NOM;SG	N
maalit	塗料	maali	塗料	N;NOM;PL	N
maalit	絵	maali	絵	N;NOM;PL	N
maalit	ゴール	maali	ゴール	N;NOM;PL	N
maalit	目標	maali	目標	N;NOM;PL	N
maalit	ペンキ	maali	ペンキ	N;NOM;PL	N
maalit	ペイント	maali	ペイント	N;NOM;PL	N
maalit	塗料	maali	塗料	N;NOM;PL	N
näyttelijä	女優	näyttelijä	女優	N;NOM;SG	N
