서식	التنسيق	서식	تَنسِيق	N	N;NOM;DEF;SG
산책	المشي	산책	مُشِيّ	N	N;NOM;DEF;SG
추첨	رسم	추첨	رَسم	N	N;NOM;INDF;SG
물품	البضاعة	물품	بِضَاعَة	N	N;NOM;DEF;SG
물품	سلع	물품	سِلعَة	N	N;NOM;INDF;PL
물품	البضائع	물품	بِضَاعَة	N	N;NOM;DEF;PL
물품	السلع	물품	سِلعَة	N	N;NOM;DEF;PL
물품	بضائع	물품	بِضَاعَة	N	N;NOM;INDF;PL
물품	السلعة	물품	سُلعَة	N	N;NOM;DEF;SG
물품	سلعة	물품	سِلعَة	N	N;NOM;INDF;SG
용품	الامدادات	용품	إِمدَادَات	N	N;NOM;DEF;PL
용품	مستلزمات	용품	مُستَلزَم	N	N;NOM;INDF;PL
용품	امدادات	용품	إِمدَادَات	N	N;NOM;INDF;PL
용품	اللوازم	용품	لَازِمَة	N	N;NOM;DEF;PL
마술	السحر	마술	سِحر	N	N;NOM;DEF;SG
마술	سحر	마술	سِحر	N	N;NOM;INDF;SG
부담	عبء	부담	عَبءَ	N	N;NOM;INDF;SG
부담	العبء	부담	عِبء	N	N;NOM;DEF;SG
강조	ابراز	강조	إِبرَاز	N	N;NOM;INDF;SG
강조	التشديد	강조	تَشدِيد	N	N;NOM;DEF;SG
강조	ابراز	강조	إِبرَاز	N	N;NOM;INDF;SG
강조	الشدة	강조	شِدَّة	N	N;NOM;DEF;SG
강조	شدة	강조	شِدَّة	N	N;NOM;INDF;SG
강조	كثافة	강조	كَثَافَة	N	N;NOM;INDF;SG
강조	الكثافة	강조	كَثَّافَة	N	N;NOM;DEF;SG
탐구	التحقيقات	탐구	تَحقِيق	N	N;NOM;DEF;PL
탐구	تحقيقات	탐구	تَحقِيق	N	N;NOM;INDF;PL
수염	الملتحي	수염	مُلتَحَى	N	N;NOM;DEF;SG
수염	اللحى	수염	لَحِيّ	N	N;NOM;DEF;PL
수염	اللحية	수염	لَحِيّ	N	N;NOM;DEF;SG
수염	لحية	수염	لِحيَة	N	N;NOM;INDF;SG
