con	с	con	с	ADP	ADP
una	одна	uno	один	DET;INDF;FEM;SG	DET;NOM;FEM;SG
una	одно	uno	один	DET;INDF;FEM;SG	DET;NOM;NEUT;SG
categoría	категория	categoría	категория	N;FEM;SG	N;INAN;NOM;FEM;SG
para	для	para	для	ADP	ADP
para	за	para	за	ADP	ADP
como	как	como	как	CONJ	CONJ
como	как	como	как	CONJ	CONJ
fue	была	ser	быть	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
más	более	más	более	ADV	ADV;CMPR
más	больше	más	больше	ADV	ADV;CMPR
más	еще	más	еще	ADV	ADV
sus	ваши	su	ваш	DET;PL;3	DET;NOM;PL
también	также	también	также	ADV	ADV
también	слишком	también	слишком	ADV	ADV
entre	среди	entre	среди	ADP	ADP
entre	между	entre	между	ADP	ADP
este	это	este	это	PRO;MASC;SG	PRO;INAN;NOM;NEUT;SG
pero	но	pero	но	CONJ	CONJ
años	годы	año	год	N;MASC;PL	N;INAN;ACC;MASC;PL
años	лет	año	год	N;MASC;PL	N;INAN;GEN;MASC;PL
dos	два	dos	два	NUM;PL	NUM;NOM;MASC
dos	две	dos	два	NUM;PL	NUM;NOM;FEM
dos	двое	dos	двое	NUM;PL	NUM;NOM
año	год	año	год	N;MASC;SG	N;INAN;NOM;MASC;SG
desde	от	desde	от	ADP	ADP
desde	из	desde	из	ADP	ADP
esta	это	este	это	PRO;FEM;SG	PRO;INAN;NOM;NEUT;SG
enlaces	связи	enlace	связь	N;MASC;PL	N;INAN;NOM;FEM;PL
enlaces	ссылки	enlace	ссылка	N;MASC;PL	N;INAN;NOM;FEM;PL
hasta	до	hasta	до	ADP	ADP
externos	внешние	externo	внешний	ADJ;MASC;PL	ADJ;NOM;PL
externos	внешних	externo	внешний	ADJ;MASC;PL	ADJ;GEN;PL
ciudad	город	ciudad	город	N;FEM;SG	N;INAN;NOM;MASC;SG
ciudad	городок	ciudad	городок	N;FEM;SG	N;INAN;NOM;MASC;SG
ciudad	город	ciudad	город	N;FEM;SG	N;INAN;NOM;MASC;SG
parte	сторона	parte	сторона	N;FEM;SG	N;INAN;NOM;FEM;SG
parte	партия	parte	партия	N;FEM;SG	N;INAN;NOM;FEM;SG
parte	вечеринка	parte	вечеринка	N;FEM;SG	N;INAN;NOM;FEM;SG
parte	часть	parte	часть	N;FEM;SG	N;INAN;NOM;FEM;SG
sin	без	sin	без	ADP	ADP
san	сент	san	сент	N;MASC;SG	N;INAN;NOM;MASC;SG
nacional	национальная	nacional	национальный	ADJ;SG	ADJ;NOM;FEM;SG
nacional	национальный	nacional	национальный	ADJ;SG	ADJ;NOM;MASC;SG
primera	первый	primero	первый	ADJ;FEM;SG	ADJ;NOM;MASC;SG
primera	первое	primero	первый	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
primera	первая	primero	первый	ADJ;FEM;SG	ADJ;NOM;FEM;SG
team	команда	team	команда	N	N;INAN;NOM;FEM;SG
cuando	когда	cuando	когда	CONJ	CONJ
nombre	имя	nombre	имя	N;MASC;SG	N;INAN;NOM;NEUT;SG
nombre	название	nombre	название	N;MASC;SG	N;INAN;NOM;NEUT;SG
estados	государства	estado	государство	N;MASC;PL	N;INAN;NOM;NEUT;PL
estados	штатов	estado	штат	N;MASC;PL	N;INAN;GEN;MASC;PL
estados	штаты	estado	штат	N;MASC;PL	N;INAN;NOM;MASC;PL
siglo	век	siglo	век	N;MASC;SG	N;INAN;NOM;MASC;SG
siglo	столетие	siglo	столетие	N;MASC;SG	N;INAN;NOM;NEUT;SG
después	позднее	después	поздно	ADV	ADV;CMPR
después	позже	después	поздно	ADV	ADV;CMPR
españa	испанию	españa	испание	N;FEM;SG	N;INAN;ACC;NEUT;SG
españa	испании	españa	испания	N;FEM;SG	N;INAN;NOM;NEUT;SG
tiene	имеет	tener	иметь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
gran	большая	gran	большой	ADJ;SG	ADJ;NOM;FEM;SG
gran	большой	gran	большой	ADJ;SG	ADJ;NOM;MASC;SG
puede	может	poder	мочь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
estado	статус	estado	статус	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	штат	estado	штат	N;MASC;SG	N;INAN;NOM;MASC;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	государство	estado	государство	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	условие	estado	условие	N;MASC;SG	N;INAN;NOM;NEUT;SG
estado	состояние	estado	состояние	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	место	lugar	место	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	местоположение	lugar	местоположение	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	расположение	lugar	расположение	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	местонахождение	lugar	местонахождение	N;MASC;SG	N;INAN;NOM;NEUT;SG
lugar	место	lugar	место	N;MASC;SG	N;INAN;NOM;NEUT;SG
primer	первый	primero	первый	ADJ;MASC;SG	ADJ;NOM;MASC;SG
primer	первое	primero	первый	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
primer	первая	primero	первый	ADJ;MASC;SG	ADJ;NOM;FEM;SG
población	населения	población	население	N;FEM;SG	N;INAN;GEN;NEUT;SG
población	население	población	население	N;FEM;SG	N;INAN;NOM;NEUT;SG
muy	очень	mucho	очень	ADV	ADV
nueva	новая	nuevo	новый	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nueva	новый	nuevo	новый	ADJ;FEM;SG	ADJ;NOM;MASC;SG
