une	egy	un	egy	DET;INDF;FEM;SG	DET;INDF
qui	aki	qui	aki	PRO	PRO;NOM;SG;3
pas	nem	pas	nem	ADV;NEG	ADV
avancement	előrehaladás	avancement	előrehaladás	N;MASC;SG	N;NOM;SG
avancement	előrelépés	avancement	előrelépés	N;MASC;SG	N;NOM;SG
avancement	fejlődés	avancement	fejlődés	N;MASC;SG	N;NOM;SG
avancement	haladás	avancement	haladás	N;MASC;SG	N;NOM;SG
mais	de	mais	de	CONJ	CONJ
pop	fater	pop	fater	N;FEM;SG	N;NOM;SG
naissance	születés	naissance	születés	N;FEM;SG	N;NOM;SG
naissance	szülés	naissance	szülés	N;FEM;SG	N;NOM;SG
aussi	egyben	aussi	egyben	ADV	ADV
france	franciaország	france	franciaország	N;FEM;SG	N;NOM;SG
après	után	après	után	ADP	ADP
fait	készítette	faire	készít	V;MASC;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
fait	készült	faire	készül	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
fait	tett	faire	tesz	V;MASC;SG;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
notes	megjegyzések	note	megjegyzés	N;FEM;PL	N;NOM;PL
notes	feljegyzések	note	feljegyzés	N;FEM;PL	N;NOM;PL
notes	jegyzetek	note	jegyzet	N;FEM;PL	N;NOM;PL
entre	között	entre	között	ADP	ADP
sous	alatt	sous	alatt	ADP	ADP
sous	alá	sous	alá	ADP	ADP
même	még	même	még	ADV	ADV
nom	vezetéknév	nom	vezeték	N;MASC;SG	N;NOM;SG
nom	neve	nom	név	N;MASC;SG	N;NOM;SG
nom	név	nom	név	N;MASC;SG	N;NOM;SG
lui	őt	lui	ő	PRO;SG;3	PRO;ACC;SG;3
lieu	helyszín	lieu	helyszín	N;MASC;SG	N;NOM;SG
lieu	hely	lieu	hely	N;MASC;SG	N;NOM;SG
lieu	helyszín	lieu	helyszín	N;MASC;SG	N;NOM;SG
lieu	hely	lieu	hely	N;MASC;SG	N;NOM;SG
lieu	elhelyezkedés	lieu	elhelyezkedés	N;MASC;SG	N;NOM;SG
cet	ezt	ce	ez	PRO;SG;3	PRO;ACC;SG;3
cet	ez	ce	ez	PRO;SG;3	PRO;NOM;SG;3
autres	másoknak	autre	más	PRO;PL	PRO;DAT;PL;3
décès	halál	décès	halál	N;MASC;SG	N;NOM;SG
décès	haláleset	décès	haláleset	N;MASC;SG	N;NOM;SG
références	hivatkozásokat	référence	hivatkozás	N;FEM;PL	N;ACC;PL
références	hivatkozások	référence	hivatkozás	N;FEM;PL	N;NOM;PL
liens	linkek	lien	link	N;MASC;PL	N;NOM;PL
liens	hivatkozások	lien	hivatkozás	N;MASC;PL	N;NOM;PL
liens	kapcsolatok	lien	kapcsolat	N;MASC;PL	N;NOM;PL
ville	városban	ville	város	N;FEM;SG	N;IN+ESS;SG
ville	város	ville	város	N;FEM;SG	N;NOM;SG
ville	város	ville	város	N;FEM;SG	N;NOM;SG
date	dátum	date	dátum	N;FEM;SG	N;NOM;SG
date	időpont	date	időpont	N;FEM;SG	N;NOM;SG
peut	tud	pouvoir	tud	V;IND;SG;3;PRS;FIN	V;INDF;IND;SG;3;PRS;FIN;ACT
depuis	óta	depuis	óta	ADP	ADP
première	első	premier	első	ADJ;FEM;SG	ADJ;NOM;SG
ans	évek	an	év	N;MASC;PL	N;NOM;PL
