bija	بود	būt	بود#باش	V;FH;IND;3;POS;PST;FIN;ACT	V;SG;3;PST
bet	ولی	bet	ولی	CONJ	CONJ
bet	اما	bet	اما	CONJ	CONJ
saites	پیوندها	saite	پیوند	N;NOM;FEM;PL	N;PL
saites	پیوندهای	saite	پیوند	N;NOM;FEM;PL	N;PL
valsts	کانتری	valsts	کان	N;NOM;FEM;SG	N;SG
valsts	کشوری	valsts	کشوری	N;NOM;FEM;SG	N;SG
valsts	کشور	valsts	کشور	N;NOM;FEM;SG	N;SG
valsts	مملکت	valsts	مملکت	N;NOM;FEM;SG	N;SG
valsts	ییلاق	valsts	ییلاق	N;NOM;FEM;SG	N;SG
valsts	حالت	valsts	حالت	N;NOM;FEM;SG	N;SG
valsts	استیت	valsts	استیت	N;NOM;FEM;SG	N;SG
valsts	دولت	valsts	دولت	N;NOM;FEM;SG	N;SG
valsts	وضعیت	valsts	وضعیت	N;NOM;FEM;SG	N;SG
valsts	ایالت	valsts	ایالت	N;NOM;FEM;SG	N;SG
tās	آنها	tā	آن	PRO;NOM;FEM;PL	PRO;PL
viņa	او	viņa	او	PRO;NOM;FEM;SG;3	PRO;SG;3
viņa	او	viņa	او	PRO;NOM;FEM;SG;3	PRO;SG;3
gadu	سال	gads	سال	N;ACC;MASC;SG	N;SG
pilsētas	شهرها	pilsēta	شهر	N;NOM;FEM;PL	N;PL
pilsētas	شهرها	pilsēta	شهر	N;NOM;FEM;PL	N;PL
kur	کجا	kur	کجا	ADV	ADV
vieta	محل	vieta	محل	N;NOM;FEM;SG	N;SG
vieta	مکانی	vieta	مکان	N;NOM;FEM;SG	N;SG
vieta	مکان	vieta	مکان	N;NOM;FEM;SG	N;SG
vieta	جای	vieta	جا	N;NOM;FEM;SG	N;SG
vieta	جایی	vieta	جا	N;NOM;FEM;SG	N;SG
vieta	محل	vieta	محل	N;NOM;FEM;SG	N;SG
vieta	مکان	vieta	مکان	N;NOM;FEM;SG	N;SG
vieta	سایت	vieta	سایت	N;NOM;FEM;SG	N;SG
kara	جنگ	karš	جنگ	N;NOM;MASC;SG	N;SG
kara	جنگی	karš	جنگی	N;NOM;MASC;SG	N;SG
iela	استریت	iela	استریت	N;NOM;FEM;SG	N;SG
iela	خیابانی	iela	خیابانی	N;NOM;FEM;SG	N;SG
iela	خیابان	iela	خیابان	N;NOM;FEM;SG	N;SG
iela	خیابون	iela	خیابون	N;NOM;FEM;SG	N;SG
jau	قبلا	jau	None	ADV	ADV
kopā	باهم	kopā	باهم	ADV	ADV
attēls	عکسه	attēls	عکسه	N;NOM;MASC;SG	N;SG
attēls	عکس	attēls	عکس	N;NOM;MASC;SG	N;SG
attēls	تصویر	attēls	تصویر	N;NOM;MASC;SG	N;SG
attēls	نگاره	attēls	نگاره	N;NOM;MASC;SG	N;SG
attēls	شکل	attēls	شکل	N;NOM;MASC;SG	N;SG
starp	میان	starp	میان	ADP	ADP
starp	بین	starp	بین	ADP	ADP
pilsēta	قریه	pilsēta	قریه	N;NOM;FEM;SG	N;SG
pilsēta	شهر	pilsēta	شهر	N;NOM;FEM;SG	N;SG
pilsēta	شهرک	pilsēta	شهرک	N;NOM;FEM;SG	N;SG
pilsēta	شهری	pilsēta	شهر	N;NOM;FEM;SG	N;SG
pilsēta	شهر	pilsēta	شهر	N;NOM;FEM;SG	N;SG
pilsēta	سیتی	pilsēta	سیتی	N;NOM;FEM;SG	N;SG
vēlāk	بعدها	vēlu	بعد	ADV;CMPR	ADV
vēlāk	بعداً	vēlu	بعداً	ADV;CMPR	ADV
viens	یکی	viens	یک	NUM;NOM;MASC;SG	NUM
viens	یک	viens	یک	NUM;NOM;MASC;SG	NUM
taču	ولی	taču	ولی	CONJ	CONJ
taču	اما	taču	اما	CONJ	CONJ
ļoti	خیلی	ļoti	خیلی	ADV	ADV
ļoti	بسیار	ļoti	بسیار	ADV	ADV
vācu	آلمان	vāci	آلمان	N;NOM;MASC;SG	N;SG
vācu	آلمانی	vāci	آلمانی	N;NOM;MASC;SG	N;SG
vēl	همچنان	vēl	همچنان	ADV	ADV
vēl	هنوزم	vēl	هنوزم	ADV	ADV
vēl	هنوز	vēl	هنوز	ADV	ADV
viena	یکی	viena	یک	NUM;NOM;FEM;SG	NUM
viena	یک	viena	یک	NUM;NOM;FEM;SG	NUM
pagasts	قصبه	pagasts	قصبه	N;NOM;MASC;SG	N;SG
pagasts	پاریش	pagasts	پاریش	N;NOM;MASC;SG	N;SG
pagasts	پریش	pagasts	پریش	N;NOM;MASC;SG	N;SG
vairāk	دیگر	daudz	دیگر	ADV;CMPR	ADV
daļa	جزء	daļa	جزء	N;NOM;FEM;SG	N;SG
daļa	قسمت	daļa	قسمت	N;NOM;FEM;SG	N;SG
daļa	پارت	daļa	پارت	N;NOM;FEM;SG	N;SG
tad	پس	tad	پس	ADV	ADV
tie	آنها	tas	آن	PRO;NOM;MASC;PL	PRO;PL
pirms	پیش	pirms	پیش	ADP	ADP
šaha	چس	šahs	چس	N;NOM;MASC;SG	N;SG
šaha	شطرنج	šahs	None	N;NOM;MASC;SG	N;SG
pirmā	اول	pirmā	اول	ADJ;NOM;DEF;FEM;SG	ADJ
centrs	سنتر	centrs	سنتر	N;NOM;MASC;SG	N;SG
centrs	مرکزش	centrs	مرکزش	N;NOM;MASC;SG	N;SG
centrs	مرکز	centrs	مرکز	N;NOM;MASC;SG	N;SG
centrs	سنتر	centrs	سنتر	N;NOM;MASC;SG	N;SG
centrs	مرکز	centrs	مرکز	N;NOM;MASC;SG	N;SG
trīs	سه	trīs	سه	NUM;NOM;MASC;PL	NUM
viņu	او	viņš	او	PRO;ACC;MASC;SG;3	PRO;SG;3
parasti	عموما	parasti	عموما	ADV	ADV
parasti	عموماً	parasti	عموما	ADV	ADV
parasti	معمولا	parasti	معمولاً	ADV	ADV
parasti	معمولا	parasti	معمولاً	ADV	ADV
parasti	معمولاً	parasti	معمولاً	ADV	ADV
jūras	دریایی	jūra	دریا	N;NOM;FEM;SG	N;SG
jūras	مارین	jūra	مارین	N;NOM;FEM;SG	N;SG
http	http	http	http	N	N;SG
pirmais	اول	pirmais	اول	ADJ;NOM;DEF;MASC;SG	ADJ
