que	că	que	că	CONJ	CONJ;POS
con	cu	con	cu	ADP	ADP;ACC
categoría	categoria	categoría	categorie	N;FEM;SG	N;DEF;FEM;SG
categoría	categorie	categoría	categorie	N;FEM;SG	N;INDF;FEM;SG
para	pentru	para	pentru	ADP	ADP;ACC
más	mai	más	mai	ADV	ADV
sus	lor	su	lui	DET;PL;3	DET;3
también	prea	también	prea	ADV	ADV
entre	printre	entre	printre	ADP	ADP;ACC
entre	între	entre	între	ADP	ADP;ACC
este	asta	este	acesta	PRO;MASC;SG	PRO;FEM;SG;3
este	aceasta	este	acesta	PRO;MASC;SG	PRO;FEM;SG;3
pero	dar	pero	dar	CONJ	CONJ;POS
años	ani	año	an	N;MASC;PL	N;INDF;MASC;PL
años	anii	año	an	N;MASC;PL	N;DEF;MASC;PL
dos	doi	dos	doi	NUM;PL	NUM;MASC;PL
dos	două	dos	doi	NUM;PL	NUM;FEM;PL
son	sunt	ser	fi	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sobre	despre	sobre	despre	ADP	ADP;ACC
año	anul	año	an	N;MASC;SG	N;DEF;MASC;SG
año	an	año	an	N;MASC;SG	N;INDF;MASC;SG
desde	din	desde	din	ADP	ADP;ACC
esta	asta	este	acesta	PRO;FEM;SG	PRO;FEM;SG;3
esta	aceasta	este	acesta	PRO;FEM;SG	PRO;FEM;SG;3
enlaces	linkuri	enlace	link	N;MASC;PL	N;INDF;FEM;PL
enlaces	legaturi	enlace	legatură	N;MASC;PL	N;INDF;FEM;PL
enlaces	linkurile	enlace	link	N;MASC;PL	N;DEF;FEM;PL
enlaces	legături	enlace	legătură	N;MASC;PL	N;INDF;FEM;PL
hasta	până	hasta	până	ADP	ADP;ACC
externos	externe	externo	extern	ADJ;MASC;PL	ADJ;INDF;FEM;PL
externos	externi	externo	extern	ADJ;MASC;PL	ADJ;INDF;MASC;PL
ciudad	oraș	ciudad	oraș	N;FEM;SG	N;INDF;MASC;SG
ciudad	oras	ciudad	oras	N;FEM;SG	N;INDF;MASC;SG
ciudad	oraşul	ciudad	orac	N;FEM;SG	N;DEF;MASC;SG
ciudad	oraş	ciudad	oraş	N;FEM;SG	N;INDF;MASC;SG
ciudad	city	ciudad	city	N;FEM;SG	N;INDF;MASC;SG
ciudad	oras	ciudad	oras	N;FEM;SG	N;INDF;MASC;SG
ciudad	oraș	ciudad	oraș	N;FEM;SG	N;INDF;MASC;SG
ciudad	oraş	ciudad	oraş	N;FEM;SG	N;INDF;MASC;SG
ciudad	oraşul	ciudad	orac	N;FEM;SG	N;DEF;MASC;SG
ciudad	orașul	ciudad	oraș	N;FEM;SG	N;DEF;MASC;SG
ser	fiind	ser	fi	V;NFIN	V;V.MSDR
parte	party	parte	party	N;FEM;SG	N;INDF;MASC;SG
parte	petrecere	parte	petrecere	N;FEM;SG	N;INDF;FEM;SG
parte	partid	parte	partid	N;FEM;SG	N;INDF;MASC;SG
parte	parte	parte	parte	N;FEM;SG	N;INDF;FEM;SG
parte	partea	parte	parte	N;FEM;SG	N;DEF;FEM;SG
sin	fără	sin	fără	ADP	ADP;ACC
san	sfânt	san	sfânt	N;MASC;SG	N;INDF;MASC;SG
san	sfantul	san	sfant	N;MASC;SG	N;DEF;MASC;SG
san	sfântul	san	sfânt	N;MASC;SG	N;DEF;MASC;SG
san	saint	san	saint	N;MASC;SG	N;INDF;MASC;SG
nacional	națională	nacional	național	ADJ;SG	ADJ;INDF;FEM;SG
nacional	national	nacional	national	ADJ;SG	ADJ;INDF;MASC;SG
nacional	naţional	nacional	naţional	ADJ;SG	ADJ;INDF;MASC;SG
nacional	național	nacional	național	ADJ;SG	ADJ;INDF;MASC;SG
team	echipă	team	echipă	N	N;INDF;FEM;SG
team	echipa	team	echipă	N	N;DEF;FEM;SG
team	team	team	team	N	N;INDF;MASC;SG
nombre	nume	nombre	nume	N;MASC;SG	N;INDF
nombre	numele	nombre	nume	N;MASC;SG	N;DEF;MASC;SG
nombre	denumire	nombre	denumire	N;MASC;SG	N;INDF;FEM;SG
estados	statele	estado	stat	N;MASC;PL	N;DEF;FEM;PL
estados	state	estado	stat	N;MASC;PL	N;INDF;FEM;PL
estados	stări	estado	stare	N;MASC;PL	N;INDF;FEM;PL
utc	utc	utc	utc	N	N
siglo	siglo	siglo	siglo	N;MASC;SG	N;INDF;MASC;SG
siglo	secolul	siglo	secol	N;MASC;SG	N;DEF;MASC;SG
siglo	secol	siglo	secol	N;MASC;SG	N;INDF;MASC;SG
tiene	are	tener	avea	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
otros	altele	otro	altul	PRO;MASC;PL	PRO;FEM;PL;3
otros	altele	otro	altul	PRO;MASC;PL	PRO;FEM;PL;3
otros	alții	otro	altul	PRO;MASC;PL	PRO;MASC;PL;3
gran	mare	gran	mare	ADJ;SG	ADJ;INDF;MASC;SG
gran	mare	gran	mare	ADJ;SG	ADJ;INDF;MASC;SG
unidos	unite	unido	unit	ADJ;MASC;PL;V.PTCP	ADJ;INDF;FEM;PL
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	starea	estado	stare	N;MASC;SG	N;DEF;FEM;SG
estado	status	estado	status	N;MASC;SG	N;INDF;MASC;SG
estado	statutul	estado	statut	N;MASC;SG	N;DEF;MASC;SG
estado	statut	estado	statut	N;MASC;SG	N;INDF;MASC;SG
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	stat	estado	stat	N;MASC;SG	N;INDF;MASC;SG
estado	statul	estado	stat	N;MASC;SG	N;DEF;MASC;SG
estado	stare	estado	stare	N;MASC;SG	N;INDF;FEM;SG
estado	condiția	estado	condiție	N;MASC;SG	N;DEF;FEM;SG
estado	condiție	estado	condiție	N;MASC;SG	N;INDF;FEM;SG
uno	una	uno	unul	PRO;MASC;SG	PRO;FEM;SG;3
uno	unul	uno	unul	PRO;MASC;SG	PRO;MASC;SG;3
lugar	locul	lugar	loc	N;MASC;SG	N;DEF;MASC;SG
lugar	loc	lugar	loc	N;MASC;SG	N;INDF;MASC;SG
lugar	localizare	lugar	localizare	N;MASC;SG	N;INDF;FEM;SG
lugar	locație	lugar	locație	N;MASC;SG	N;INDF;FEM;SG
lugar	locația	lugar	locație	N;MASC;SG	N;DEF;FEM;SG
lugar	locaţia	lugar	locahie	N;MASC;SG	N;DEF;FEM;SG
población	populaţia	población	populagie	N;FEM;SG	N;DEF;FEM;SG
