もの	lietas	もの	lieta	N	N;NOM;FEM;PL
大学	augstskolas	大学	augstskola	N	N;NOM;FEM;PL
大学	universitātes	大学	universitāte	N	N;NOM;FEM;PL
大学	universitātē	大学	universitāte	N	N;ESS;FEM;SG
大学	universitāte	大学	universitāte	N	N;NOM;FEM;SG
大学	universitātes	大学	universitāte	N	N;NOM;FEM;PL
大学	koledža	大学	koledža	N	N;NOM;FEM;SG
大学	kolēģija	大学	kolēģija	N	N;NOM;FEM;SG
大学	koledžā	大学	koledžs	N	N;ESS;FEM;SG
大学	kolēģijas	大学	kolēģija	N	N;NOM;FEM;PL
大学	koledžas	大学	koledža	N	N;NOM;FEM;PL
大学	kolēģijas	大学	kolēģija	N	N;NOM;FEM;PL
大学	koledžas	大学	koledža	N	N;NOM;FEM;PL
テレビ	televizoriem	テレビ	televizors	N	N;DAT;MASC;PL
テレビ	televizors	テレビ	televizors	N	N;NOM;MASC;SG
テレビ	televīzijas	テレビ	televīzija	N	N;NOM;FEM;PL
テレビ	televīzija	テレビ	televīzija	N	N;NOM;FEM;SG
放送	pārraida	放送	pārraidīt	V	V;FH;IND;3;POS;PRS;FIN;ACT
削除	svītrots	削除	svītrot	V	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
削除	svītroti	削除	svītrot	V	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
削除	dzēš	削除	dzēš	V	V;FH;IND;3;POS;PRS;FIN;ACT
削除	izmest	削除	izmest	V	V;POS;NFIN
削除	aizvākt	削除	aizvākt	V	V;POS;NFIN
削除	izņemt	削除	izņemt	V	V;POS;NFIN
削除	noņemt	削除	noņemt	V	V;POS;NFIN
削除	izdzēst	削除	izdzēt	V	V;POS;NFIN
削除	dzēst	削除	dzēst	V	V;POS;NFIN
現在	strāva	現在	strāva	N	N;NOM;FEM;SG
現在	tagadni	現在	tagadne	N	N;ACC;FEM;SG
学校	skolas	学校	skola	N	N;NOM;FEM;PL
学校	skolām	学校	skola	N	N;DAT;FEM;PL
学校	skola	学校	skola	N	N;NOM;FEM;SG
学校	skolas	学校	skola	N	N;NOM;FEM;PL
学校	skolu	学校	skola	N	N;ACC;FEM;SG
学校	skolā	学校	skola	N	N;ESS;FEM;SG
これ	šī	これ	šī	PRO	PRO;NOM;FEM;SG
これ	šo	これ	šis	PRO	PRO;ACC;MASC;SG
これ	šis	これ	šis	PRO	PRO;NOM;MASC;SG
これ	tas	これ	tas	PRO	PRO;NOM;MASC;SG
世界	pasaule	世界	pasaule	N	N;NOM;FEM;SG
世界	pasaulē	世界	pasaule	N	N;ESS;FEM;SG
でも	bet	でも	bet	CONJ	CONJ
でも	taču	でも	taču	CONJ	CONJ
作品	būvdarbi	作品	būvdarbi	N	N;NOM;MASC
作品	darbi	作品	darbs	N	N;NOM;MASC;PL
作品	diskogrāfija	作品	diskogrāfija	N	N;NOM;FEM;SG
時代	laikmets	時代	laikmets	N	N;NOM;MASC;SG
時代	ēra	時代	ēra	N	N;NOM;FEM;SG
映画	filma	映画	filma	N	N;NOM;FEM;SG
映画	filmu	映画	filma	N	N;ACC;FEM;SG
映画	kino	映画	kino	N	N
映画	plēve	映画	plēve	N	N;NOM;FEM;SG
映画	filma	映画	filma	N	N;NOM;FEM;SG
映画	plēves	映画	plēve	N	N;NOM;FEM;PL
映画	filmas	映画	filma	N	N;NOM;FEM;PL
映画	kino	映画	kino	N	N
監督	direktora	監督	direktors	N	N;GEN;MASC;SG
監督	direktors	監督	direktors	N	N;NOM;MASC;SG
監督	direktore	監督	direktore	N	N;NOM;FEM;SG
監督	režisors	監督	režisors	N	N;NOM;MASC;SG
監督	pārraudzība	監督	pārraudzība	N	N;NOM;FEM;SG
監督	uzraudzība	監督	uzraudzība	N	N;NOM;FEM;SG
鉄道	dzelzceļš	鉄道	dzelzceļš	N	N;NOM;MASC;SG
鉄道	dzelzceļš	鉄道	dzelzceļš	N	N;NOM;MASC;SG
鉄道	dzelzceļš	鉄道	dzelzceļš	N	N;NOM;MASC;SG
使用	lietot	使用	lietot	V	V;POS;NFIN
使用	izlietot	使用	izlietot	V	V;POS;NFIN
出演	lietos	出演	lieti	V	V;FH;IND;3;POS;PRS;FIN;ACT
明治	meidzi	明治	meidze	N	N;NOM;FEM;SG
時間	stundas	時間	stunda	N	N;NOM;FEM;PL
時間	stundām	時間	stunda	N	N;DAT;FEM;PL
時間	stunda	時間	stunda	N	N;NOM;FEM;SG
時間	stundu	時間	stunda	N	N;ACC;FEM;SG
時間	laiks	時間	laiks	N	N;NOM;MASC;SG
時間	laika	時間	laiks	N	N;GEN;MASC;SG
開始	sākam	開始	sākt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
開始	sākt	開始	sākt	V	V;POS;NFIN
開始	sākt	開始	sākt	V	V;POS;NFIN
開始	palaist	開始	palaist	V	V;POS;NFIN
シリーズ	sērija	シリーズ	sērija	N	N;NOM;FEM;SG
シリーズ	sērijas	シリーズ	sērija	N	N;NOM;FEM;PL
記事	raksts	記事	raksts	N	N;NOM;MASC;SG
記事	izstrādājums	記事	izstrādājums	N	N;NOM;MASC;SG
記事	pants	記事	pants	N	N;NOM;MASC;SG
記事	stāsts	記事	stāsts	N	N;NOM;MASC;SG
記事	stāsti	記事	stāsts	N	N;NOM;MASC;PL
記事	izstrādājumi	記事	izstrādājums	N	N;NOM;MASC;PL
記事	panti	記事	pants	N	N;NOM;MASC;PL
選手	spēlētāji	選手	spēlētājs	N	N;NOM;MASC;PL
選手	atskaņotāji	選手	atskaņotājs	N	N;NOM;MASC;PL
選手	sportistiem	選手	sportists	N	N;DAT;MASC;PL
選手	sportisti	選手	sportists	N	N;NOM;MASC;PL
しかし	bet	しかし	bet	CONJ	CONJ
しかし	taču	しかし	taču	CONJ	CONJ
大会	konvents	大会	konvents	N	N;NOM;MASC;SG
大会	konvencija	大会	konvencija	N	N;NOM;FEM;SG
大会	konventa	大会	konvents	N	N;NOM;MASC;SG
大会	konvenciju	大会	konvencija	N	N;ACC;FEM;SG
チーム	komandām	チーム	komanda	N	N;DAT;FEM;PL
チーム	komandas	チーム	komanda	N	N;NOM;FEM;PL
チーム	komanda	チーム	komanda	N	N;NOM;FEM;SG
作詞	teksti	作詞	teksts	N	N;NOM;MASC;PL
作詞	lyrics	作詞	lyrics	N	N;NOM;MASC;SG
結果	rezultāts	結果	rezultāts	N	N;NOM;MASC;SG
結果	rezultāti	結果	rezultāts	N	N;NOM;MASC;PL
結果	rezultātus	結果	rezultāts	N	N;ACC;MASC;PL
アルバム	albuma	アルバム	albums	N	N;GEN;MASC;SG
アルバム	albums	アルバム	albums	N	N;NOM;MASC;SG
アルバム	albumu	アルバム	albums	N	N;ACC;MASC;SG
アルバム	albumus	アルバム	albums	N	N;ACC;MASC;PL
ゲーム	spēļu	ゲーム	spēle	N	N;GEN;FEM;PL
ゲーム	spēle	ゲーム	spēle	N	N;NOM;FEM;SG
ゲーム	spēles	ゲーム	spēle	N	N;NOM;FEM;PL
問題	problēmu	問題	problēma	N	N;ACC;FEM;SG
問題	problēma	問題	problēma	N	N;NOM;FEM;SG
問題	problēmas	問題	problēma	N	N;NOM;FEM;PL
問題	problēmas	問題	problēma	N	N;NOM;FEM;PL
問題	jautājumi	問題	jautājums	N	N;NOM;MASC;PL
リーグ	līgas	リーグ	līga	N	N;NOM;FEM;PL
リーグ	līga	リーグ	līga	N	N;NOM;FEM;SG
リーグ	līgās	リーグ	līga	N	N;ESS;FEM;PL
利用	atpirkt	利用	atpirkt	V	V;POS;NFIN
事業	bizness	事業	bizness	N	N;NOM;MASC;SG
事業	uzņēmējdarbība	事業	uzņēmējdarbība	N	N;NOM;FEM;SG
音楽	mūzika	音楽	mūzika	N	N;NOM;FEM;SG
音楽	mūzikā	音楽	mūzika	N	N;ESS;FEM;SG
転送	pārsūtīt	転送	pārsūtīt	V	V;POS;NFIN
転送	pārsūta	転送	pārsūt	V	V;FH;IND;3;POS;PRS;FIN;ACT
情報	info	情報	info	N	N
情報	informācija	情報	informācija	N	N;NOM;FEM;SG
参加	pievienojies	参加	pievienoties	V	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
参加	pievienoties	参加	pievienoties	V	V;POS;REFL;NFIN
参加	pievienojos	参加	pievienoties	V	V;FH;IND;SG;1;POS;REFL;PST;FIN;ACT
地域	reģioni	地域	reģions	N	N;NOM;MASC;PL
地域	reģions	地域	reģions	N	N;NOM;MASC;SG
変更	mainīt	変更	mainīt	V	V;POS;NFIN
変更	pārveidot	変更	pārveidot	V	V;POS;NFIN
変更	izmaina	変更	izmainīt	V	V;FH;IND;3;POS;PRS;FIN;ACT
変更	izmainīt	変更	izmainīt	V	V;POS;NFIN
変更	mainīt	変更	mainīt	V	V;POS;NFIN
編曲	organizētājs	編曲	organizētājs	N	N;NOM;MASC;SG
編曲	organizētāja	編曲	organizētājs	N	N;NOM;MASC;SG
編曲	izvietojums	編曲	izvietojums	N	N;NOM;MASC;SG
編曲	vienošanās	編曲	vienošanās	N	N;NOM;FEM;SG
編曲	izkārtojums	編曲	izkārtojums	N	N;NOM;MASC;SG
サイト	vietne	サイト	vietne	N	N;NOM;FEM;SG
サイト	vieta	サイト	vieta	N	N;NOM;FEM;SG
サイト	vietnes	サイト	vietne	N	N;NOM;FEM;PL
関係	saistība	関係	saistība	N	N;NOM;FEM;SG
関係	attiecības	関係	attiecība	N	N;NOM;FEM;PL
クラブ	klubā	クラブ	klubs	N	N;ESS;MASC;SG
クラブ	klubs	クラブ	klubs	N	N;NOM;MASC;SG
クラブ	kluba	クラブ	klubs	N	N;NOM;MASC;SG
クラブ	klubi	クラブ	klubi	N	N;NOM;MASC;PL
クラブ	klubiem	クラブ	klubs	N	N;DAT;MASC;PL
クラブ	klubos	クラブ	klubs	N	N;ESS;MASC;PL
中央	centrs	中央	centrs	N	N;NOM;MASC;SG
