categoría	類別	categoría	類別	N;FEM;SG	N
más	更	más	更	ADV	ADV
también	還	también	還	ADV	ADV
también	也	también	也	ADV	ADV
también	太	también	太	ADV	ADV
este	這	este	這	PRO;MASC;SG	PRO
años	歲	año	歲	N;MASC;PL	N
años	年份	año	年份	N;MASC;PL	N
dos	兩	dos	兩	NUM;PL	NUM
dos	兩	dos	兩	NUM;PL	NUM
dos	二	dos	二	NUM;PL	NUM
sobre	關於	sobre	關於	ADP	ADP
año	年度	año	年度	N;MASC;SG	N
año	年份	año	年份	N;MASC;SG	N
año	年	año	年	N;MASC;SG	N
desde	從	desde	從	ADP	ADP
esta	這	este	這	PRO;FEM;SG	PRO
hasta	直到	hasta	直到	ADP	ADP
ciudad	城鎮	ciudad	城鎮	N;FEM;SG	N
ciudad	鎮	ciudad	鎮	N;FEM;SG	N
ciudad	城市	ciudad	城市	N;FEM;SG	N
ciudad	市	ciudad	市	N;FEM;SG	N
ciudad	城	ciudad	城	N;FEM;SG	N
parte	黨	parte	黨	N;FEM;SG	N
parte	政黨	parte	政黨	N;FEM;SG	N
parte	宴會	parte	宴會	N;FEM;SG	N
parte	聚會	parte	聚會	N;FEM;SG	N
san	聖人	san	聖人	N;MASC;SG	N
team	團隊	team	團隊	N	N
team	球隊	team	球隊	N	N
team	隊伍	team	隊伍	N	N
nombre	名字	nombre	名字	N;MASC;SG	N
nombre	名稱	nombre	名稱	N;MASC;SG	N
nombre	姓名	nombre	姓名	N;MASC;SG	N
estados	國家	estado	國家	N;MASC;PL	N
siglo	世紀	siglo	世紀	N;MASC;SG	N
después	後	después	後	ADV	ADV
gran	偉大	gran	偉大	ADJ;SG	ADJ
estado	狀況	estado	狀況	N;MASC;SG	N
estado	狀態	estado	狀態	N;MASC;SG	N
estado	現況	estado	現況	N;MASC;SG	N
estado	國家	estado	國家	N;MASC;SG	N
estado	州	estado	州	N;MASC;SG	N
estado	條件	estado	條件	N;MASC;SG	N
estado	狀況	estado	狀況	N;MASC;SG	N
lugar	地點	lugar	地點	N;MASC;SG	N
lugar	場地	lugar	場地	N;MASC;SG	N
lugar	會場	lugar	會場	N;MASC;SG	N
lugar	地方	lugar	地方	N;MASC;SG	N
lugar	地點	lugar	地點	N;MASC;SG	N
lugar	位置	lugar	位置	N;MASC;SG	N
lugar	地點	lugar	地點	N;MASC;SG	N
población	人口	población	人口	N;FEM;SG	N
muy	非常	mucho	非常	ADV	ADV
mismo	相同	mismo	相同	ADJ;MASC;SG	ADJ
nueva	新	nuevo	新	ADJ;FEM;SG	ADJ
historia	動態	historia	動態	N;FEM;SG	N
historia	故事	historia	故事	N;FEM;SG	N
historia	歷史	historia	歷史	N;FEM;SG	N
club	幫會	club	幫會	N;MASC;SG	N
club	俱樂部	club	俱樂部	N;MASC;SG	N
universidad	大學	universidad	大學	N;FEM;SG	N
universidad	學院	universidad	學院	N;FEM;SG	N
universidad	書院	universidad	書院	N;FEM;SG	N
universidad	大學	universidad	大學	N;FEM;SG	N
forma	形狀	forma	形狀	N;FEM;SG	N
forma	形式	forma	形式	N;FEM;SG	N
forma	表格	forma	表格	N;FEM;SG	N
tres	三	tres	三	NUM;PL	NUM
tres	三	tres	三	NUM;PL	NUM
grupo	群組	grupo	群組	N;MASC;SG	N
grupo	群	grupo	群	N;MASC;SG	N
guerra	戰	guerra	戰	N;FEM;SG	N
guerra	戰爭	guerra	戰爭	N;FEM;SG	N
familia	家庭	familia	家庭	N;FEM;SG	N
familia	家人	familia	家人	N;FEM;SG	N
familia	家屬	familia	家屬	N;FEM;SG	N
familia	家庭	familia	家庭	N;FEM;SG	N
además	還	además	還	ADV	ADV
además	也	además	也	ADV	ADV
sur	南部	sur	南部	N;MASC;SG	N
sur	南	sur	南	N;MASC;SG	N
sur	南部	sur	南部	N;MASC;SG	N
tiempo	天氣	tiempo	天氣	N;MASC;SG	N
tiempo	氣象	tiempo	氣象	N;MASC;SG	N
tiempo	時光	tiempo	時光	N;MASC;SG	N
tiempo	時間	tiempo	時間	N;MASC;SG	N
provincia	省	provincia	省	N;FEM;SG	N
provincia	省省	provincia	省省	N;FEM;SG	N
provincia	省份	provincia	省份	N;FEM;SG	N
partido	黨	partido	黨	N;MASC;SG	N
partido	政黨	partido	政黨	N;MASC;SG	N
partido	宴會	partido	宴會	N;MASC;SG	N
partido	聚會	partido	聚會	N;MASC;SG	N
encuentra	找到	encontrar	找到	V;IND;SG;3;PRS;FIN	V
encuentra	尋找	encontrar	尋找	V;IND;SG;3;PRS;FIN	V
municipio	鄉	municipio	鄉	N;MASC;SG	N
municipio	市	municipio	市	N;MASC;SG	N
