ve	и	ve	и	CONJ	CONJ
daha	более	daha	более	ADV	ADV;CMPR
daha	больше	daha	больше	ADV	ADV;CMPR
daha	еще	daha	еще	ADV	ADV
sonra	тогда	sonra	тогда	ADV	ADV
sonra	потом	sonra	потом	ADV	ADV
sonra	затем	sonra	затем	ADV	ADV
sonra	позднее	sonra	поздно	ADV	ADV;CMPR
sonra	позже	sonra	поздно	ADV	ADV;CMPR
utc	utc	utc	utc		
yer	место	yer	место	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	местоположение	yer	местоположение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	расположение	yer	расположение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	местонахождение	yer	местонахождение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yer	место	yer	место	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
büyük	биг	büyük	биг		
bağlantılar	соединения	bağlantı	соединение	N;NOM;PL;3	N;INAN;NOM;NEUT;PL
bağlantılar	связи	bağlantı	связь	N;NOM;PL;3	N;INAN;NOM;FEM;PL
bağlantılar	ссылки	bağlantı	ссылка	N;NOM;PL;3	N;INAN;NOM;FEM;PL
bağlantılar	контакты	bağlantı	контакт	N;NOM;PL;3	N;INAN;NOM;MASC;PL
center	центр	center	центр	N;NOM;SG;3	N;INAN;NOM;MASC;SG
türk	турецкие	türk	турецкий	ADJ	ADJ;NOM;PL
türk	турецкая	türk	турецкий	ADJ	ADJ;NOM;FEM;SG
türk	турецкий	türk	турецкий	ADJ	ADJ;NOM;MASC;SG
diğer	другой	diğer	другой	ADJ	ADJ;NOM;MASC;SG
diğer	другая	diğer	другой	ADJ	ADJ;NOM;FEM;SG
diğer	другое	diğer	другой	ADJ	ADJ;NOM;NEUT;SG
diğer	другие	diğer	другой	ADJ	ADJ;NOM;PL
diğer	прочие	diğer	прочий	ADJ	ADJ;NOM;PL
yeni	новые	yeni	новый	ADJ	ADJ;NOM;PL
yeni	новая	yeni	новый	ADJ	ADJ;NOM;FEM;SG
yeni	новый	yeni	новый	ADJ	ADJ;NOM;MASC;SG
yeni	новых	yeni	новый	ADJ	ADJ;GEN;PL
yeni	новое	yeni	новый	ADJ	ADJ;NOM;NEUT;SG
her	каждая	her	каждый	DET	DET;NOM;FEM;SG
her	каждую	her	каждый	DET	DET;ACC;FEM;SG
her	каждый	her	каждый	DET	DET;NOM;MASC;SG
her	каждое	her	каждый	DET	DET;NOM;NEUT;SG
ilgili	актуально	ilgili	актуальный	ADJ	ADJ;NEUT;SG
ilgili	заинтересованных	ilgili	заинтересованный	ADJ	ADJ;GEN;PL
ilgili	заинтересованная	ilgili	заинтересованный	ADJ	ADJ;NOM;FEM;SG
ilgili	заинтересованным	ilgili	заинтересованный	ADJ	ADJ;INS;MASC;SG
ilgili	интересно	ilgili	интересный	ADJ	ADJ;NEUT;SG
ilgili	заинтересованные	ilgili	заинтересованный	ADJ	ADJ;NOM;PL
madde	вещество	madde	вещество	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
madde	материал	madde	материал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
madde	материя	madde	материя	N;NOM;SG;3	N;INAN;NOM;FEM;SG
madde	статья	madde	статья	N;NOM;SG;3	N;INAN;NOM;FEM;SG
sağlık	здоровье	sağlık	здоровье	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sağlık	здравоохранения	sağlık	здравоохранение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sağlık	здравоохранение	sağlık	здравоохранение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
sağlık	здравоохранение	sağlık	здравоохранение	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
genel	общие	genel	общий	ADJ	ADJ;NOM;PL
adı	имя	ad	имя	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
adı	название	ad	название	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
mayıs	май	mayıs	май		
kasım	ноя	kasım	она		
ama	но	ama	но	CONJ	CONJ
jpg	jpg	jpg	jpg		
ikinci	второй	ikinci	второй	ADJ	ADJ;NOM;MASC;SG
ikinci	вторая	ikinci	второй	ADJ	ADJ;NOM;FEM;SG
ikinci	второе	ikinci	второй	ADJ	ADJ;NOM;NEUT;SG
içinde	внутри	içinde	внутри	ADV	ADV
içinde	изнутри	içinde	изнутри	ADV	ADV
içinde	внутрь	içinde	внутрь	ADV	ADV
den	ден	None	день		
üniversitesi	университет	üniversitesi	университет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
zaman	время	zaman	время	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
zaman	тайм	zaman	тайма	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bazı	некоторых	bazı	некоторый	DET	DET;GEN;PL
bazı	некоторые	bazı	некоторый	DET	DET;NOM;PL
aralık	декабрь	aralık	декабрь	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	декабрь	aralık	декабрь	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	интервал	aralık	интервал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
aralık	промежуток	aralık	промежуток	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yüksek	высокий	yüksek	высокий	ADJ	ADJ;NOM;MASC;SG
yüksek	высокого	yüksek	высокий	ADJ	ADJ;GEN;MASC;SG
yüksek	высокая	yüksek	высокий	ADJ	ADJ;NOM;FEM;SG
yüksek	выше	yüksek	высокий	ADJ	ADJ;CMPR
bilgi	информация	bilgi	информация	N;NOM;SG;3	N;INAN;NOM;FEM;SG
