kategória	kategorija	kategória	kategorija	N;NOM;FEM;SG	N;NOM;FEM;SG
bol	bija	byť	būt	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
pozri	skatīt	pozrieť	skatīt	V;PFV;IMP;SG;2;POS;FIN	V;POS;NFIN
pozri	ieskaties	pozrieť	ieskatīties	V;PFV;IMP;SG;2;POS;FIN	V;IMP;SG;2;POS;REFL;FIN;ACT
pozri	izskaties	pozrieť	izskatīties	V;PFV;IMP;SG;2;POS;FIN	V;IMP;SG;2;POS;REFL;FIN;ACT
pozri	skaties	pozrieť	skatīties	V;PFV;IMP;SG;2;POS;FIN	V;IMP;SG;2;POS;REFL;FIN;ACT
obce	komūnas	obec	komūna	N;NOM;FEM;PL	N;NOM;FEM;PL
obce	pašvaldības	obec	pašvaldība	N;NOM;FEM;PL	N;NOM;FEM;PL
obce	municipalitātes	obec	municipalitāte	N;NOM;FEM;PL	N;NOM;FEM;PL
obec	commune	obec	commune	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	novads	obec	novads	N;NOM;FEM;SG	N;NOM;MASC;SG
obec	pašvaldība	obec	pašvaldība	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	ciems	obec	ciems	N;NOM;FEM;SG	N;NOM;MASC;SG
obec	ciemats	obec	ciemats	N;NOM;FEM;SG	N;NOM;MASC;SG
pre	priekš	pre	priekš	ADP;ACC	ADP
bod	punkts	bod	punkts	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
bola	bija	byť	būt	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
zoznam	uzskaitījums	zoznam	uzskaitījums	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zoznam	saraksts	zoznam	saraksts	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
odkazy	rekomendācijas	odkaz	rekomendācija	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
odkazy	atsauces	odkaz	atsauce	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
odkazy	saites	odkaz	saite	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
externé	ārējais	externý	ārējs	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
externé	ārējs	externý	ārējs	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
externé	ārējā	externý	ārēja	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
ale	bet	ale	bet	CONJ	CONJ
ale	taču	ale	taču	CONJ	CONJ
počet	numurs	počet	numurs	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
počet	skaitlis	počet	skaitlis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
počet	skaits	počet	skaits	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
podľa	zem	podľa	zem	ADP;GEN	ADP
miesto	vieta	miesto	vieta	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	vieta	miesto	vieta	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	novietojums	miesto	novietojums	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	vieta	miesto	vieta	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	vietne	miesto	vietne	N;NOM;NEUT;SG	N;NOM;FEM;SG
miesto	vieta	miesto	vieta	N;NOM;NEUT;SG	N;NOM;FEM;SG
bolo	bija	byť	būt	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
jej	viņai	ona	viņa	PRO;DAT;FEM;SG;3	PRO;DAT;FEM;SG;3
medzi	starp	medzi	starp	ADP;INS	ADP
projekty	projekti	projekt	projekts	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
byť	tiek	byť	tikt	V;IPFV;POS;NFIN	V;FH;IND;3;POS;PRS;FIN;ACT
pod	zem	pod	zem	ADP;INS	ADP
pod	zem	pod	zem	ADP;INS	ADP
pred	pirms	pred	pirms	ADP;INS	ADP
vývoj	attīstība	vývoj	attīstība	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
vývoj	izstrāde	vývoj	izstrāde	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
vývoj	attīstīšana	vývoj	attīstīšana	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
vývoj	attīstība	vývoj	attīstība	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
vývoj	attīstība	vývoj	attīstība	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
graf	grafiks	graf	grafiks	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
graf	diagramma	graf	diagramma	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
môže	var	môcť	varēt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
môže	drīkst	môcť	drīkstēt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
môže	var	môcť	varēt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
zobrazuje	parāda	zobrazovať	parādīt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
zobrazuje	parāda	zobrazovať	parādīt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
zobrazuje	rāda	zobrazovať	rādīt	V;IPFV;IND;SG;3;POS;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
len	tikai	len	tikai	PART	PART
len	tikai	len	tikai	PART	PART
mesto	pilsēta	mesto	pilsēta	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	pilsēta	mesto	pilsēta	N;NOM;NEUT;SG	N;NOM;FEM;SG
tiež	arī	tiež	arī	PART	PART
nie	ne	nie	ne	PART	PART
september	septembris	september	septembris	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
nad	virs	nad	virs	ADP;INS	ADP
stránka	lappuse	stránka	lappuse	N;NOM;FEM;SG	N;NOM;FEM;SG
stránka	lapa	stránka	lapa	N;NOM;FEM;SG	N;NOM;FEM;SG
