catégorie	kategori	catégorie	kategori	N;FEM;SG	N;INDF;MASC+FEM;SG
pour	for	pour	for	ADP	ADP
son	hans	son	hans	DET;MASC;SG	DET;3
son	dens	son	dens	DET;MASC;SG	DET;3
son	dets	son	dets	DET;MASC;SG	DET;3
plus	mere	plus	mere	ADV	ADV;CMPR
pas	ikke	pas	ikke	ADV;NEG	ADV
pas	ej	pas	ej	ADV;NEG	ADV
elle	hun	elle	hun	PRO;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
avancement	progress	avancement	progress	N;MASC;SG	N;INDF;MASC+FEM;SG
avancement	fremgang	avancement	fremgang	N;MASC;SG	N;INDF;MASC+FEM;SG
mais	men	mais	men	CONJ	CONJ
pop	farmand	pop	farmand	N;FEM;SG	N;INDF;MASC+FEM;SG
pop	pop	pop	pop	N;FEM;SG	N;INDF;MASC+FEM;SG
deux	to	deux	to	NUM	NUM
ses	hans	son	hans	DET;MASC;PL	DET;3
ses	dens	son	dens	DET;MASC;PL	DET;3
ses	dets	son	dets	DET;MASC;PL	DET;3
naissance	fødsel	naissance	fødsel	N;FEM;SG	N;INDF;MASC+FEM;SG
naissance	fødslen	naissance	fødsel	N;FEM;SG	N;DEF;MASC+FEM;SG
aussi	også	aussi	også	ADV	ADV
fait	lavet	faire	lave	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
fait	foretaget	faire	foretage	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
fait	udfærdiget	faire	udfærdige	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
fait	udført	faire	udføre	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
fait	gjort	faire	gøre	V;MASC;SG;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
notes	noter	note	note	N;FEM;PL	N;INDF;MASC+FEM;PL
notes	sedler	note	sedle	N;FEM;PL	N;INDF;MASC+FEM;PL
entre	mellem	entre	mellem	ADP	ADP
nom	efternavn	nom	efternavn	N;MASC;SG	N;INDF;NEUT;SG
nom	betegnelse	nom	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
nom	navn	nom	navn	N;MASC;SG	N;INDF;NEUT;SG
français	fransk	français	fransk	ADJ;MASC;SG	ADJ;INDF;SG
lui	ham	lui	han	PRO;SG;3	PRO;ACC;MASC+FEM;SG;3
lieu	mødested	lieu	mødested	N;MASC;SG	N;INDF;NEUT;SG
lieu	stedet	lieu	sted	N;MASC;SG	N;DEF;NEUT;SG
lieu	sted	lieu	sted	N;MASC;SG	N;INDF;NEUT;SG
lieu	plads	lieu	plads	N;MASC;SG	N;INDF;MASC+FEM;SG
lieu	lokalisering	lieu	lokalisering	N;MASC;SG	N;INDF;MASC+FEM;SG
lieu	beliggenhed	lieu	beliggenhed	N;MASC;SG	N;INDF;MASC+FEM;SG
lieu	sted	lieu	sted	N;MASC;SG	N;INDF;NEUT;SG
lieu	placering	lieu	placering	N;MASC;SG	N;INDF;MASC+FEM;SG
lieu	lokation	lieu	lokation	N;MASC;SG	N;INDF;MASC+FEM;SG
cet	dette	ce	denne	PRO;SG;3	PRO;NEUT;SG
cet	denne	ce	denne	PRO;SG;3	PRO;MASC+FEM;SG
autres	andre	autre	anden	PRO;PL	PRO;PL
autres	andre	autre	anden	PRO;PL	PRO;PL
décès	død	décès	død	N;MASC;SG	N;INDF;MASC+FEM;SG
décès	døden	décès	død	N;MASC;SG	N;DEF;MASC+FEM;SG
références	henvisninger	référence	henvisning	N;FEM;PL	N;INDF;MASC+FEM;PL
références	referencer	référence	reference	N;FEM;PL	N;INDF;MASC+FEM;PL
commune	kommune	commune	kommune	N;FEM;SG	N;INDF;MASC+FEM;SG
ville	town	ville	town	N;FEM;SG	N;INDF;MASC+FEM;SG
ville	byen	ville	by	N;FEM;SG	N;DEF;MASC+FEM;SG
ville	by	ville	by	N;FEM;SG	N;INDF;MASC+FEM;SG
ville	byen	ville	by	N;FEM;SG	N;DEF;MASC+FEM;SG
ville	storby	ville	storby	N;FEM;SG	N;INDF;MASC+FEM;SG
ville	by	ville	by	N;FEM;SG	N;INDF;MASC+FEM;SG
date	date	date	date	N;FEM;SG	N;INDF;MASC+FEM;SG
date	dato	date	dato	N;FEM;SG	N;INDF;MASC+FEM;SG
peut	kan	pouvoir	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
peut	kan	pouvoir	kunne	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
première	første	premier	første	ADJ;FEM;SG	ADJ
alors	derefter	alors	derefter	ADV	ADV
alors	så	alors	så	ADV	ADV
site	website	site	website	N;MASC;SG	N;INDF;NEUT;SG
site	hjemmeside	site	hjemmeside	N;MASC;SG	N;INDF;MASC+FEM;SG
site	webside	site	webside	N;MASC;SG	N;INDF;MASC+FEM;SG
site	hjemmesiden	site	hjemmeside	N;MASC;SG	N;DEF;MASC+FEM;SG
site	websted	site	websted	N;MASC;SG	N;INDF;MASC+FEM;SG
