اِبتدائی	elementary	اِبتدائی	elementary	N;NOM;MASC;SG;3	N;SG
اِبتدائیات	basics	اِبتدائیات	basic	N;NOM;MASC;PL;3	N;PL
اِبتدائیات	fundamentals	اِبتدائیات	fundamental	N;NOM;MASC;PL;3	N;PL
ابتر	miserable	ابتر	miserable	ADJ	ADJ
ابتر	spoiled	ابتر	spoiled	ADJ	ADJ
ابتر	confused	ابتر	confused	ADJ	ADJ
ابجد	beginning	ابجد	beginning	N;NOM;MASC;SG;3	N;SG
اُبکنا	expel	اُبک	expel	V;SG;NFIN;ACT	V;IMP;FIN
اُبلنا	boil	اُبل	boil	V;MASC;SG;NFIN;ACT	V;IMP;FIN
اُبلنا	rise	اُبل	rise	V;MASC;SG;NFIN;ACT	V;IMP;FIN
ابواب	taxes	ابواب	tax	N;NOM;MASC;PL;3	N;PL
ابواب	doors	ابواب	door	N;NOM;MASC;PL;3	N;PL
ابواب	chapters	ابواب	chapter	N;NOM;MASC;PL;3	N;PL
اُبھارنا	persuade	اُبھارنا	persuade	V;NFIN;ACT	V;IMP;FIN
اُبھارنا	raise	اُبھارنا	raise	V;NFIN;ACT	V;IMP;FIN
اُبھارنا	excite	اُبھارنا	excite	V;NFIN;ACT	V;IMP;FIN
اُبھارنا	urge	اُبھارنا	urge	V;NFIN;ACT	V;IMP;FIN
اُبھرنا	rise	اُبھرنا	rise	V;SG;NFIN;ACT	V;IMP;FIN
اُبھرنا	grow	اُبھرنا	grow	V;SG;NFIN;ACT	V;IMP;FIN
اُبھرنا	flourish	اُبھرنا	flourish	V;SG;NFIN;ACT	V;IMP;FIN
اُپاڑنا	ruin	اُپاڑنا	ruin	V;SG;NFIN;ACT	V;IMP;FIN
اُپاڑنا	eradicate	اُپاڑنا	eradicate	V;SG;NFIN;ACT	V;IMP;FIN
اپنا	mine	اپنا	mine	PRO;NOM;SG;3	PRO
اپنا	ours	اپنا	ours	PRO;NOM;SG;3	PRO
اپنا	mine	اپنا	mine	PRO;NOM;SG;3	PRO
اپنا	ours	اپنا	ours	PRO;NOM;SG;3	PRO
اپیل	appeal	اپیل	appeal	N;NOM;MASC;SG;3	N;SG
اُتار	descent	اُتار	descent	N;NOM;MASC;SG;3	N;SG
اُتار	slope	اُتار	slope	N;NOM;MASC;SG;3	N;SG
اُتار	exorcism	اُتار	exorcism	N;NOM;MASC;SG;3	N;SG
اُتار	decrease	اُتار	decrease	N;NOM;MASC;SG;3	N;SG
اُتار	fall	اُتار	fall	N;NOM;MASC;SG;3	N;SG
اُتار	reduction	اُتار	reduction	N;NOM;MASC;SG;3	N;SG
اُتار	decline	اُتار	decline	N;NOM;MASC;SG;3	N;SG
اُتار	ebb	اُتار	ebb	N;NOM;MASC;SG;3	N;SG
اُتارنا	reveal	اُتار	reveal	V;NFIN;ACT	V;IMP;FIN
