the	το	the	ο	DET;DEF	DET;NOM;DEF;NEUT;SG
and	και	and	και	CONJ	CONJ
was	ήταν	be	είμαι	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
that	αυτό	that	αυτός	PRO;SG	PRO;NOM;NEUT;SG;3
with	με	with	με	ADP	ADP
this	αυτο	this	αυτός	PRO;SG	PRO;NOM;NEUT;SG;3
this	αυτό	this	αυτός	PRO;SG	PRO;NOM;NEUT;SG;3
not	όχι	not	όχι	PART	PART
talk	μιλήστε	talk	μιλώ	V;IMP;FIN	V;PFV;IMP;PL;2;FIN;ACT
also	επισης	also	επισης	ADV	ADV
also	επίσης	also	επίσης	ADV	ADV
but	αλλά	but	αλλά	CONJ	CONJ
one	μία	one	ένας	NUM	NUM;NOM;FEM;SG
one	ένα	one	ένας	NUM	NUM;NOM;NEUT;SG
one	μια	one	ένας	NUM	NUM;NOM;FEM;SG
new	νέο	new	νέος	ADJ	ADJ;ACC;NEUT;SG
new	νέα	new	νέος	ADJ	ADJ;NOM;NEUT;PL
new	νέος	new	νέος	ADJ	ADJ;NOM;MASC;SG
first	πρώτον	first	πρώτον	ADV	ADV
first	πρώτα	first	πρώτα	ADV	ADV
page	σελίδα	page	σελίδα	N;SG	N;NOM;FEM;SG
page	σελιδα	page	σελιδα	N;SG	N;ACC;FEM;SG
had	είχε	have	έχω	V;IND;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
article	αρθρο	article	αρθρο	N;SG	N;NOM;NEUT;SG
article	άρθρο	article	άρθρο	N;SG	N;NOM;NEUT;SG
there	εκει	there	εκει	ADV	ADV
there	εκεί	there	εκεί	ADV	ADV
made	φτιαγμένο	make	φτιαγμένος	V;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
made	φτιαγμένη	make	φτιαγμένος	V;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
made	έκανε	make	κάνω	V;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
people	ατομα	people	ατομα	N;PL	N;NOM;NEUT;PL
people	ανθρωποι	people	ανθρώπος	N;PL	N;NOM;MASC;PL
people	άνθρωποι	people	άνθρωπος	N;PL	N;NOM;MASC;PL
people	άτομα	people	άτομο	N;PL	N;NOM;NEUT;PL
people	ανθρώπους	people	άνθρωπος	N;PL	N;ACC;MASC;PL
after	μετα	after	μετα	ADV	ADV
after	μετά	after	μετά	ADV	ADV
two	δυο	two	δύο	NUM	NUM;NOM;PL
two	δύο	two	δύο	NUM	NUM;NOM;MASC;PL
score	βαθμολογία	score	βαθμολογία	N;SG	N;ACC;FEM;SG
more	περισσότεροι	more	πολύς	ADJ;CMPR	ADJ;NOM;CMPR;MASC;PL
more	περισσότερες	more	πολύς	ADJ;CMPR	ADJ;NOM;CMPR;FEM;PL
more	περισσότερα	more	πολύς	ADJ;CMPR	ADJ;NOM;CMPR;NEUT;PL
about	περίπου	about	περίπου	ADV	ADV
when	πότε	when	πότε	ADV	ADV
