zijn	हैं	zijn	है	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
was	था	zijn	था	V;SG;PST;FIN	V;MASC;IND;SG;PST;FIN;ACT
was	थी	zijn	था	V;SG;PST;FIN	V;FEM;IND;SG;PST;FIN;ACT
score	अंक	score	अंक	N;MASC+FEM;SG	N;NOM;MASC;SG;3
score	स्कोर	score	स्कोर	N;MASC+FEM;SG	N;NOM;MASC;SG;3
naam	नाम	naam	नाम	N;MASC+FEM;SG	N;NOM;MASC;SG;3
soort	प्रकार	soort	प्रकार	N;SG	N;NOM;MASC;SG;3
soort	प्रकार	soort	प्रकार	N;SG	N;NOM;MASC;SG;3
soort	प्रजाति	soort	प्रजाति	N;SG	N;NOM;FEM;SG;3
familie	फैमिली	familie	फैमिली	N;MASC+FEM;SG	N;NOM;FEM;SG;3
familie	परिवार	familie	परिवार	N;MASC+FEM;SG	N;NOM;MASC;SG;3
eerst	पहले	eerst	पहले	ADV	ADV;NOM;MASC;SG;3
maar	लेकिन	maar	लेकिन	CONJ	CONJ
maar	मगर	maar	मगर	CONJ	CONJ
dan	फिर	dan	फिर	ADV	ADV
plaats	जगह	plaats	जगह	N;MASC+FEM;SG	N;NOM;FEM;SG;3
plaats	स्थान	plaats	स्थान	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	प्लेस	plaats	प्लेस	N;MASC+FEM;SG	N;NOM;FEM;SG;3
team	दस्ता	team	दस्ता	N;NEUT;SG	N;NOM;MASC;SG;3
team	दस्ते	team	दस्ता	N;NEUT;SG	N;NOM;MASC;SG;3
team	स्क्वाड	team	स्क्वाड	N;NEUT;SG	N;NOM;MASC;SG;3
team	टीम	team	टीम	N;NEUT;SG	N;NOM;FEM;SG;3
team	टोली	team	टोली	N;NEUT;SG	N;NOM;FEM;SG;3
eerste	प्रथम	één	प्रथम	ADJ	ADJ
eerste	पहली	één	पहला	ADJ	ADJ;NOM;FEM;SG
eerste	पहला	één	पहला	ADJ	ADJ;NOM;MASC;SG
jaar	वर्ष	jaar	वर्ष	N;NEUT;SG	N;NOM;MASC;SG;3
jaar	साल	jaar	साल	N;NEUT;SG	N;NOM;MASC;SG;3
jaar	वर्ष	jaar	वर्ष	N;NEUT;SG	N;NOM;MASC;SG;3
jaar	साल	jaar	साल	N;NEUT;SG	N;NOM;MASC;SG;3
twee	दो	twee	दो	NUM	NUM
inwoners	निवासियों	inwoner	निवासी	N;PL	N;ACC;MASC;PL;3
inwoners	निवासियों	inwoner	निवासी	N;PL	N;ACC;MASC;PL;3
wat	क्या	wat	क्या	PRO;3	PRO
deel	हिस्से	deel	हिस्सा	N;NEUT;SG	N;NOM;MASC;SG;3
deel	हिस्सा	deel	हिस्सा	N;NEUT;SG	N;NOM;MASC;SG;3
externe	बाहरी	extern	बाहरी	ADJ	ADJ;NOM
overleg	परामर्श	overleg	परामर्श	N;NEUT;SG	N;NOM;MASC;SG;3
komt	आता	komen	आ	V;SG;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
tegen	खिलाफ	tegen	खिलाफ	ADP	ADP
tegen	विरुद्ध	tegen	विरुद्ध	ADP	ADP
tweede	दूसरा	twee	दूसरा	ADJ	ADJ;NOM;MASC;SG
