kas	誰	kas	誰	PRO;NOM	PRO
tas	這	tas	這	PRO;NOM;MASC;SG	PRO
dzimis	生	dzimt	生	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V
dzimis	誕生	dzimt	誕生	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V
dzimis	出生	dzimt	出生	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V
valsts	國家	valsts	國家	N;NOM;FEM;SG	N
valsts	國家	valsts	國家	N;NOM;FEM;SG	N
valsts	州	valsts	州	N;NOM;FEM;SG	N
nav	無	nebūt	無	V;FH;IND;3;NEG;PRS;FIN;ACT	V
tās	她們	tā	她	PRO;NOM;FEM;PL	PRO;PL;3
tās	他們	tā	他	PRO;NOM;FEM;PL	PRO;PL;3
tās	它們	tā	它	PRO;NOM;FEM;PL	PRO;PL;3
atrodas	位	atrasties	位	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V
viņa	他	viņa	他	PRO;NOM;FEM;SG;3	PRO;3
viņa	她	viņa	她	PRO;NOM;FEM;SG;3	PRO;3
gadu	年度	gads	年度	N;ACC;MASC;SG	N
gadu	年份	gads	年份	N;ACC;MASC;SG	N
gadu	年	gads	年	N;ACC;MASC;SG	N
pilsētas	城鎮	pilsēta	城鎮	N;NOM;FEM;PL	N
pilsētas	城市	pilsēta	城市	N;NOM;FEM;PL	N
vieta	地點	vieta	地點	N;NOM;FEM;SG	N
vieta	場地	vieta	場地	N;NOM;FEM;SG	N
vieta	會場	vieta	會場	N;NOM;FEM;SG	N
vieta	地方	vieta	地方	N;NOM;FEM;SG	N
vieta	地點	vieta	地點	N;NOM;FEM;SG	N
vieta	位置	vieta	位置	N;NOM;FEM;SG	N
vieta	地點	vieta	地點	N;NOM;FEM;SG	N
vieta	網站	vieta	網站	N;NOM;FEM;SG	N
vieta	工地	vieta	工地	N;NOM;FEM;SG	N
kara	戰	karš	戰	N;NOM;MASC;SG	N
kara	戰爭	karš	戰爭	N;NOM;MASC;SG	N
iela	街頭	iela	街頭	N;NOM;FEM;SG	N
iela	街道	iela	街道	N;NOM;FEM;SG	N
iela	街	iela	街	N;NOM;FEM;SG	N
jau	已經	jau	已經	ADV	ADV
novada	退伍	novads	退伍	N;NOM;MASC;SG	N
attēls	照片	attēls	照片	N;NOM;MASC;SG	N
attēls	圖片	attēls	圖片	N;NOM;MASC;SG	N
attēls	影象	attēls	影象	N;NOM;MASC;SG	N
attēls	影像	attēls	影像	N;NOM;MASC;SG	N
attēls	圖片	attēls	圖片	N;NOM;MASC;SG	N
attēls	圖	attēls	圖	N;NOM;MASC;SG	N
pilsēta	城鎮	pilsēta	城鎮	N;NOM;FEM;SG	N
pilsēta	鎮	pilsēta	鎮	N;NOM;FEM;SG	N
pilsēta	城市	pilsēta	城市	N;NOM;FEM;SG	N
pilsēta	市	pilsēta	市	N;NOM;FEM;SG	N
pilsēta	城	pilsēta	城	N;NOM;FEM;SG	N
viens	一	viens	一	NUM;NOM;MASC;SG	NUM
viens	一	viens	一	NUM;NOM;MASC;SG	NUM
ļoti	非常	ļoti	非常	ADV	ADV
vēl	仍然	vēl	仍然	ADV	ADV
vēl	依然	vēl	依然	ADV	ADV
vēl	然而	vēl	然而	ADV	ADV
viena	一	viena	一	NUM;NOM;FEM;SG	NUM
viena	一	viena	一	NUM;NOM;FEM;SG	NUM
pagasts	教區	pagasts	教區	N;NOM;MASC;SG	N
vairāk	更	daudz	更	ADV;CMPR	ADV
tad	然後	tad	然後	ADV	ADV
tad	那麼	tad	那麼	ADV	ADV
tie	她們	tas	她	PRO;NOM;MASC;PL	PRO;PL;3
tie	他們	tas	他	PRO;NOM;MASC;PL	PRO;PL;3
tie	它們	tas	它	PRO;NOM;MASC;PL	PRO;PL;3
zemes	大地	zeme	大地	N;NOM;FEM;PL	N
zemes	陸地	zeme	陸地	N;NOM;FEM;PL	N
zemes	土地	zeme	土地	N;NOM;FEM;PL	N
zemes	地面	zeme	地面	N;NOM;FEM;PL	N
šaha	象棋	šahs	象棋	N;NOM;MASC;SG	N
šaha	西洋	šahs	西洋	N;NOM;MASC;SG	N
centrs	中心	centrs	中心	N;NOM;MASC;SG	N
centrs	中心	centrs	中心	N;NOM;MASC;SG	N
kurš	誰	kurš	誰	PRO;NOM;MASC;SG	PRO
trīs	三	trīs	三	NUM;NOM;MASC;PL	NUM
trīs	三	trīs	三	NUM;NOM;MASC;PL	NUM
parasti	一般	parasti	一般	ADV	ADV
parasti	通常	parasti	通常	ADV	ADV
parasti	通常	parasti	通常	ADV	ADV
jūras	海事	jūra	海事	N;NOM;FEM;SG	N
spēles	遊戲	spēle	遊戲	N;NOM;FEM;PL	N
nosaukums	名字	nosaukums	名字	N;NOM;MASC;SG	N
nosaukums	名稱	nosaukums	名稱	N;NOM;MASC;SG	N
nosaukums	姓名	nosaukums	姓名	N;NOM;MASC;SG	N
sezonas	季節	sezona	季節	N;NOM;FEM;PL	N
sezonas	季	sezona	季	N;NOM;FEM;PL	N
sezonas	季節	sezona	季節	N;NOM;FEM;PL	N
sezonas	季	sezona	季	N;NOM;FEM;PL	N
sezonas	季節	sezona	季節	N;NOM;FEM;PL	N
grupas	群組	grupa	群組	N;NOM;FEM;PL	N
grupas	群	grupa	群	N;NOM;FEM;PL	N
grupas	群組	grupa	群組	N;NOM;FEM;PL	N
grupas	團體	grupa	團體	N;NOM;FEM;PL	N
vienu	一	viens	一	NUM;ACC;MASC;SG	NUM
vienu	一	viens	一	NUM;ACC;MASC;SG	NUM
laika	天氣	laiks	天氣	N;GEN;MASC;SG	N
laika	氣象	laiks	氣象	N;GEN;MASC;SG	N
laika	時光	laiks	時光	N;GEN;MASC;SG	N
laika	時間	laiks	時間	N;GEN;MASC;SG	N
gads	年度	gads	年度	N;NOM;MASC;SG	N
gads	年份	gads	年份	N;NOM;MASC;SG	N
gads	年	gads	年	N;NOM;MASC;SG	N
skatīt	見	skatīt	見	V;POS;NFIN	V
centra	中心	centrs	中心	N;GEN;MASC;SG	N
padomju	板	padome	板	N;GEN;FEM;PL	N
tautas	熱門	tauta	熱門	N;NOM;FEM;PL	N
tautas	人氣	tauta	人氣	N;NOM;FEM;PL	N
tautas	民謠	tauta	民謠	N;NOM;FEM;PL	N
