przez	بشمول	przez	بشمول	ADP	ADP
dyskusja	مباحثہ	dyskusja	مباحثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dyskusja	گفتگو	dyskusja	گفتگو	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dyskusja	مباحثہ	dyskusja	مباحثہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dyskusja	گفتگو	dyskusja	گفتگو	N;NOM;FEM;SG	N;NOM;MASC;SG;3
dyskusja	بحث	dyskusja	بحث	N;NOM;FEM;SG	N;NOM;MASC;SG;3
jak	غالباً	jak	غالباً	ADV	ADV
jak	غالباً	jak	غالباً	ADV	ADV
też	بھی	też	بھی	PART	PART
miejsce	نشان	miejsce	نشان	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	مرتبہ	miejsce	مرتبہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	منصب	miejsce	منصب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	احاطہ	miejsce	احاطہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	نشست	miejsce	نشست	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	مرتبہ	miejsce	مرتبہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	مقام	miejsce	مقام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	منصب	miejsce	منصب	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	احاطہ	miejsce	احاطہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	نشست	miejsce	نشست	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
miejsce	محلہ	miejsce	محلہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
zewnętrzne	معروضی	zewnętrzny	معروضی	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	معروضی	zewnętrzny	معروضی	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	بیرونی	zewnętrzny	بیرونی	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	خارجی	zewnętrzny	خارجی	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	خارجی	zewnętrzny	خارجی	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	بیرونی	zewnętrzny	بیرونی	ADJ;NOM;NEUT;SG	ADJ
także	بھی	także	بھی	PART	PART
lub	لیکن	lub	لیکن	CONJ	CONJ
ale	لیکن	ale	لیکن	CONJ	CONJ
również	بھی	również	بھی	PART	PART
miejscowość	بلدیہ	miejscowość	بلدیہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
