keris	kris	keris	kris	N	N;MASC+FEM;SG
dihormati	geëerd	dihormati	geveren	V;SG;PASS	V;V.PTCP
dihormati	gehuldigd	dihormati	huldigen	V;SG;PASS	V;V.PTCP
dihormati	vereerd	dihormati	vereerd	V;SG;PASS	V;V.PTCP
dihormati	gerespecteerd	dihormati	respecteren	V;SG;PASS	V;V.PTCP
dihormati	vereerd	dihormati	vereerd	V;SG;PASS	V;V.PTCP
dihormati	gehuldigd	dihormati	huldigen	V;SG;PASS	V;V.PTCP
dihormati	vereerd	dihormati	vereerd	V;SG;PASS	V;V.PTCP
dihormati	geëerd	dihormati	geveren	V;SG;PASS	V;V.PTCP
destinasi	bestemming	destinasi	bestemming	N;SG	N;MASC+FEM;SG
mendeteksi	detecteert	mendeteksi	detecteren	V;SG;ACT	V;SG;PRS;FIN
mendeteksi	gedetecteerd	mendeteksi	detecteren	V;SG;ACT	V;V.PTCP
mendeteksi	ontdekt	mendeteksi	ontdekken	V;SG;ACT	V;V.PTCP
mendeteksi	detecteren	mendeteksi	detecteren	V;SG;ACT	V;NFIN
komoditas	handelswaar	komoditas	handelswaar	N;SG	N;MASC+FEM;SG
komoditas	grondstof	komoditas	grondstof	N;SG	N;MASC+FEM;SG
usus	darm	usus	darm	N;SG	N;MASC+FEM;SG
usus	darm	usus	darm	N;SG	N;MASC+FEM;SG
usus	colon	usus	colon	N;SG	N;MASC+FEM;SG
usus	gut	usus	gut	N;SG	N;MASC+FEM;SG
sosiologi	sociologie	sosiologi	sociologie	N;SG	N;MASC+FEM;SG
argumen	argument	argumen	argument	N;SG	N;NEUT;SG
memuji	geprezen	menpuji	prijzen	V;SG;ACT	V;V.PTCP
berpisah	gescheiden	berpisah	scheiden	V;SG;ACT	V;V.PTCP
memberontak	rebelleerde	menberontak	rebelleren	V;SG;ACT	V;SG;PST;FIN
fragmen	fragment	fragmen	fragment	N;SG	N;NEUT;SG
popularitas	populariteit	popularitas	populariteit	N;SG	N;MASC+FEM;SG
buka	openen	buka	openen	V;SG;ACT	V;NFIN
frasa	zin	frasa	zin	N	N;MASC+FEM;SG
frasa	zinnen	frasa	zin	N	N;PL
frasa	uitdrukkingen	frasa	uitdrukking	N	N;PL
spektrum	spectrum	spektrum	spectrum	N;SG	N;NEUT;SG
teroris	terrorist	teroris	terrorist	N;SG	N;MASC+FEM;SG
pendekar	zwaardvechter	pendekar	zwaardvechter	N;SG	N;MASC+FEM;SG
larut	laat	larut	laten	V;SG;ACT	V;SG;PRS;FIN
dikirimkan	geleverd	dikirimkan	leveren	V;SG;PASS	V;V.PTCP
dikirimkan	geleverde	dikirimkan	leveren	V;SG;PASS	V;V.PTCP
dikirimkan	bezorgd	dikirimkan	bezorgd	V;SG;PASS	V;V.PTCP
dikirimkan	afgeleverd	dikirimkan	afleveren	V;SG;PASS	V;V.PTCP
dikirimkan	ingezonden	dikirimkan	inzenden	V;SG;PASS	V;V.PTCP
dikirimkan	ingediende	dikirimkan	indienen	V;SG;PASS	V;V.PTCP
dikirimkan	ingediend	dikirimkan	indienen	V;SG;PASS	V;V.PTCP
dikirimkan	verzonden	dikirimkan	verzinden	V;SG;PASS	V;V.PTCP
dikirimkan	verstuurd	dikirimkan	versturen	V;SG;PASS	V;V.PTCP
dikirimkan	verzonden	dikirimkan	verzinden	V;SG;PASS	V;V.PTCP
dikirimkan	gestuurd	dikirimkan	sturen	V;SG;PASS	V;V.PTCP
dikirimkan	gepost	dikirimkan	posten	V;SG;PASS	V;V.PTCP
dikirimkan	geplaatste	dikirimkan	plaatsen	V;SG;PASS	V;V.PTCP
dikirimkan	geplaatst	dikirimkan	plaatsen	V;SG;PASS	V;V.PTCP
mikro	micro	mikro	micro	N;SG	N;MASC+FEM;SG
professor	professor	professor	professor	N	N;MASC+FEM;SG
professor	hoogleraar	professor	hoogleraar	N	N;MASC+FEM;SG
tersembunyi	verstopt	tersembunyi	verstoppen	V;SG;PASS	V;V.PTCP
tersembunyi	verborgen	tersembunyi	verbergen	V;SG;PASS	V;V.PTCP
cakram	schijf	cakram	schijf	N;SG	N;MASC+FEM;SG
