پِن	pin	پِن	pin		
پُن	זכר	پُن	זכר		
پناہ	הגנה	پناہ	הגנה	N;NOM;MASC;SG;3	N;FEM;SG
پناہ	הגנה	پناہ	הגנה	N;NOM;MASC;SG;3	N;FEM;SG
پِنپنانا	לשרוק	پِنپنانا	שרק	V;NFIN	V;NFIN;ACT
پنج	five	پنج	five		
پِنجنا	הצטרף	پِنج	הצטרף	V;SG;NFIN;ACT	V;MASC;SG;3;PST
پِنجنا	להצטרף	پِنج	הצטרף	V;SG;NFIN;ACT	V;NFIN
پنجہ	כח	پنجہ	כוח		
پنجہ	power	پنجہ	power		
پنچ	בורר	پنچ	בורר		
پنچ	five	پنچ	five		
پنچایت	אחווה	پنچایت	אחווה	N;NOM;MASC;SG;3	N;FEM;SG
پنچایت	שטות	پنچایت	שטה	N;NOM;MASC;SG;3	N;FEM;SG
پنچایت	בוררות	پنچایت	בוררות	N;NOM;MASC;SG;3	N;FEM;SG
پنچایت	הקהילה	پنچایت	הקהיל	N;NOM;MASC;SG;3	N;FEM;SG
پنچایت	קהילה	پنچایت	קהילה	N;NOM;MASC;SG;3	N;FEM;SG
پند	עצה	پند	עצה		
پِنڈ	גוש	پِنڈ	גוש		
پِنڈ	הגוף	پِنڈ	הגוף		
پِنڈ	הכפר	پِنڈ	הכפר		
پنڈک	סריס	پنڈک	סריס		
پنکھ	נוצה	پنکھ	נוצה	N;NOM;MASC;SG;3	N;MASC;SG
پنکھ	אגף	پنکھ	אגף	N;NOM;MASC;SG;3	N;MASC;SG
پنکھا	מעריץ	پنکھا	מעריץ	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
پنکھا	מעריץ	پنکھا	מעריץ	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;ACT
پنہا	רחב	پنہا	רחב		
پنہا	מרווחים	پنہا	מרווח		
پنہا	מרווחת	پنہا	מרווחת		
پنہا	מרווח	پنہا	מרווח		
پنہا	רחב	پنہا	רחב		
پنیر	גבינה	پنیر	גבינה	N;NOM;MASC;SG;3	N;FEM;SG
پَو	השחר	پَو	השחר		
پوٹ	עודף	پوٹ	עודף		
پوٹ	ערימה	پوٹ	ערימה		
پوٹ	צרור	پوٹ	צרור		
پوٹ	שפע	پوٹ	שפע		
پُوچھنا	להתייעץ	پُوچھ	התייעץ	V;MASC;SG;NFIN;ACT	V;NFIN
پُوچھنا	להזמנה	پُوچھ	הזמנה	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پُوچھنا	תשאל	پُوچھ	תשאל	V;MASC;SG;NFIN;ACT	V;MASC;SG;2;FUT;ACT
پُوچھنا	תשאלי	پُوچھ	תשאלי	V;MASC;SG;NFIN;ACT	V;SG;1;FUT;ACT
پَوڑھنا	לנוח	پَوڑھنا	נח	V;MASC;SG;NFIN;ACT	V;NFIN;ACT
پوست	פופי	پوست	פופי		
پوست	פפי	پوست	פפי		
پوست	פופי	پوست	פופי		
پوست	פפי	پوست	פפי		
پوست	העור	پوست	העור		
پوشیدہ	מכוסה	پوشیدہ	מכוסה	ADJ	ADJ;MASC;SG
پوشیدہ	מכוסים	پوشیدہ	מכוסה	ADJ	ADJ;MASC;PL
پوشیدہ	חבוי	پوشیدہ	חבוי	ADJ	ADJ;MASC;SG
پوشیدہ	מכוסה	پوشیدہ	מכוסה	ADJ	ADJ;MASC;SG
پوشیدہ	מכוסים	پوشیدہ	מכוסה	ADJ	ADJ;MASC;PL
پوشیدہ	חבוי	پوشیدہ	חבוי	ADJ	ADJ;MASC;SG
پول	ריקנות	پول	ריקן	N;NOM;MASC;SG;3	N;FEM;SG
پول	סודיות	پول	סודיות	N;NOM;MASC;SG;3	N;FEM;SG
پول	סודי	پول	סודי	N;NOM;MASC;SG;3	N;MASC;SG
پہاڑ	ענק	پہاڑ	ענק	N;NOM;MASC;SG;3	N;MASC;SG
پہاڑ	ענק	پہاڑ	ענק	N;NOM;MASC;SG;3	N;MASC;SG
پہچان	הבחנה	پہچان	הבחנה	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	ההבחנה	پہچان	ההבחנה	N;NOM;MASC;SG;3	N;FEM;SG
پہچان	הזדהות	پہچان	הזדהות	N;NOM;MASC;SG;3	N;FEM;SG
