com	سے	com	سے	ADP	ADP
para	بحوالہ	para	بحوالہ	ADP	ADP
para	بمناسبت	para	بمناسبت	ADP	ADP
para	بغرض	para	بغرض	ADP	ADP
por	بمطابق	por	بمطابق	ADP	ADP
por	نزدیک	por	نزدیک	ADP	ADP;NOM;MASC;SG;3
por	براہِ	por	براہِ	ADP	ADP
por	بحوالہ	por	بحوالہ	ADP	ADP
por	بمناسبت	por	بمناسبت	ADP	ADP
por	بغرض	por	بغرض	ADP	ADP
como	غالباً	como	غالباً	ADV	ADV
como	غالباً	como	غالباً	ADV	ADV
também	نہایت	também	نہایت	ADV	ADV
pela	بمعیار	pela	بمعیار	N;MASC;SG	N
pela	ذریعے	pela	ذریعہ	N;MASC;SG	N;NOM;MASC;SG;3
pelo	بمعیار	pelo	بمعیار	N;MASC;SG	N
pelo	ذریعے	pelo	ذریعہ	N;MASC;SG	N;NOM;MASC;SG;3
ele	وہ	ele	وہ	PRO;NOM;MASC;SG;3	PRO;NOM;SG;3
mas	لیکن	mas	لیکن	CONJ	CONJ
discussão	مباحثہ	discussão	مباحثہ	N;FEM;SG	N;NOM;MASC;SG;3
discussão	گفتگو	discussão	گفتگو	N;FEM;SG	N;NOM;MASC;SG;3
discussão	مباحثہ	discussão	مباحثہ	N;FEM;SG	N;NOM;MASC;SG;3
discussão	گفتگو	discussão	گفتگو	N;FEM;SG	N;NOM;MASC;SG;3
discussão	بحث	discussão	بحث	N;FEM;SG	N;NOM;MASC;SG;3
sobre	نزدیک	sobre	نزدیک	ADP	ADP;NOM;MASC;SG;3
cidade	بلدیہ	cidade	بلدیہ	N;FEM;SG	N;NOM;MASC;SG;3
grande	بڑا	grande	بڑا	ADJ;MASC;SG	ADJ;NOM;MASC;SG
grande	اہم	grande	اہم	ADJ;MASC;SG	ADJ
grande	نمایاں	grande	نمایاں	ADJ;MASC;SG	ADJ
grande	اہم	grande	اہم	ADJ;MASC;SG	ADJ
grande	ممتاز	grande	ممتاز	ADJ;MASC;SG	ADJ
grande	شاندار	grande	شاندار	ADJ;MASC;SG	ADJ
grande	وسیع	grande	وسیع	ADJ;MASC;SG	ADJ
grande	پُرشکوہ	grande	پُرشکوہ	ADJ;MASC;SG	ADJ
grande	ماہر	grande	ماہر	ADJ;MASC;SG	ADJ
grande	نمایاں	grande	نمایاں	ADJ;MASC;SG	ADJ
grande	اہم	grande	اہم	ADJ;MASC;SG	ADJ
grande	ممتاز	grande	ممتاز	ADJ;MASC;SG	ADJ
grande	شاندار	grande	شاندار	ADJ;MASC;SG	ADJ
grande	وسیع	grande	وسیع	ADJ;MASC;SG	ADJ
grande	پُرشکوہ	grande	پُرشکوہ	ADJ;MASC;SG	ADJ
grande	ماہر	grande	ماہر	ADJ;MASC;SG	ADJ
