que	že	que	že	CONJ	CONJ
categoría	kategorii	categoría	kategorie	N;FEM;SG	N;ACC;FEM;SG;POS
categoría	kategorie	categoría	kategorie	N;FEM;SG	N;NOM;FEM;SG;POS
para	pro	para	pro	ADP	ADP;ACC
para	za	para	za	ADP	ADP;ACC
como	jako	como	jako	CONJ	CONJ
más	více	más	hodně	ADV	ADV;CMPR;POS
más	víc	más	hodně	ADV	ADV;CMPR;POS
sus	jejich	su	jeho	DET;PL;3	DET;3
sus	jeho	su	jeho	DET;PL;3	DET;3
sus	jeho	su	jeho	DET;PL;3	DET;3
también	rovněž	también	rovněž	ADV	ADV
también	také	también	také	ADV	ADV
también	též	también	též	ADV	ADV
también	taky	también	také	ADV	ADV
también	taky	también	také	ADV	ADV
entre	mezi	entre	mezi	ADP	ADP;ACC
entre	mezi	entre	mezi	ADP	ADP;ACC
pero	ale	pero	ale	CONJ	CONJ
años	léta	año	rok	N;MASC;PL	N;NOM;NEUT;PL;POS
años	roků	año	rok	N;MASC;PL	N;INAN;GEN;MASC;PL;POS
años	let	año	rok	N;MASC;PL	N;GEN;NEUT;PL;POS
años	roky	año	rok	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
dos	dva	dos	dva	NUM;PL	NUM;NOM;MASC;PL
dos	dvě	dos	dva	NUM;PL	NUM;NOM;PL
año	roku	año	rok	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
año	rok	año	rok	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
año	ročník	año	ročník	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
año	roce	año	rok	N;MASC;SG	N;INAN;GEN;MASC;SG;POS
desde	od	desde	od	ADP	ADP;GEN
enlaces	odkazy	enlace	odkaz	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
externos	externích	externo	externí	ADJ;MASC;PL	ADJ;GEN;MASC;PL;POS
ciudad	město	ciudad	město	N;FEM;SG	N;NOM;NEUT;SG;POS
ciudad	městečko	ciudad	městečko	N;FEM;SG	N;NOM;NEUT;SG;POS
ciudad	město	ciudad	město	N;FEM;SG	N;NOM;NEUT;SG;POS
ser	být	ser	být	V;NFIN	V;POS;NFIN
parte	večírek	parte	večírek	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
parte	strana	parte	strana	N;FEM;SG	N;NOM;FEM;SG;POS
parte	part	parte	part	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
parte	část	parte	část	N;FEM;SG	N;NOM;FEM;SG;POS
durante	během	durante	během	ADP	ADP;GEN
sin	bez	sin	bez	ADP	ADP;GEN
san	světec	san	světec	N;MASC;SG	N;ANIM;NOM;MASC;SG;POS
nacional	vnitrostátní	nacional	vnitrostátní	ADJ;SG	ADJ;NOM;MASC;SG;POS
nacional	celostátní	nacional	celostátní	ADJ;SG	ADJ;NOM;MASC;SG;POS
nacional	národní	nacional	národní	ADJ;SG	ADJ;NOM;MASC;SG;POS
primera	první	primero	první	ADJ;FEM;SG	ADJ;NOM;MASC;SG
team	mužstvo	team	mužstvo	N	N;NOM;NEUT;SG;POS
team	tým	team	tým	N	N;INAN;NOM;MASC;SG;POS
team	team	team	team	N	N;INAN;NOM;MASC;SG;POS
cuando	když	cuando	když	CONJ	CONJ
nombre	jméno	nombre	jméno	N;MASC;SG	N;NOM;NEUT;SG;POS
nombre	jmeno	nombre	jmeno	N;MASC;SG	N;NOM;MASC;SG;POS
nombre	name	nombre	můj	N;MASC;SG	N;NOM;MASC;SG;POS
nombre	název	nombre	název	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
estados	státy	estado	stát	N;MASC;PL	N;INAN;NOM;MASC;PL;POS
utc	utc	utc	utc	N	N;MASC;POS
siglo	století	siglo	století	N;MASC;SG	N;NOM;NEUT;SG;POS
después	poté	después	poté	ADV	ADV
después	později	después	pozdě	ADV	ADV;CMPR;POS
tiene	má	tener	mít	V;IND;SG;3;PRS;FIN	V;IND;SG;3;POS;PRS;FIN;ACT
gran	velký	gran	velký	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
gran	velká	gran	velký	ADJ;SG	ADJ;NOM;FEM;SG;POS
gran	big	gran	big	ADJ;SG	ADJ;POS
gran	skvělý	gran	skvělý	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS
gran	grand	gran	grand	ADJ;SG	ADJ;POS
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	ADJ;POS
unidos	spojených	unido	spojený	ADJ;MASC;PL;V.PTCP	ADJ;GEN;MASC;PL;POS
unidos	spojené	unido	spojený	ADJ;MASC;PL;V.PTCP	ADJ;NOM;MASC;PL;POS
puede	může	poder	moci	V;IND;SG;3;PRS;FIN	V;IND;SG;3;POS;PRS;FIN;ACT
estado	stav	estado	stav	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
estado	status	estado	status	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
estado	postavení	estado	postavení	N;MASC;SG	N;NOM;NEUT;SG;POS
estado	stát	estado	stát	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
estado	stav	estado	stav	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
estado	podmínkou	estado	podmínka	N;MASC;SG	N;INS;FEM;SG;POS
estado	podmínka	estado	podmínka	N;MASC;SG	N;NOM;FEM;SG;POS
lugar	místo	lugar	místo	N;MASC;SG	N;NOM;NEUT;SG;POS
lugar	misto	lugar	misto	N;MASC;SG	N;NOM;MASC;SG;POS
lugar	místo	lugar	místo	N;MASC;SG	N;NOM;NEUT;SG;POS
lugar	poloha	lugar	poloha	N;MASC;SG	N;NOM;FEM;SG;POS
lugar	umístění	lugar	umístění	N;MASC;SG	N;NOM;NEUT;SG;POS
lugar	lokalita	lugar	lokalita	N;MASC;SG	N;NOM;FEM;SG;POS
primer	první	primero	první	ADJ;MASC;SG	ADJ;NOM;MASC;SG
población	obyvatelstvo	población	obyvatelstvo	N;FEM;SG	N;NOM;NEUT;SG;POS
población	populace	población	populace	N;FEM;SG	N;NOM;FEM;SG;POS
muy	velice	mucho	velice	ADV	ADV
muy	velmi	mucho	velmi	ADV	ADV
mismo	stejné	mismo	stejný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG;POS
mismo	stejný	mismo	stejný	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
mismo	stejná	mismo	stejný	ADJ;MASC;SG	ADJ;NOM;FEM;SG;POS
nueva	nový	nuevo	nový	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
nueva	nová	nuevo	nový	ADJ;FEM;SG	ADJ;NOM;FEM;SG;POS
historia	story	historia	story	N;FEM;SG	N;FEM;SG;POS
historia	příběh	historia	příběh	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
historia	dějepis	historia	dějepis	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
historia	historie	historia	historie	N;FEM;SG	N;NOM;FEM;SG;POS
historia	historii	historia	historie	N;FEM;SG	N;ACC;FEM;SG;POS
club	klub	club	klub	N;MASC;SG	N;INAN;NOM;MASC;SG;POS
club	klubu	club	klub	N;MASC;SG	N;INAN;DAT;MASC;SG;POS
cual	což	cual	což	PRO;SG	PRO;NOM
universidad	univerzita	universidad	univerzita	N;FEM;SG	N;NOM;FEM;SG;POS
forma	tvar	forma	tvar	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
forma	forma	forma	forma	N;FEM;SG	N;NOM;FEM;SG;POS
forma	formulář	forma	formulář	N;FEM;SG	N;INAN;NOM;MASC;SG;POS
forma	formě	forma	forma	N;FEM;SG	N;DAT;FEM;SG;POS
tres	tři	tres	tři	NUM;PL	NUM;NOM;PL
grupo	skupinu	grupo	skupina	N;MASC;SG	N;ACC;FEM;SG;POS
grupo	skupina	grupo	skupina	N;MASC;SG	N;NOM;FEM;SG;POS
guerra	válka	guerra	válka	N;FEM;SG	N;NOM;FEM;SG;POS
guerra	válce	guerra	válka	N;FEM;SG	N;DAT;FEM;SG;POS
guerra	válku	guerra	válka	N;FEM;SG	N;ACC;FEM;SG;POS
