nie	nicht	nie	nicht	PART;NEG	PART;NEG
przez	durch	przez	durch	ADP	ADP
oraz	sowie	oraz	sowie	CONJ	CONJ
oraz	und	oraz	und	CONJ	CONJ
dla	für	dla	für	ADP	ADP
pod	unter	pod	unter	ADP	ADP
cest	cest	cest	cest		
dyskusja	diskussion	dyskusja	diskussion	N;NOM;FEM;SG	N
jak	inwiefern	jak	inwiefern	ADV	ADV
jak	woher	jak	woher	ADV	ADV
też	zu	też	zu	PART	PART
miejsce	ort	miejsce	ort	N;NOM;NEUT;SG	N;NOM;MASC;SG
miejsce	ort	miejsce	ort	N;NOM;NEUT;SG	N;NOM;MASC;SG
polski	polnisch	polski	polnisch	ADJ;NOM;MASC;SG	ADJ
polski	polnisches	polski	polnisch	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
zewnętrzne	äußeren	zewnętrzny	äußer	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	außenseite	zewnętrzny	außenseite	ADJ;NOM;NEUT;SG	ADJ
zewnętrzne	externen	zewnętrzny	extern	ADJ;NOM;NEUT;SG	ADJ
cet	mez	cet	mez		
ale	aber	ale	aber	CONJ	CONJ
brak	fehlen	brak	fehlen	V;IND;PRS;FIN	V;NFIN
brak	fehlen	brak	fehlen	V;IND;PRS;FIN	V;NFIN
brak	fehlt	brak	fehlen	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
brak	fehlen	brak	fehlen	V;IND;PRS;FIN	V;NFIN
brak	vermisst	brak	vermissen	V;IND;PRS;FIN	V;V.PTCP
gdzie	wo	gdzie	wo	ADV	ADV
gdzie	wohin	gdzie	wohin	ADV	ADV
zobacz	sehen	zobaczyć	sehen	V;PFV;IMP;SG;2;FIN;ACT	V;NFIN
zobacz	siehe	zobaczyć	sehen	V;PFV;IMP;SG;2;FIN;ACT	V;IMP;SG;FIN
zobacz	ansehen	zobaczyć	ansehen	V;PFV;IMP;SG;2;FIN;ACT	V;NFIN
zobacz	anzeigen	zobaczyć	anzeigen	V;PFV;IMP;SG;2;FIN;ACT	V;NFIN
rok	jahr	rok	Jahr	N;NOM;MASC;SG	N;NOM;NEUT;SG
rok	jahres	rok	jahres	N;NOM;MASC;SG	N;NOM;NEUT;SG
wieś	dorf	wieś	dorf	N;NOM;FEM;SG	N;NOM;NEUT;SG
lipca	july	lipiec	july		
później	nachher	późno	nachher	ADV;CMPR	ADV
lutego	february	luty	february		
lutego	feb	luty	feb		
przed	vor	przed	vor	ADP	ADP
pierwszy	erster	pierwszy	erst	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
wojny	krieg	wojna	kriegen	N;GEN;FEM;SG	N
wojny	krieg	wojna	kriegen	N;GEN;FEM;SG	N
znajduje	findet	znajdować	finden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
znajduje	finden	znajdować	finden	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN
data	datum	datać	datum		
nazwa	name	nazwa	Name	N;NOM;FEM;SG	N;NOM;SG
obecnie	derzeit	obecnie	derzeit	ADV	ADV
obecnie	zurzeit	obecnie	zurzeit	ADV	ADV
dwa	zwei	dwa	zwei	NUM;ACC;MASC;PL	NUM
liczba	anzahl	liczba	anzahl	N;NOM;FEM;SG	N;SG
liczba	zahl	liczba	zahl	N;NOM;FEM;SG	N;NOM;FEM;SG
bardzo	sehr	bardzo	sehr	ADV	ADV
bardzo	äußerst	bardzo	äußerst	ADV	ADV
bez	ohne	bez	ohne	ADP	ADP
gdy	wenn	gdy	wenn	CONJ	CONJ
między	zwischen	między	zwischen	ADP	ADP
stronie	seite	strona	seit	N;DAT;FEM;SG	N
strona	seite	strona	seit	N;NOM;FEM;SG	N
strona	website	strona	websit	N;NOM;FEM;SG	N;SG
strona	seite	strona	seit	N;NOM;FEM;SG	N
udział	teilgenommen	udział	teilnehmen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
udział	einbeziehung	udział	einbeziehung	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
udział	teilen	udział	teilen	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;NFIN
zespół	team	zespół	team	N;NOM;MASC;SG	N;NOM;NEUT;SG
