und	og	und	og	CONJ	CONJ
das	dette	der	denne	PRO;NOM;NEUT;SG	PRO;NEUT;SG
das	denne	der	denne	PRO;NOM;NEUT;SG	PRO;MASC+FEM;SG
für	for	für	for	ADP	ADP
auch	også	auch	også	ADV	ADV
auch	også	auch	også	ADV	ADV
sie	hun	sie	hun	PRO;NOM;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
einer	et	ein	en	PRO;NOM;INDF;MASC;SG	PRO;NEUT;SG
einer	en	ein	en	PRO;NOM;INDF;MASC;SG	PRO;MASC+FEM;SG
einer	én	ein	en	PRO;NOM;INDF;MASC;SG	PRO;MASC+FEM;SG
einen	et	ein	en	PRO;ACC;INDF;MASC;SG	PRO;NEUT;SG
einen	en	ein	en	PRO;ACC;INDF;MASC;SG	PRO;MASC+FEM;SG
einen	én	ein	en	PRO;ACC;INDF;MASC;SG	PRO;MASC+FEM;SG
über	om	über	om	ADP	ADP
über	via	über	via	ADP	ADP
aber	men	aber	men	CONJ	CONJ
nur	kun	nur	kun	ADV	ADV
nur	bare	nur	bare	ADV	ADV
noch	stadig	noch	stadig	ADV	ADV
noch	stadigvæk	noch	stadigvæk	ADV	ADV
noch	endnu	noch	endnu	ADV	ADV
noch	alligevel	noch	alligevel	ADV	ADV
hat	har	haben	have	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
sein	hans	sein	hans	DET;NOM;MASC;SG	DET;3
diese	dette	dies	denne	PRO;NOM;FEM;SG	PRO;NEUT;SG
diese	denne	dies	denne	PRO;NOM;FEM;SG	PRO;MASC+FEM;SG
hier	her	hier	her	ADV	ADV
diskussion	drøftelserne	diskussion	drøftelse	N	N;DEF;MASC+FEM;PL
diskussion	diskussioner	diskussion	diskussion	N	N;INDF;MASC+FEM;PL
diskussion	drøftelser	diskussion	drøftelse	N	N;INDF;MASC+FEM;PL
diskussion	diskussioner	diskussion	diskussion	N	N;INDF;MASC+FEM;PL
diskussion	diskussion	diskussion	diskussion	N	N;INDF;MASC+FEM;SG
diskussion	drøftelser	diskussion	drøftelse	N	N;INDF;MASC+FEM;PL
diskussion	drøftelse	diskussion	drøftelse	N	N;INDF;MASC+FEM;SG
diskussion	debat	diskussion	debat	N	N;INDF;MASC+FEM;SG
diskussion	debatten	diskussion	debat	N	N;DEF;MASC+FEM;SG
