for	για	for	για	ADP	ADP
der	εκει	der	εκει	ADV	ADV
der	εκεί	der	εκεί	ADV	ADV
blev	έμεινα	blive	μένεινος	V;IND;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
blev	έμεινε	blive	μένω	V;IND;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
har	έχει	have	έχω	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
ikke	οχι	ikke	οχι	ADV	ADV
men	αλλά	men	αλλά	CONJ	CONJ
også	επισης	også	επισης	ADV	ADV
også	επίσης	også	επίσης	ADV	ADV
efter	μετα	efter	μετα	ADV	ADV
efter	μετά	efter	μετά	ADV	ADV
kan	μπορεί	kunne	μπορώ	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
score	σκοράρει	score	σκοράρω	V;NFIN;ACT	V;PFV;NFIN;ACT
hvor	όπου	hvor	όπου	ADV	ADV
hvor	πού	hvor	πού	ADV	ADV
havde	είχε	have	έχω	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
under	κατωτέρω	under	κατωτέρω	ADV	ADV
under	κάτω	under	κάτω	ADV	ADV
under	παρακάτω	under	παράκατος	ADV	ADV
under	κατω	under	κατω	ADV	ADV
over	ανωτέρω	over	ανωτέρω	ADV	ADV
over	παραπάνω	over	παραπάνω	ADV	ADV
henvisninger	αναφορές	henvisning	αναφορά	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
henvisninger	παραπομπές	henvisning	παραπομπή	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
dansk	δανικό	dansk	δανικός	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
dansk	δανική	dansk	δανικός	ADJ;INDF;SG	ADJ;NOM;FEM;SG
mod	κουράγιο	mod	κουράγιο	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mod	θάρρος	mod	θάρρος	N;INDF;NEUT;SG	N;NOM;NEUT;SG
mod	κόντρα	mod	κόντρο	N;INDF;NEUT;SG	N;ACC;FEM;SG
andre	άλλες	anden	άλλος	PRO;PL	PRO;NOM;FEM;PL;3
andre	άλλα	anden	άλλος	PRO;PL	PRO;NOM;NEUT;PL;3
andre	άλλους	anden	άλλος	PRO;PL	PRO;NOM;MASC;PL;3
andre	άλλοι	anden	άλλος	PRO;PL	PRO;NOM;MASC;PL;3
andre	αλλοι	anden	αλλος	PRO;PL	PRO;NOM;MASC;PL;3
andre	άλλα	anden	άλλος	PRO;PL	PRO;NOM;NEUT;PL;3
denne	αυτο	denne	αυτός	PRO;MASC+FEM;SG	PRO;NOM;NEUT;SG;3
denne	αυτό	denne	αυτός	PRO;MASC+FEM;SG	PRO;NOM;NEUT;SG;3
del	μέρος	del	μέρος	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
del	μεροσ	del	μεροσ	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
del	κοινοποίηση	del	κοινοποίηση	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
