kategória	categoría	kategória	categoría	N;NOM;FEM;SG	N
roku	ano	rok	ano	N;INAN;GEN;MASC;SG	N
ako	así	ako	así	ADV	ADV
bol	foi	byť	ser	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V
bol	foi	byť	ser	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V
pozri	ver	pozrieť	ver	V;PFV;IMP;SG;2;POS;FIN	V
pozri	vexo	pozrieť	vexo	V;PFV;IMP;SG;2;POS;FIN	V
pozri	mira	pozrieť	miro	V;PFV;IMP;SG;2;POS;FIN	V
obce	aldeas	obec	aldea	N;NOM;FEM;PL	N
obce	pobos	obec	pobo	N;NOM;FEM;PL	N
obyvateľov	habitantes	obyvateľ	habitante	N;ANIM;ACC;MASC;PL	N
obyvateľov	residentes	obyvateľ	residente	N;ANIM;ACC;MASC;PL	N
obec	concello	obec	concello	N;NOM;FEM;SG	N
obec	aldea	obec	aldea	N;NOM;FEM;SG	N
obec	pobo	obec	pobo	N;NOM;FEM;SG	N
obec	vila	obec	vila	N;NOM;FEM;SG	N
pre	para	pre	para	ADP;ACC	ADP
pre	por	pre	por	ADP;ACC	ADP
jeho	o	jeho	o	DET;NOM;NEUT;SG;3	DET
jeho	seu	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	súa	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	seus	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	a	jeho	o	DET;NOM;NEUT;SG;3	DET
jeho	seus	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	súas	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	seu	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	o	jeho	o	DET;NOM;NEUT;SG;3	DET
jeho	súa	jeho	seu	DET;NOM;NEUT;SG;3	DET
jeho	a	jeho	o	DET;NOM;NEUT;SG;3	DET
alebo	ou	alebo	ou	CONJ	CONJ
bod	momento	bod	momento	N;INAN;NOM;MASC;SG	N
bod	punto	bod	punto	N;INAN;NOM;MASC;SG	N
pri	en	pri	en	ADP;ESS	ADP
bola	foi	byť	ser	V;IPFV;FEM;SG;POS;PST;V.PTCP	V
bola	foi	byť	ser	V;IPFV;FEM;SG;POS;PST;V.PTCP	V
zoznam	lista	zoznam	lista	N;INAN;NOM;MASC;SG	N
zoznam	listaxe	zoznam	listaxe	N;INAN;NOM;MASC;SG	N
odkazy	enlaces	odkaz	enlace	N;INAN;NOM;MASC;PL	N
odkazy	ligazóns	odkaz	ligazón	N;INAN;NOM;MASC;PL	N
ale	pero	ale	pero	CONJ	CONJ
ale	mais	ale	mais	CONJ	CONJ
iné	outra	iný	outro	DET;NOM;NEUT;SG	DET
iné	outros	iný	outro	DET;NOM;NEUT;SG	DET
iné	outro	iný	outro	DET;NOM;NEUT;SG	DET
