pro	für	pro	für	ADP;ACC	ADP
jeho	seinem	jeho	sein	DET;3	DET;DAT;MASC;SG
jeho	seinen	jeho	sein	DET;3	DET;ACC;MASC;SG
jeho	seine	jeho	sein	DET;3	DET;NOM;FEM;SG
jeho	sein	jeho	sein	DET;3	DET;NOM;MASC;SG
jeho	seiner	jeho	sein	DET;3	DET;NOM;MASC;SG
jeho	ihre	jeho	ihr	DET;3	DET;NOM;FEM;SG
jeho	seine	jeho	sein	DET;3	DET;NOM;FEM;SG
jeho	seiner	jeho	sein	DET;3	DET;NOM;MASC;SG
ale	aber	ale	aber	CONJ	CONJ
také	ausserdem	také	ausserdem	ADV	ADV
také	ebenso	také	ebenso	ADV	ADV
také	außerdem	také	außerdem	ADV	ADV
také	ebenfalls	také	ebenfalls	ADV	ADV
také	auch	také	auch	ADV	ADV
externí	externen	externí	extern	ADJ;NOM;MASC;SG;POS	ADJ
team	team	team	team	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
první	erster	první	erst	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
mezi	zwischen	mezi	zwischen	ADP;ACC	ADP
zde	hierher	zde	hierher	ADV	ADV
zde	hier	zde	hier	ADV	ADV
místo	ort	místo	ort	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG
místo	ort	místo	ort	N;NOM;NEUT;SG;POS	N;NOM;MASC;SG
místo	standorte	místo	standort	N;NOM;NEUT;SG;POS	N;NOM
pod	unterhalb	pod	unterhalb	ADP;ACC	ADP
pod	unter	pod	unter	ADP;ACC	ADP
další	weiteres	další	weit	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
další	nächstes	další	nah	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
další	nächster	další	nah	ADJ;NOM;MASC;SG;POS	ADJ
pak	dann	pak	dann	ADV	ADV
pak	damals	pak	damals	ADV	ADV
pak	danach	pak	danach	ADV	ADV
jejich	ihre	jeho	ihr	DET;3	DET;NOM;FEM;SG
jejich	ihrer	jeho	ihr	DET;3	DET;NOM;MASC;SG
jejich	ihren	jeho	ihr	DET;3	DET;ACC;MASC;SG
již	schon	již	schon	ADV	ADV
již	bereits	již	bereits	ADV	ADV
když	wenn	když	wenn	CONJ	CONJ
české	tschechien	český	tschechen	ADJ;NOM;MASC;SG;POS	ADJ
české	tschechisch	český	tschechisch	ADJ;NOM;MASC;SG;POS	ADJ
později	nachher	pozdě	nachher	ADV;CMPR;POS	ADV
než	bevor	než	bevor	CONJ	CONJ
města	gemeinden	město	gemeinden	N;NOM;NEUT;PL;POS	N;NOM;FEM;PL
města	städte	město	staden	N;NOM;NEUT;PL;POS	N;NOM;FEM;PL
města	städte	město	staden	N;NOM;NEUT;PL;POS	N;NOM;FEM;PL
jak	inwiefern	jak	inwiefern	ADV	ADV
český	tschechien	český	tschechen	ADJ;INAN;NOM;MASC;SG;POS	ADJ
český	tschechisch	český	tschechisch	ADJ;INAN;NOM;MASC;SG;POS	ADJ
pouze	lediglich	pouze	lediglich	ADV	ADV
pouze	nur	pouze	nur	ADV	ADV
články	satzung	článek	satzung	N;INAN;NOM;MASC;PL;POS	N
její	ihre	jeho	ihr	DET;NOM;FEM;SG;3	DET;NOM;FEM;SG
její	seine	jeho	sein	DET;NOM;FEM;SG;3	DET;NOM;FEM;SG
její	seiner	jeho	sein	DET;NOM;FEM;SG;3	DET;NOM;MASC;SG
její	ihre	jeho	ihr	DET;NOM;FEM;SG;3	DET;NOM;FEM;SG
proti	gegen	proti	gegen	ADP;DAT	ADP
obce	gemeinden	obec	gemeinden	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
obce	gemeinden	obec	gemeinden	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
více	mehr	hodně	mehr	ADV;CMPR;POS	ADV
související	verbunden	související	verbinden	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;V.PTCP
související	verbundene	související	verbunden	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;NOM;FEM;SG
související	verwandt	související	verwandt	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ
související	verbundene	související	verbunden	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;NOM;FEM;SG
ještě	noch	ještě	noch	ADV	ADV
ještě	trotzdem	ještě	trotzdem	ADV	ADV
velmi	sehr	velmi	sehr	ADV	ADV
velmi	äußerst	velmi	äußerst	ADV	ADV
poté	danach	poté	danach	ADV	ADV
poté	nachher	poté	nachher	ADV	ADV
poté	danach	poté	danach	ADV	ADV
poté	hinterher	poté	hinterher	ADV	ADV
poté	nachher	poté	nachher	ADV	ADV
název	name	název	Name	N;INAN;NOM;MASC;SG;POS	N;NOM;SG
měl	hatte	mít	haben	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
hlavní	wichtigste	hlavní	wichtig	ADJ;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
přes	über	přes	über	ADP;ACC	ADP
přes	über	přes	über	ADP;ACC	ADP
přes	per	přes	per	ADP;ACC	ADP
přes	durch	přes	durch	ADP;ACC	ADP
bez	ohne	bez	ohne	ADP;GEN	ADP
úmrtí	todesstrafe	úmrtí	todesstraf	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
dva	zwei	dva	zwei	NUM;NOM;MASC;PL	NUM
seznam	liste	seznam	lassen	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
seznam	aufstellung	seznam	aufstellingen	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
období	periode	období	periode	N;NOM;NEUT;SG;POS	N;SG
protože	weil	protože	weil	CONJ	CONJ
diskuse	diskussion	diskuse	diskussion	N;NOM;FEM;SG;POS	N
diskuse	diskussion	diskuse	diskussion	N;NOM;FEM;SG;POS	N
diskuse	diskussion	diskuse	diskussion	N;NOM;FEM;SG;POS	N
války	krieg	válka	kriegen	N;NOM;FEM;PL;POS	N
války	krieg	válka	kriegen	N;NOM;FEM;PL;POS	N
oblasti	zonen	oblast	zon	N;NOM;FEM;PL;POS	N;NOM;PL
druhé	zweiter	druhý	zweit	ADJ;NOM;NEUT;SG	ADJ
dále	weiter	dále	weiter	ADV	ADV
česká	tschechien	český	tschechen	ADJ;NOM;FEM;SG;POS	ADJ
česká	tschechisch	český	tschechisch	ADJ;NOM;FEM;SG;POS	ADJ
soubor	akten	soubor	akt	N;INAN;NOM;MASC;SG;POS	N
tři	drei	tři	drei	NUM;NOM;PL	NUM
počet	anzahl	počet	anzahl	N;INAN;NOM;MASC;SG;POS	N;SG
počet	zahl	počet	zahl	N;INAN;NOM;MASC;SG;POS	N;NOM;FEM;SG
skupiny	gruppen	skupina	grappen	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
skupiny	gruppen	skupina	grappen	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
často	oft	často	oft	ADV;POS	ADV
často	oft	často	oft	ADV;POS	ADV
často	oftmals	často	oftmals	ADV;POS	ADV
stránky	seite	stránka	seit	N;NOM;FEM;PL;POS	N
stránky	standorte	stránka	standort	N;NOM;FEM;PL;POS	N;NOM
stránky	seite	stránka	seit	N;NOM;FEM;PL;POS	N
patří	gehört	patřit	gehören	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
patří	hingehört	patřit	hingehören|hinhören	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
oficiální	beamter	oficiální	beamt	ADJ;NOM;MASC;SG;POS	ADJ
oficiální	offizielles	oficiální	offiziell	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
oficiální	offizieller	oficiální	offiziell	ADJ;NOM;MASC;SG;POS	ADJ
oficiální	offiziellen	oficiální	offiziell	ADJ;NOM;MASC;SG;POS	ADJ
získal	gekauft	získat	kaufen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
získal	erworben	získat	erwerben	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zejména	besonders	zejména	besonders	ADV	ADV
zejména	vorallem	zejména	vorallem	ADV	ADV
zejména	insbesondere	zejména	insbesondere	ADV	ADV
dvě	zwei	dva	zwei	NUM;NOM;PL	NUM
jméno	name	jméno	Name	N;NOM;NEUT;SG;POS	N;NOM;SG
nové	neuer	nový	neu	ADJ;NOM;MASC;PL;POS	ADJ
nové	neue	nový	neu	ADJ;NOM;MASC;PL;POS	ADJ;NOM;FEM;PL
nové	neu	nový	neu	ADJ;NOM;MASC;PL;POS	ADJ
rok	jahr	rok	Jahr	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
rok	jahres	rok	jahres	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
obec	gemeinde	obec	gemeinde	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
obec	kommune	obec	kommun	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
obec	gemeinde	obec	gemeinde	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
obec	kommune	obec	kommun	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
obec	gemeinde	obec	gemeinde	N;NOM;FEM;SG;POS	N;NOM;FEM;SG
národní	nationaler	národní	national	ADJ;NOM;MASC;SG;POS	ADJ
národní	nationalen	národní	national	ADJ;NOM;MASC;SG;POS	ADJ;NOM
národní	national	národní	national	ADJ;NOM;MASC;SG;POS	ADJ
velké	großen	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ;PL
velké	große	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ;NOM;FEM;PL
velké	groß	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ
velké	großer	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ
velké	großen	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ;PL
velké	große	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ;NOM;FEM;PL
velké	groß	velký	groß	ADJ;NOM;MASC;PL;POS	ADJ
též	ausserdem	též	ausserdem	ADV	ADV
též	ebenso	též	ebenso	ADV	ADV
též	außerdem	též	außerdem	ADV	ADV
též	ebenfalls	též	ebenfalls	ADV	ADV
též	auch	též	auch	ADV	ADV
mistrovství	meisterschaft	mistrovství	meisterschaft	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
mistrovství	meisterschaft	mistrovství	meisterschaft	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
mistrovství	meisterschaft	mistrovství	meisterschaft	N;NOM;NEUT;SG;POS	N;NOM;FEM;SG
film	kino	film	kino	N;INAN;NOM;MASC;SG;POS	N;NOM;NEUT;SG
strany	vertragsparteien	strana	vertragspartei	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
strany	parteien	strana	partei	N;NOM;FEM;PL;POS	N;NOM;FEM;PL
jiné	verschieden	jiný	verschieden	ADJ;NOM;NEUT;SG;POS	ADJ
jiné	unterschiedlich	jiný	unterschiedlich	ADJ;NOM;NEUT;SG;POS	ADJ
jiné	sonstiges	jiný	sonstig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
jiné	anderes	jiný	ander	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
jiné	sonstiges	jiný	sonstig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;NEUT;SG
dnes	heute	dnes	heute	ADV	ADV
poslední	letzte	poslední	letzt	ADJ;NOM;MASC;SG;POS	ADJ;NOM;FEM;SG
poslední	letzter	poslední	letzt	ADJ;NOM;MASC;SG;POS	ADJ;NOM;MASC;SG
poslední	letztes	poslední	letzt	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
narození	geburt	narození	geburen	N;NOM;NEUT;SG;POS	N;SG
americký	amerikaner	americký	amerikaner	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
americký	amerikanisches	americký	amerikanisch	ADJ;ANIM;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
americký	amerikanisch	americký	amerikanisch	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
okres	landkreis	okres	landkreis	N;INAN;NOM;MASC;SG;POS	N
okres	landkreis	okres	landkreis	N;INAN;NOM;MASC;SG;POS	N
světové	weltweit	světový	weltweit	ADJ;NOM;FEM;SG;POS	ADJ
kolem	um	kolem	um	ADP;GEN	ADP
spolu	zusammen	spolu	zusammen	ADV	ADV
společnosti	unternehmen	společnost	unternehmen	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
společnosti	unternehmen	společnost	unternehmen	N;NOM;FEM;PL;POS	N;NOM;NEUT;PL
vlastní	eigenes	vlastní	eigen	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
vlastní	eigener	vlastní	eigen	ADJ;NOM;MASC;SG;POS	ADJ
vlastní	gewohnheit	vlastní	gewohnheit	ADJ;NOM;MASC;SG;POS	ADJ
základní	grundlegendes	základní	grundlegend	ADJ;NOM;MASC;SG;POS	ADJ;NOM;NEUT;SG
