एक	一	एक	一	NUM	NUM
श्रेणी	カテゴリー	श्रेणी	カテゴリー	N;NOM;FEM;SG;3	N
श्रेणी	区分	श्रेणी	区分	N;NOM;FEM;SG;3	N
श्रेणी	カテゴリ	श्रेणी	カテゴリ	N;NOM;FEM;SG;3	N
श्रेणी	シリーズ	श्रेणी	シリーズ	N;NOM;FEM;SG;3	N
श्रेणी	カテゴリー	श्रेणी	カテゴリー	N;NOM;FEM;SG;3	N
श्रेणी	カテゴリ	श्रेणी	カテゴリ	N;NOM;FEM;SG;3	N
यह	これ	यह	これ	PRO;NOM;SG;3	PRO
इस	この	यह	この	DET;ACC;SG;3	DET
रूप	形式	रूप	形式	N;NOM;MASC;SG;3	N
रूप	外観	रूप	外観	N;NOM;MASC;SG;3	N
राज्य	都道府県	राज्य	都道府県	N;NOM;MASC;SG;3	N
राज्य	状態	राज्य	状態	N;NOM;MASC;SG;3	N
गाँव	村落	गाँव	村落	N;NOM;MASC;PL;3	N
गाँव	ヴィレッジ	गाँव	ヴィレッジ	N;NOM;MASC;PL;3	N
सरकार	政府	सरकार	政府	N;NOM;FEM;SG;3	N
प्रदेश	リージョン	प्रदेश	リージョン	N;NOM;MASC;SG;3	N
प्रदेश	地域	प्रदेश	地域	N;NOM;MASC;SG;3	N
दिया	与え	दे	与える	V;PFV;MASC;SG;V.PTCP;ACT	V
वर्ष	年数	वर्ष	年数	N;NOM;MASC;SG;3	N
वर्ष	イヤー	वर्ष	イヤー	N;NOM;MASC;SG;3	N
समय	タイミング	समय	タイミング	N;NOM;MASC;SG;3	N
समय	タイム	समय	タイム	N;NOM;MASC;SG;3	N
समय	時間	समय	時間	N;NOM;MASC;SG;3	N
नाम	名前	नाम	名前	N;NOM;MASC;SG;3	N
नाम	氏名	नाम	氏名	N;NOM;MASC;SG;3	N
नाम	名称	नाम	名称	N;NOM;MASC;SG;3	N
प्रकार	種類	प्रकार	種類	N;NOM;MASC;SG;3	N
प्रकार	タイプ	प्रकार	タイプ	N;NOM;MASC;SG;3	N
प्रकार	種類	प्रकार	種類	N;NOM;MASC;SG;3	N
किसी	誰	कोई	誰	PRO;ACC;SG;3	PRO
क्षेत्र	面積	क्षेत्र	面積	N;NOM;MASC;SG;3	N
क्षेत्र	領域	क्षेत्र	領域	N;NOM;MASC;SG;3	N
क्षेत्र	エリア	क्षेत्र	エリア	N;NOM;MASC;SG;3	N
क्षेत्र	リージョン	क्षेत्र	リージョン	N;NOM;MASC;SG;3	N
क्षेत्र	地域	क्षेत्र	地域	N;NOM;MASC;SG;3	N
आधिकारिक	公式	आधिकारिक	公式	ADJ	ADJ
कारण	理由	कारण	理由	N;NOM;MASC;SG;3	N
कारण	理由	कारण	理由	N;NOM;MASC;SG;3	N
कारण	理性	कारण	理性	N;NOM;MASC;SG;3	N
कारण	原因	कारण	原因	N;NOM;MASC;SG;3	N
करता	いじめ	कर	いじめ	V;IPFV;MASC;SG;V.PTCP;ACT	V
दो	二	दो	二	NUM	NUM
दो	二	दो	二	NUM	NUM
जिला	地区	जिला	地区	N;NOM;MASC;SG;3	N
लेकिन	でも	लेकिन	でも	CONJ	CONJ
लेकिन	しかし	लेकिन	しかし	CONJ	CONJ
ये	これ	यह	これ	PRO;NOM;PL;3	PRO
ये	これら	यह	これら	PRO;NOM;PL;3	PRO
ये	これら	यह	これら	PRO;NOM;PL;3	PRO
लोग	ピープル	लोग	ピープル	N;NOM;MASC;PL;3	N
देखें	見る	देख	見る	V;SBJV;PL;FIN;ACT	V
देखें	表示	देख	表示	V;SBJV;PL;FIN;ACT	V
देखें	見る	देख	見る	V;SBJV;PL;FIN;ACT	V
भाषा	言語	भाषा	言語	N;NOM;FEM;SG;3	N
भाषा	言語	भाषा	言語	N;NOM;FEM;SG;3	N
प्रयोग	実験	प्रयोग	実験	N;NOM;MASC;SG;3	N
प्रयोग	実験	प्रयोग	実験	N;NOM;MASC;SG;3	N
स्थान	場所	स्थान	場所	N;NOM;MASC;SG;3	N
स्थान	スポット	स्थान	スポット	N;NOM;MASC;SG;3	N
स्थान	会場	स्थान	会場	N;NOM;MASC;SG;3	N
स्थान	所在	स्थान	所在	N;NOM;MASC;SG;3	N
स्थान	場所	स्थान	場所	N;NOM;MASC;SG;3	N
स्थान	スポット	स्थान	スポット	N;NOM;MASC;SG;3	N
स्थान	所在	स्थान	所在	N;NOM;MASC;SG;3	N
स्थान	ロケーション	स्थान	ロケーション	N;NOM;MASC;SG;3	N
स्थान	場所	स्थान	場所	N;NOM;MASC;SG;3	N
प्रमुख	少佐	प्रमुख	少佐	N;NOM;MASC;SG;3	N
प्रमुख	メジャー	प्रमुख	メジャー	N;NOM;MASC;SG;3	N
प्रमुख	専攻	प्रमुख	専攻	N;NOM;MASC;SG;3	N
प्रमुख	メイン	प्रमुख	メイン	N;NOM;MASC;SG;3	N
कार्य	タスク	कार्य	タスク	N;NOM;MASC;SG;3	N
कार्य	職業	कार्य	職業	N;NOM;MASC;SG;3	N
कार्य	仕事	कार्य	仕事	N;NOM;MASC;SG;3	N
कार्य	ジョブ	कार्य	ジョブ	N;NOM;MASC;SG;3	N
कार्य	作業	कार्य	作業	N;NOM;MASC;SG;3	N
कार्य	仕事	कार्य	仕事	N;NOM;MASC;SG;3	N
कार्य	ワーク	कार्य	ワーク	N;NOM;MASC;SG;3	N
कार्य	ジョブ	कार्य	ジョブ	N;NOM;MASC;SG;3	N
कार्य	求人	कार्य	求人	N;NOM;MASC;SG;3	N
कार्य	タスク	कार्य	タスク	N;NOM;MASC;SG;3	N
नगर	タウン	नगर	タウン	N;NOM;MASC;SG;3	N
नगर	都市	नगर	都市	N;NOM;MASC;SG;3	N
लोगों	ピープル	लोग	ピープル	N;ACC;MASC;PL;3	N
आधार	塩基	आधार	塩基	N;NOM;MASC;SG;3	N
आधार	ベース	आधार	ベース	N;NOM;MASC;SG;3	N
आधार	基底	आधार	基底	N;NOM;MASC;SG;3	N
काम	作業	काम	作業	N;NOM;MASC;SG;3	N
काम	仕事	काम	仕事	N;NOM;MASC;SG;3	N
काम	ワーク	काम	ワーク	N;NOM;MASC;SG;3	N
जीवन	生命	जीवन	生命	N;NOM;MASC;SG;3	N
जीवन	人生	जीवन	人生	N;NOM;MASC;SG;3	N
जीवन	ライフ	जीवन	ライフ	N;NOM;MASC;SG;3	N
विश्व	世界	विश्व	世界	N;NOM;MASC;SG;3	N
विश्व	ワールド	विश्व	ワールド	N;NOM;MASC;SG;3	N
निर्माण	製造	निर्माण	製造	N;NOM;MASC;SG;3	N
जानकारी	情報	जानकारी	情報	N;NOM;FEM;SG;3	N
जानकारी	情報	जानकारी	情報	N;NOM;FEM;SG;3	N
शहर	下町	शहर	下町	N;NOM;MASC;SG;3	N
शहर	都市	शहर	都市	N;NOM;MASC;SG;3	N
शहर	都市	शहर	都市	N;NOM;MASC;SG;3	N
बार	バー	बार	バー	N;NOM;FEM;SG;3	N
बार	バール	बार	バール	N;NOM;FEM;SG;3	N
बार	バー	बार	バー	N;NOM;FEM;SG;3	N
फिल्म	映画	फिल्म	映画	N;NOM;FEM;SG;3	N
फिल्म	ムービー	फिल्म	ムービー	N;NOM;FEM;SG;3	N
फिल्म	映画	फिल्म	映画	N;NOM;FEM;SG;3	N
फिल्म	フィルム	फिल्म	フィルム	N;NOM;FEM;SG;3	N
यहाँ	ここ	यहाँ	ここ	PRO;NOM	PRO
देश	国名	देश	国名	N;NOM;MASC;SG;3	N
देश	カントリー	देश	カントリー	N;NOM;MASC;SG;3	N
देश	国民	देश	国民	N;NOM;MASC;SG;3	N
देश	国々	देश	国々	N;NOM;MASC;SG;3	N
वेबसाइट	ウェブ	वेबसाइट	ウェブ	N;NOM;FEM;SG;3	N
दी	与え	दे	与える	V;PFV;FEM;SG;V.PTCP;ACT	V
पृष्ठ	ページ	पृष्ठ	ページ	N;NOM;MASC;SG;3	N
पृष्ठ	ページ	पृष्ठ	ページ	N;NOM;MASC;SG;3	N
शब्द	ワード	शब्द	ワード	N;NOM;MASC;SG;3	N
शब्द	言葉	शब्द	言葉	N;NOM;MASC;SG;3	N
शब्द	単語	शब्द	単語	N;NOM;MASC;SG;3	N
शब्द	言葉	शब्द	言葉	N;NOM;MASC;SG;3	N
शब्द	単語	शब्द	単語	N;NOM;MASC;SG;3	N
पुरस्कार	懸賞	पुरस्कार	懸賞	N;NOM;MASC;SG;3	N
पुरस्कार	賞品	पुरस्कार	賞品	N;NOM;MASC;SG;3	N
पुरस्कार	報酬	पुरस्कार	報酬	N;NOM;MASC;SG;3	N
लेख	記事	लेख	記事	N;NOM;MASC;SG;3	N
लेख	冠詞	लेख	冠詞	N;NOM;MASC;SG;3	N
लेख	テーゼ	लेख	テーゼ	N;NOM;MASC;SG;3	N
लेख	論文	लेख	論文	N;NOM;MASC;SG;3	N
लेख	記事	लेख	記事	N;NOM;MASC;SG;3	N
लेख	冠詞	लेख	冠詞	N;NOM;MASC;SG;3	N
मंदिर	寺院	मंदिर	寺院	N;NOM;MASC;SG;3	N
मंदिर	神殿	मंदिर	神殿	N;NOM;MASC;SG;3	N
स्थल	会場	स्थल	会場	N;NOM;MASC;SG;3	N
इतिहास	履歴	इतिहास	履歴	N;NOM;MASC;SG;3	N
इतिहास	由緒	इतिहास	由緒	N;NOM;MASC;SG;3	N
इतिहास	歴史	इतिहास	歴史	N;NOM;MASC;SG;3	N
इतिहास	沿革	इतिहास	沿革	N;NOM;MASC;SG;3	N
फ़िल्म	映画	फ़िल्म	映画	N;NOM;FEM;SG;3	N
फ़िल्म	ムービー	फ़िल्म	ムービー	N;NOM;FEM;SG;3	N
फ़िल्म	映画	फ़िल्म	映画	N;NOM;FEM;SG;3	N
