with	با	with	با	ADP	ADP
his	او	he	او	PRO;MASC;SG;3	PRO;SG;3
but	ولی	but	ولی	CONJ	CONJ
but	اما	but	اما	CONJ	CONJ
one	یکی	one	یک	NUM	NUM
one	یک	one	یک	NUM	NUM
new	نو	new	نو	ADJ	ADJ
new	جدید	new	جدید	ADJ	ADJ
page	صفحۀ	page	صفحۀ	N;SG	N;SG
page	صفحه	page	صفحه	N;SG	N;SG
you	تو	you	تو	PRO;ACC;2	PRO;SG;2
you	شما	you	شما	PRO;ACC;2	PRO;PL;2
they	ایشان	they	ایشان	PRO;NOM;PL;3	PRO;PL;3
article	مطلب	article	مطلب	N;SG	N;SG
article	مقالۀ	article	مقالۀ	N;SG	N;SG
article	مقاله	article	مقاله	N;SG	N;SG
there	آنجا	there	آنجا	ADV	ADV;ESS
people	افراد	people	فرد	N;PL	N;PL
people	مردمان	people	مردم	N;PL	N;PL
people	آدمها	people	آدم	N;PL	N;PL
two	دو	two	دو	NUM	NUM
score	نمره	score	نمره	N;SG	N;SG
score	امتیاز	score	امتیاز	N;SG	N;SG
her	او	she	او	PRO;ACC;FEM;SG;3	PRO;SG;3
more	بیشتر	more	بیش	ADJ;CMPR	ADJ;CMPR
she	او	she	او	PRO;NOM;FEM;SG;3	PRO;SG;3
time	زمان	time	زمان	N;SG	N;SG
time	تایم	time	تایم	N;SG	N;SG
team	تیم	team	تیم	N;SG	N;SG
team	تیمی	team	تیم	N;SG	N;SG
american	آمریکایی	american	آمریکایی	ADJ	ADJ
discussion	بحثش	discussion	بحثش	N;SG	N;SG
discussion	بحث	discussion	بحث	N;SG	N;SG
links	پیوندها	link	پیوند	N;PL	N;PL
links	پیوندهای	link	پیوند	N;PL	N;PL
only	تنها	only	تنها	ADV	ADV
years	سالهای	year	سال	N;PL	N;PL
years	سالها	year	سال	N;PL	N;PL
school	مدرسه	school	مدرسه	N;SG	N;SG
school	مکتب	school	مکتب	N;SG	N;SG
world	جهان	world	جهان	N;SG	N;SG
world	دنیا	world	دنیا	N;SG	N;SG
world	جهانی	world	جهانی	N;SG	N;SG
university	دانشگاه	university	دانشگاه	N;SG	N;SG
university	qom	university	qom	N;SG	N;SG
out	بیرون	out	بیرون	ADV	ADV;ESS
state	حالت	state	حالت	N;SG	N;SG
state	استیت	state	استیت	N;SG	N;SG
state	دولت	state	دولت	N;SG	N;SG
state	وضعیت	state	وضعیت	N;SG	N;SG
state	ایالت	state	ایالت	N;SG	N;SG
national	ملی	national	ملی	ADJ	ADJ
wikipedia	ویکیپدیا	wikipedia	ویکیپدیا	N;SG	N;SG
wikipedia	ویکیپدیای	wikipedia	ویکیپدیا	N;SG	N;SG
year	سال	year	سال	N;SG	N;SG
most	بیشترین	most	بیش	ADJ;RL	ADJ;RL
city	شهری	city	شهر	N;SG	N;SG
city	شهر	city	شهر	N;SG	N;SG
city	سیتی	city	سیتی	N;SG	N;SG
then	پس	then	پس	ADV	ADV
county	شهرستان	county	شهرستان	N;SG	N;SG
county	کانتی	county	کانت#کان	N;SG	N;SG
external	خارجی	external	خارجی	ADJ	ADJ
where	کجا	where	کجا	ADV	ADV
any	هر	any	هر	DET	DET
these	اینها	these	این	PRO;PL	PRO;PL
film	فیلم	film	فیلم	N;SG	N;SG
him	او	he	او	PRO;ACC;MASC;SG;3	PRO;SG;3
three	سه	three	سه	NUM	NUM
war	جنگ	war	جنگ	N;SG	N;SG
war	جنگی	war	جنگی	N;SG	N;SG
link	پیوند	link	پیوند	N;SG	N;SG
link	لینک	link	لینک	N;SG	N;SG
later	بعدها	later	بعد	ADV	ADV
later	بعداً	later	بعداً	ADV	ADV
part	جزء	part	جزء	N;SG	N;SG
part	قسمت	part	قسمت	N;SG	N;SG
part	پارت	part	پارت	N;SG	N;SG
players	بازیکنان	player	بازیکن	N;PL	N;PL
list	فهرست	list	فهرست	N;SG	N;SG
know	دانسته	know	دانست#دان	V;IND;PRS;FIN	V;SG;3;V.PTCP
name	نام	name	نام	N;SG	N;SG
group	گروهبندی	group	گروهبندی	N;SG	N;SG
group	گروپ	group	گروپ	N;SG	N;SG
group	گروه	group	گروه	N;SG	N;SG
history	تاریخچه	history	تاریخچه	N;SG	N;SG
history	تاریخ	history	تاریخ	N;SG	N;SG
series	سری	series	سری	N;SG	N;SG
just	فقط	just	فقط	ADV	ADV
work	کار	work	کار	N;SG	N;SG
work	کاری	work	کار	N;SG	N;SG
season	فصل	season	فصل	N;SG	N;SG
high	بلند	high	بلند	ADJ	ADJ
district	منطقه	district	منطقه	N;SG	N;SG
district	ناحیه	district	ناحیه	N;SG	N;SG
district	بخش	district	بخش	N;SG	N;SG
now	اکنون	now	اکنون	ADV	ADV
now	الان	now	الان	ADV	ADV
now	حالا	now	حالا	ADV	ADV
comments	نظرات	comment	نظر	N;PL	N;PL
comments	نظرها	comment	None	N;PL	N;PL
comments	توضیحات	comment	توضیح	N;PL	N;PL
because	چون	because	چون	CONJ	CONJ
football	football	football	football	N;SG	N;SG
football	فوتبال	football	فوتبال	N;SG	N;SG
music	موسیقی	music	موسیقی	N;SG	N;SG
music	موزیک	music	موزیک	N;SG	N;SG
diff	تفاوت	diff	تفاوت	N;SG	N;SG
century	قرن	century	قرن	N;SG	N;SG
century	قرنه	century	قرنه	N;SG	N;SG
century	سده	century	سده	N;SG	N;SG
debate	مناظره	debate	مناظره	N;SG	N;SG
articles	مقالات	article	مقاله	N;PL	N;PL
album	آلبوم	album	آلبوم	N;SG	N;SG
number	عدد	number	عدد	N;SG	N;SG
number	شمارۀ	number	شمارۀ	N;SG	N;SG
number	شماره	number	شماره	N;SG	N;SG
family	فامیل	family	فامیل	N;SG	N;SG
family	خانوادگی	family	خانوادگی	N;SG	N;SG
family	خانواده	family	خانواده	N;SG	N;SG
user	کاربر	user	کاربر	N;SG	N;SG
area	منطقه	area	منطقه	N;SG	N;SG
area	مساحت	area	مساحت	N;SG	N;SG
area	ناحیه	area	ناحیه	N;SG	N;SG
life	زندگى	life	زندگى	N;SG	N;SG
life	زندگی	life	زندگی	N;SG	N;SG
game	بازی	game	بازی	N;SG	N;SG
game	گیم	game	گیم	N;SG	N;SG
club	باشگاه	club	باشگاه	N;SG	N;SG
club	چماق	club	چماق	N;SG	N;SG
club	کلاب	club	کلاب	N;SG	N;SG
club	کلوب	club	کلوب	N;SG	N;SG
club	کلوپ	club	کلوپ	N;SG	N;SG
your	شما	you	شما	PRO;2	PRO;PL;2
best	بهترین	best	به	ADJ;RL	ADJ;RL
house	خانه	house	خانه	N;SG	N;SG
company	شرکت	company	شرکت	N;SG	N;SG
company	company	company	None	N;SG	N;SG
company	کمپانی	company	کمپانی	N;SG	N;SG
general	عمومی	general	عمومی	ADJ	ADJ
very	خیلی	very	خیلی	ADV	ADV
very	بسیار	very	بسیار	ADV	ADV
here	اینجا	here	اینجا	ADV	ADV;ESS
living	living	living	None	N;SG	N;SG
living	وزندگی	living	وزندگی	N;SG	N;SG
living	زندگی	living	زندگی	N;SG	N;SG
day	روز	day	روز	N;SG	N;SG
day	روزی	day	روز	N;SG	N;SG
several	چندین	several	چندین	ADJ	ADJ
place	محل	place	محل	N;SG	N;SG
place	مکانی	place	مکان	N;SG	N;SG
place	مکان	place	مکان	N;SG	N;SG
place	جای	place	جا	N;SG	N;SG
