cortinas	gardiner	cortina	gardin	N	N;INDF;MASC+FEM;PL
vasos	fartøjer	vaso	fartøj	N	N;INDF;NEUT;PL
vasos	skibe	vaso	skib	N	N;INDF;NEUT;PL
vasos	brillerne	vaso	briller	N	N;DEF;MASC+FEM;PL
vasos	briller	vaso	brille	N	N;INDF;MASC+FEM;PL
detén	stopper	detén	stoppe	V	V;IND;PRS;FIN;ACT
faltaba	var	faltar	være	V	V;IND;PST;FIN;ACT
faltaba	blev	faltar	blive	V	V;IND;PST;FIN;ACT
faltaba	manglende	faltar	mangle	V	V;PRS;V.PTCP
faltaba	forsvundet	faltar	forsvinde	V	V;INDF;SG;PST;V.PTCP
faltaba	savnede	faltar	savne	V	V;PL;PST;V.PTCP
faltaba	savnet	faltar	savne	V	V;INDF;SG;PST;V.PTCP
faltaba	mangler	faltar	mangle	V	V;IND;PRS;FIN;ACT
faltaba	savner	faltar	savne	V	V;IND;PRS;FIN;ACT
chegaría	ville	chegar	ville	V	V;IND;PST;FIN;ACT
ventre	maven	ventrar	mave	N	N;DEF;MASC+FEM;SG
ventre	mave	ventrar	mave	N	N;INDF;MASC+FEM;SG
ventre	maven	ventrar	mave	N	N;DEF;MASC+FEM;SG
ventre	mave	ventrar	mave	N	N;INDF;MASC+FEM;SG
ventre	livmoderen	ventrar	livmoder	N	N;DEF;MASC+FEM;SG
ventre	livmoder	ventrar	livmode	N	N;INDF;MASC+FEM;SG
esixe	krævede	esixir	kræve	V	V;PL;PST;V.PTCP
esixe	påkrævet	esixir	påkræve	V	V;INDF;SG;PST;V.PTCP
esixe	krævet	esixir	kræve	V	V;INDF;SG;PST;V.PTCP
esixe	kræver	esixir	kræve	V	V;IND;PRS;FIN;ACT
esixe	fordrer	esixir	fordre	V	V;IND;PRS;FIN;ACT
febles	svagt	feble	svag	ADJ	ADJ;INDF;NEUT;SG
febles	svage	feble	svag	ADJ	ADJ;PL
febles	svag	feble	svag	ADJ	ADJ;INDF;MASC+FEM;SG
conduta	opførsel	conduta	opførsel	N	N;INDF;MASC+FEM;SG
conduta	adfærd	conduta	adfærd	N	N;INDF;MASC+FEM;SG
corren	kør	currir	kør	V	V;IMP
corren	løbe	currir	løbe	V	V;NFIN;ACT
corren	kørt	currir	køre	V	V;INDF;SG;PST;V.PTCP
gañaches	vind	gañaches	vind	N	N;INDF;MASC+FEM;SG
bóla	bal	bóla	bal	N	N;INDF;MASC+FEM;SG
bóla	bold	bóla	bold	N	N;INDF;MASC+FEM;SG
bóla	kugle	bóla	kugle	N	N;INDF;MASC+FEM;SG
alerta	alarm	alertar	alarm	N	N;INDF;MASC+FEM;SG
alerta	varsling	alertar	varsling	N	N;INDF;MASC+FEM;SG
alerta	indberetning	alertar	indberetning	N	N;INDF;MASC+FEM;SG
puxeches	gjorde	puxeche	gøre	V	V;IND;PST;FIN;ACT
puxeches	put	puxeche	put	V	V;IMP
puxeches	sætte	puxeche	sætte	V	V;NFIN;ACT
debate	debatten	debate	debat	N	N;DEF;MASC+FEM;SG
debate	forhandling	debate	forhandling	N	N;INDF;MASC+FEM;SG
debate	debat	debate	debat	N	N;INDF;MASC+FEM;SG
amos	masters	aro	mast	N	N;GEN;INDF;MASC+FEM;PL
amos	mestre	aro	mester	N	N;INDF;MASC+FEM;PL
amos	ejere	aro	ejer	N	N;INDF;MASC+FEM;PL
amos	ejerne	aro	ejerne	N	N;DEF;MASC+FEM;PL
lexión	legion	lexión	legion	N	N;INDF;MASC+FEM;SG
