پربت	gebirge	پربت	gebirge	N;NOM;MASC;SG;3	N
پرپنچ	verrat	پرپنچ	verraten		
پرپنچ	einbildung	پرپنچ	einbildung		
پرپنچ	wahn	پرپنچ	wahn		
پرپنچ	expansion	پرپنچ	expansion		
پرپنچ	illusion	پرپنچ	illusion		
پُرتگالی	portugiesisch	پُرتگالی	portugiesisch	ADJ	ADJ
پُرتگالی	portugiesischer	پُرتگالی	portugiesisch	ADJ	ADJ
پُرتگالی	portugiesischen	پُرتگالی	portugiesisch	ADJ	ADJ;NOM;MASC;PL
پُرتگالی	portugiesische	پُرتگالی	portugiesisch	ADJ	ADJ;NOM;FEM;PL
پُرتگیز	portugiesisch	پُرتگیز	portugiesisch	ADJ	ADJ
پُرتگیز	portugiesischer	پُرتگیز	portugiesisch	ADJ	ADJ
پُرتگیز	portugiesischen	پُرتگیز	portugiesisch	ADJ	ADJ;NOM;MASC;PL
پُرتگیز	portugiesische	پُرتگیز	portugiesisch	ADJ	ADJ;NOM;FEM;PL
پُرتگیزی	portugiesisch	پُرتگیزی	portugiesisch	ADJ	ADJ
پُرتگیزی	portugiesischer	پُرتگیزی	portugiesisch	ADJ	ADJ
پُرتگیزی	portugiesischen	پُرتگیزی	portugiesisch	ADJ	ADJ;NOM;MASC;PL
پُرتگیزی	portugiesische	پُرتگیزی	portugiesisch	ADJ	ADJ;NOM;FEM;PL
پرتھا	ruhm	پرتھا	rühmen		
پرتھا	fame	پرتھا	fimmen		
پرچار	verbreitung	پرچار	verbreitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پرچار	währung	پرچار	währung	N;NOM;MASC;SG;3	N;NOM;SG
پرچار	ausbreitung	پرچار	ausbreitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پرچار	vermehrung	پرچار	vermehrung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پرچار	verbreitung	پرچار	verbreitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
