από	從	από	從	ADP	ADP
κατηγορία	類別	κατηγορία	類別	N;NOM;FEM;SG	N
ένα	一	ένας	一	NUM;NOM;NEUT;SG	NUM
ένα	一	ένας	一	NUM;NOM;NEUT;SG	NUM
μια	一	ένας	一	NUM;NOM;FEM;SG	NUM
μια	一	ένας	一	NUM;NOM;FEM;SG	NUM
μετά	然後	μετά	然後	ADV	ADV
μετά	那麼	μετά	那麼	ADV	ADV
μετά	後	μετά	後	ADV	ADV
επίσης	還	επίσης	還	ADV	ADV
επίσης	也	επίσης	也	ADV	ADV
όπως	就	όπως	就	ADV	ADV
δύο	兩	δύο	兩	NUM;NOM;MASC;PL	NUM
δύο	兩	δύο	兩	NUM;NOM;MASC;PL	NUM
δύο	二	δύο	二	NUM;NOM;MASC;PL	NUM
αυτό	這	αυτός	這	PRO;NOM;NEUT;SG;3	PRO
αυτή	她	αυτός	她	PRO;NOM;FEM;SG;3	PRO;3
μέχρι	直到	μέχρι	直到	ADP	ADP
μία	一	ένας	一	NUM;NOM;FEM;SG	NUM
μία	一	ένας	一	NUM;NOM;FEM;SG	NUM
ομάδα	班長	ομάδα	班長	N;ACC;FEM;SG	N
ομάδα	小隊	ομάδα	小隊	N;ACC;FEM;SG	N
ομάδα	群組	ομάδα	群組	N;ACC;FEM;SG	N
ομάδα	群	ομάδα	群	N;ACC;FEM;SG	N
ομάδα	團隊	ομάδα	團隊	N;ACC;FEM;SG	N
ομάδα	球隊	ομάδα	球隊	N;ACC;FEM;SG	N
ομάδα	隊伍	ομάδα	隊伍	N;ACC;FEM;SG	N
θέση	職位	θέση	職位	N;ACC;FEM;SG	N
θέση	位置	θέση	位置	N;ACC;FEM;SG	N
θέση	立場	θέση	立場	N;ACC;FEM;SG	N
χρόνια	慢性	χρόνος	慢性	N;NOM;NEUT;PL	N
χρόνια	歲	χρόνος	歲	N;NOM;NEUT;PL	N
χρόνια	年份	χρόνος	年份	N;NOM;NEUT;PL	N
πιο	更	πιο	更	ADV	ADV
πόλη	城鎮	πόλη	城鎮	N;NOM;FEM;SG	N
πόλη	鎮	πόλη	鎮	N;NOM;FEM;SG	N
πόλη	城市	πόλη	城市	N;NOM;FEM;SG	N
πόλη	市	πόλη	市	N;NOM;FEM;SG	N
πόλη	城	πόλη	城	N;NOM;FEM;SG	N
μόνο	只	μόνο	只	ADV	ADV
έγινε	完成	γίνομαι	完成	V;PFV;IND;SG;3;PST;FIN;PASS	V
πολύ	非常	πολύ	非常	ADV	ADV
περιοχή	區域	περιοχή	區域	N;NOM;FEM;SG	N
περιοχή	面積	περιοχή	面積	N;NOM;FEM;SG	N
περιοχή	地區	περιοχή	地區	N;NOM;FEM;SG	N
περιοχή	區域	περιοχή	區域	N;NOM;FEM;SG	N
περιοχή	區	περιοχή	區	N;NOM;FEM;SG	N
αιώνα	世紀	αιώνας	世紀	N;ACC;MASC;SG	N
περίοδο	期間	περίοδος	期間	N;ACC;FEM;SG	N
τότε	然後	τότε	然後	ADV	ADV
τότε	那麼	τότε	那麼	ADV	ADV
όνομα	名字	όνομα	名字	N;NOM;NEUT;SG	N
όνομα	名稱	όνομα	名稱	N;NOM;NEUT;SG	N
όνομα	姓名	όνομα	姓名	N;NOM;NEUT;SG	N
μέρος	地方	μέρος	地方	N;NOM;NEUT;SG	N
μέρος	地點	μέρος	地點	N;NOM;NEUT;SG	N
διάρκεια	期限	διάρκεια	期限	N;ACC;FEM;SG	N
ιστορία	動態	ιστορία	動態	N;NOM;FEM;SG	N
ιστορία	故事	ιστορία	故事	N;NOM;FEM;SG	N
ιστορία	歷史	ιστορία	歷史	N;NOM;FEM;SG	N
πρωτάθλημα	聯盟	πρωτάθλημα	聯盟	N;NOM;NEUT;SG	N
πρωτάθλημα	同盟	πρωτάθλημα	同盟	N;NOM;NEUT;SG	N
πρωτάθλημα	聯賽	πρωτάθλημα	聯賽	N;NOM;NEUT;SG	N
πρωτάθλημα	錦標	πρωτάθλημα	錦標	N;NOM;NEUT;SG	N
νέα	新	νέος	新	ADJ;NOM;NEUT;PL	ADJ
συζήτηση	對話	συζήτηση	對話	N;ACC;FEM;SG	N
συζήτηση	辯論	συζήτηση	辯論	N;ACC;FEM;SG	N
αρχείο	檔案	αρχείο	檔案	N;NOM;NEUT;SG	N
αρχείο	歸檔	αρχείο	歸檔	N;NOM;NEUT;SG	N
αρχείο	文件	αρχείο	文件	N;NOM;NEUT;SG	N
αρχείο	檔案	αρχείο	檔案	N;NOM;NEUT;SG	N
φορά	時光	φορά	時光	N;ACC;FEM;SG	N
φορά	時間	φορά	時間	N;ACC;FEM;SG	N
