patroli	partio	patroli	partio	N;SG	N;NOM;SG
mutlak	absoluuttinen	mutlak	absoluuttinen	ADJ;SG	ADJ;NOM;SG
mutlak	ehdoton	mutlak	ehdoton	ADJ;SG	ADJ;NOM;SG
plasma	plasma	plasma	plasma	N	N;NOM;SG
plasma	plasman	plasma	plasma	N	N;GEN;SG
bandingkan	vertaa	bandingkan	vertaa	V;SG;ACT	V;IMP;SG;2;FIN;ACT
bandingkan	vertailla	bandingkan	vertailla	V;SG;ACT	V;SG;NFIN;ACT
bandingkan	verrata	bandingkan	verrata	V;SG;ACT	V;SG;NFIN;ACT
tertangkap	vangittu	tertangkap	vangita	V;SG;PASS	V;NOM;SG;V.PTCP;PASS
pelaut	merimies	penlaut	meri#mies	N;SG	N;NOM;SG
pelaut	merimies	penlaut	meri#mies	N;SG	N;NOM;SG
pelaut	merimies	penlaut	meri#mies	N;SG	N;NOM;SG
perkantoran	toimipaikka	perkantoran	toimi#paikka	N;SG	N;NOM;SG
perkantoran	toimisto	perkantoran	toimisto	N;SG	N;NOM;SG
perkantoran	virasto	perkantoran	virasto	N;SG	N;NOM;SG
utang	velka	utang	velka	N;SG	N;NOM;SG
utang	velan	utang	velka	N;SG	N;GEN;SG
pecinta	rakastaja	pecinta	rakastaja	N;SG	N;NOM;SG
pecinta	rakastajatar	pecinta	rakastajatar	N;SG	N;NOM;SG
tayangan	vaikutelman	tayangan	vaikutelma	N;SG	N;GEN;SG
tayangan	vaikutelma	tayangan	vaikutelma	N;SG	N;NOM;SG
kelanjutan	jatkaminen	kelanjutan	jatkaminen	N;SG	N;NOM;SG
kelanjutan	jatkoa	kelanjutan	jatko	N;SG	N;PRT;SG
kelanjutan	jatkaminen	kelanjutan	jatkaminen	N;SG	N;NOM;SG
kelanjutan	jatko	kelanjutan	jatko	N;SG	N;NOM;SG
menyelidiki	tutkia	menselidiki	tutkia	V;SG;ACT	V;SG;NFIN;ACT
