후드	гуд	후드	гуд		
포커	покер	포커	покер	N	N;INAN;NOM;MASC;SG
커플	пары	커플	пара	N	N;INAN;NOM;FEM;PL
커플	пар	커플	пар	N	N;INAN;NOM;MASC;SG
커플	парам	커플	пар	N	N;ANIM;DAT;MASC;PL
커플	пара	커플	пара	N	N;INAN;NOM;FEM;SG
커플	парочку	커플	парочка	N	N;INAN;ACC;FEM;SG
커플	пару	커플	пара	N	N;INAN;ACC;FEM;SG
커플	парочка	커플	парочка	N	N;INAN;NOM;FEM;SG
불안	тревога	불안	тревога	N	N;INAN;NOM;FEM;SG
불안	беспокойство	불안	беспокойство	N	N;INAN;NOM;NEUT;SG
프린터	печать	프린터	печать	N	N;INAN;NOM;FEM;SG
프린터	принтер	프린터	принтер	N	N;INAN;NOM;MASC;SG
프린터	принтеров	프린터	принтер	N	N;INAN;GEN;MASC;PL
양서류	амфибий	양서류	амфибия	N	N;INAN;GEN;FEM;PL
채소	овощи	채소	овощ	N	N;INAN;NOM;MASC;PL
채소	овощи	채소	овощ	N	N;INAN;NOM;MASC;PL
문구	подпись	문구	подпись	N	N;INAN;NOM;FEM;SG
문구	заголовок	문구	заголовок	N	N;INAN;NOM;MASC;SG
문구	текста	문구	текст	N	N;INAN;GEN;MASC;SG
문구	текст	문구	текст	N	N;INAN;NOM;MASC;SG
문구	фраз	문구	фраза	N	N;INAN;GEN;FEM;PL
문구	фразы	문구	фраза	N	N;INAN;NOM;FEM;PL
도마뱀	ящериц	도마뱀	ящериц	N	N;ANIM;GEN;FEM;PL
도마뱀	ящерица	도마뱀	ящерица	N	N;ANIM;NOM;FEM;SG
이끼	мосс	이끼	мосс	N	N;INAN;NOM;FEM;SG
계몽	просвещения	계몽	просвещение	N	N;INAN;GEN;NEUT;SG
계몽	просвещение	계몽	просвещение	N	N;INAN;NOM;NEUT;SG
소실	исчезновения	소실	исчезновение	N	N;INAN;GEN;NEUT;SG
소실	исчезновение	소실	исчезновение	N	N;INAN;NOM;NEUT;SG
부활절	пасхи	부활절	пасхи	N	N;INAN;NOM;FEM;PL
클릭	щелчок	클릭	щелчок	N	N;INAN;NOM;MASC;SG
클릭	клик	클릭	клик	N	N;INAN;NOM;MASC;SG
클릭	клики	클릭	клика	N	N;INAN;NOM;FEM;PL
클릭	кликов	클릭	клик	N	N;INAN;GEN;MASC;PL
직물	ткани	직물	ткань	N	N;INAN;NOM;FEM;PL
직물	текстиль	직물	текстиль	N	N;INAN;NOM;MASC;SG
벽화	фрески	벽화	фреск	N	N;INAN;NOM;FEM;PL
벽화	фреску	벽화	фреск	N	N;INAN;ACC;FEM;SG
메시	месси	메시	месси	N	N;ANIM;NOM;MASC;SG
해명	пояснения	해명	пояснение	N	N;INAN;NOM;NEUT;PL
해명	разъяснение	해명	разъяснение	N	N;INAN;NOM;NEUT;SG
해명	уточнение	해명	уточнение	N	N;INAN;NOM;NEUT;SG
신용	кредит	신용	кредит	N	N;INAN;NOM;MASC;SG
신용	кредита	신용	кредит	N	N;INAN;GEN;MASC;SG
야채	овощи	야채	овощ	N	N;INAN;NOM;MASC;PL
야채	овощи	야채	овощ	N	N;INAN;NOM;MASC;PL
청소	чистка	청소	чистка	N	N;INAN;NOM;FEM;SG
청소	уборка	청소	уборка	N	N;INAN;NOM;FEM;SG
청소	уборки	청소	уборка	N	N;INAN;NOM;FEM;PL
청소	очистка	청소	очистка	N	N;INAN;NOM;FEM;SG
발효	ферментации	발효	ферментация	N	N;INAN;NOM;FEM;PL
코덱	кодек	코덱	кодек	N	N;INAN;NOM;MASC;SG
코덱	кодеки	코덱	кодек	N	N;INAN;NOM;FEM;PL
친족	родня	친족	родня	N	N;ANIM;NOM;FEM;SG
경관	офицер	경관	офицер	N	N;ANIM;NOM;MASC;SG
경관	ландшафт	경관	ландшафт	N	N;INAN;NOM;MASC;SG
경관	ландшафта	경관	ландшафт	N	N;INAN;GEN;MASC;SG
경관	пейзаж	경관	пейзаж	N	N;INAN;NOM;MASC;SG
퍼텐셜	потенциал	퍼텐셜	потенциал	N	N;INAN;NOM;MASC;SG
생각하기	думайте	생각+하+기	думать	V	V;IPFV;IMP;PL;2;FIN;ACT
생각하기	думай	생각+하+기	думать	V	V;IPFV;IMP;SG;2;FIN;ACT
생각하기	подумайте	생각+하+기	подумать	V	V;PFV;IMP;PL;2;FIN;ACT
수용체	рецептор	수용체	рецептор	N	N;INAN;NOM;MASC;SG
매력	очарование	매력	очарование	N	N;INAN;NOM;NEUT;SG
매력	шарм	매력	шарм	N	N;INAN;NOM;MASC;SG
매력	очарование	매력	очарование	N	N;INAN;NOM;NEUT;SG
매력	обаяние	매력	обаяние	N	N;INAN;NOM;NEUT;SG
벨트	ремни	벨트	ремень	N	N;INAN;NOM;MASC;PL
벨트	пояса	벨트	пояс	N	N;INAN;NOM;MASC;PL
벨트	ремень	벨트	ремень	N	N;INAN;NOM;MASC;SG
벨트	пояса	벨트	пояс	N	N;INAN;NOM;MASC;PL
벨트	пояс	벨트	пояс	N	N;INAN;NOM;MASC;SG
예의	этикет	예의	этикет	N	N;INAN;NOM;MASC;SG
예의	приличия	예의	приличие	N	N;INAN;NOM;NEUT;PL
예의	манеры	예의	манера	N	N;INAN;NOM;FEM;PL
예의	вежливость	예의	вежливость	N	N;INAN;NOM;FEM;SG
예의	вежливость	예의	вежливость	N	N;INAN;NOM;FEM;SG
예의	вежливости	예의	вежливость	N	N;INAN;GEN;FEM;SG
선구자	пионеры	선구자	пионер	N	N;ANIM;NOM;MASC;PL
받았습니다	получено	받+았+습니다	получить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
받았습니다	получен	받+았+습니다	получить	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
받았습니다	полученная	받+았+습니다	получить	V	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
받았습니다	полученные	받+았+습니다	получить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
받았습니다	получены	받+았+습니다	получить	V	V;PFV;PL;PST;V.PTCP;PASS
아키오	акио	아키+오	акио		
인플레이션	инфляция	인플레이션	инфляция	N	N;INAN;NOM;FEM;SG
카나코	канако	카나코	канако		
인질	заложники	인질	заложник	N	N;ANIM;NOM;MASC;PL
인질	заложник	인질	заложник	N	N;ANIM;NOM;MASC;SG
인질	заложников	인질	заложник	N	N;ANIM;ACC;MASC;PL
인질	заложники	인질	заложник	N	N;ANIM;NOM;MASC;PL
증언	свидетель	증언	свидетель	N	N;ANIM;NOM;MASC;SG
증언	свидетельство	증언	свидетельство	N	N;INAN;NOM;NEUT;SG
증언	показания	증언	показание	N	N;INAN;NOM;NEUT;PL
축하	торжества	축하	торжество	N	N;INAN;NOM;NEUT;PL
축하	празднование	축하	празднование	N	N;INAN;NOM;NEUT;SG
축하	празднования	축하	празднование	N	N;INAN;NOM;NEUT;PL
축하	поздравление	축하	поздравление	N	N;INAN;NOM;NEUT;SG
축하	праздник	축하	праздник	N	N;INAN;NOM;MASC;SG
축하	празднование	축하	празднование	N	N;INAN;NOM;NEUT;SG
축하	торжество	축하	торжество	N	N;INAN;NOM;NEUT;SG
관세	тарифы	관세	тариф	N	N;INAN;NOM;MASC;PL
관세	таможня	관세	таможня	N	N;INAN;NOM;FEM;SG
관세	тарифов	관세	тариф	N	N;INAN;GEN;MASC;PL
관세	тариф	관세	тариф	N	N;INAN;NOM;MASC;SG
이탈	отток	이탈	отток	N	N;INAN;NOM;MASC;SG
스쿼시	сквош	스쿼시	сквош	N	N;INAN;NOM;MASC;SG
냉각	охлаждения	냉각	охлаждение	N	N;INAN;NOM;NEUT;PL
냉각	охлаждения	냉각	охлаждение	N	N;INAN;NOM;NEUT;PL
레즈비언	лесбиянка	레즈비언	лесбиянка	N	N;ANIM;NOM;FEM;SG
레즈비언	лесбиянок	레즈비언	лесбиянок	N	N;ANIM;GEN;FEM;PL
레즈비언	лесбиянки	레즈비언	лесбиянка	N	N;ANIM;NOM;FEM;PL
레즈비언	лесбиянки	레즈비언	лесбиянка	N	N;ANIM;NOM;FEM;PL
레즈비언	лесбиянок	레즈비언	лесбиянок	N	N;ANIM;GEN;FEM;PL
차단되었습니다	заблокирован	차단+되+었+습니다	блокировать	V	V;PFV;MASC;SG;PST;V.PTCP;PASS
차단되었습니다	заблокирована	차단+되+었+습니다	блокировать	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
차단되었습니다	заблокированы	차단+되+었+습니다	блокировать	V	V;PFV;PL;PST;V.PTCP;PASS
램프	светильник	램프	светильник	N	N;INAN;NOM;MASC;SG
램프	лампа	램프	лампа	N	N;INAN;NOM;FEM;SG
램프	лампы	램프	лампа	N	N;INAN;NOM;FEM;PL
램프	огни	램프	огонь	N	N;INAN;NOM;MASC;PL
포격	обстрел	포격	обстрел	N	N;INAN;NOM;MASC;SG
포격	обстрелы	포격	обстрел	N	N;INAN;NOM;MASC;PL
포격	бомбардировки	포격	бомбардировка	N	N;INAN;NOM;FEM;PL
영화관	театры	영화관	театр	N	N;INAN;NOM;MASC;PL
영화관	кинотеатрах	영화관	кинотеатр	N	N;INAN;ESS;MASC;PL
영화관	кинотеатр	영화관	кинотеатр	N	N;INAN;NOM;MASC;SG
영화관	театр	영화관	театр	N	N;INAN;NOM;MASC;SG
레지옹	легион	레지옹	легион	N	N;INAN;NOM;MASC;SG
풀기	извлечь	풀+기	извлечь	V	V;PFV;NFIN;ACT
풀기	решить	풀+기	решить	V	V;PFV;NFIN;ACT
마스터즈	мастерс	마스터즈	мастерс	N	N;INAN;NOM;MASC;SG
마스터즈	мастера	마스터즈	мастер	N	N;ANIM;NOM;MASC;PL
마스터즈	хозяева	마스터즈	хозяин	N	N;ANIM;NOM;MASC;PL
표본	образец	표본	образец	N	N;INAN;NOM;MASC;SG
표본	выборка	표본	выборка	N	N;INAN;NOM;FEM;SG
보내기	послать	보내+기	послать	V	V;PFV;NFIN;ACT
보내기	отправить	보내+기	отправить	V	V;PFV;NFIN;ACT
황소자리	телец	황소자리	телец	N	N;INAN;NOM;MASC;SG
위조	подделка	위조	подделка	N	N;INAN;NOM;FEM;SG
위조	подделки	위조	подделка	N	N;INAN;NOM;FEM;PL
위조	подделки	위조	подделка	N	N;INAN;NOM;FEM;PL
위조	подделка	위조	подделка	N	N;INAN;NOM;FEM;SG
마사시	масаси	마사시	масас		
가슴이	груди	가슴+이	грудь	N	N;INAN;NOM;FEM;SG
가슴이	сундук	가슴+이	сундук	N	N;INAN;NOM;MASC;SG
가슴이	грудь	가슴+이	грудь	N	N;INAN;NOM;FEM;SG
인용된	процитировал	인용+되+ㄴ	процитировать	V	V;PFV;MASC;IND;SG;PST;FIN;ACT
패치	патчи	패치	патч	N	N;INAN;NOM;MASC;PL
패치	патч	패치	патч	N	N;INAN;NOM;MASC;SG
탐험	изучения	탐험	изучение	N	N;INAN;GEN;NEUT;SG
탐험	исследователь	탐험	исследователь	N	N;ANIM;NOM;MASC;SG
