ve	og	ve	og	CONJ	CONJ
sonra	deretter	sonra	deretter	ADV	ADV
sonra	så	sonra	så	ADV	ADV
sonra	da	sonra	da	ADV	ADV
sonra	etterpå	sonra	etterpå	ADV	ADV
yer	spisested	yer	spisested	N;NOM;SG;3	N;INDF;MASC;SG
yer	place	yer	place	N;NOM;SG;3	N
yer	beliggenhet	yer	beliggenhet	N;NOM;SG;3	N;DEF;MASC;SG
yer	lokalisering	yer	lokalisering	N;NOM;SG;3	N;INDF;FEM;SG
yer	lokasjon	yer	lokasjon	N;NOM;SG;3	N;INDF;MASC;SG
yer	posisjon	yer	posisjon	N;NOM;SG;3	N;INDF;MASC;SG
yer	plassering	yer	plassering	N;NOM;SG;3	N;INDF;FEM;SG
bağlantılar	tilknytninger	bağlantı	tilknytning	N;NOM;PL;3	N;INDF;FEM;PL
bağlantılar	tilkoblinger	bağlantı	tilkoblinger	N;NOM;PL;3	N;INDF;FEM;PL
bağlantılar	koblinger	bağlantı	koblinger	N;NOM;PL;3	N;INDF;FEM;PL
bağlantılar	linker	bağlantı	linker	N;NOM;PL;3	N;INDF;MASC;PL
bağlantılar	lenker	bağlantı	lank	N;NOM;PL;3	N;INDF;FEM;PL
center	sentrum	center	sentrum	N;NOM;SG;3	N;INDF;NEUT;SG
center	center	center	cente	N;NOM;SG;3	N;INDF;NEUT;SG
center	senter	center	senter	N;NOM;SG;3	N;INDF;NEUT;SG
yeni	ny	yeni	ny	ADJ	ADJ;INDF;SG
yeni	nye	yeni	ny	ADJ	ADJ;PL
yeni	nytt	yeni	ny	ADJ	ADJ;INDF;NEUT;SG
ilgili	relevant	ilgili	relevant	ADJ	ADJ;INDF;NEUT;SG
ilgili	relevante	ilgili	relevant	ADJ	ADJ;PL
ilgili	interesserte	ilgili	interessere	ADJ	ADJ;PL;V.PTCP
ilgili	interessert	ilgili	interessere	ADJ	ADJ;INDF;SG;V.PTCP
ilgili	relatert	ilgili	relatere	ADJ	ADJ;INDF;SG;V.PTCP
