категория	categoria	категория	categoria	N;INDF;FEM;SG	N;FEM;SG
година	ano	година	ano	N;INDF;FEM;SG	N;MASC;SG
след	após	след	após	ADP	ADP
това	esta	този	este	PRO;NOM;NEUT;SG	PRO;FEM;SG
това	isso	този	isso	PRO;NOM;NEUT;SG	PRO;MASC;SG
това	isto	този	isto	PRO;NOM;NEUT;SG	PRO;MASC;SG
това	essa	този	esse	PRO;NOM;NEUT;SG	PRO;FEM;SG
част	part	част	part	N;INDF;FEM;SG	N;MASC;SG
част	parte	част	parte	N;INDF;FEM;SG	N;FEM;SG
години	anos	година	ano	N;INDF;FEM;PL	N;MASC;PL
време	hora	време	hora	N;INDF;NEUT;SG	N;FEM;SG
време	horário	време	horário	N;INDF;NEUT;SG	N;MASC;SG
време	tempo	време	tempo	N;INDF;NEUT;SG	N;MASC;SG
време	time	време	time	N;INDF;NEUT;SG	N;MASC;SG
със	com	със	com	ADP	ADP
която	qual	който	qual	PRO;NOM;FEM;SG	PRO;MASC;SG
което	qual	който	qual	PRO;NOM;NEUT;SG	PRO;MASC;SG
външни	externos	външен	externo	ADJ;INDF;PL	ADJ;MASC;PL
препратки	referências	препратка	referência	N;INDF;FEM;PL	N;FEM;PL
град	vila	град	vila	N;INDF;MASC;SG	N;FEM;SG
град	cidade	град	cidade	N;INDF;MASC;SG	N;FEM;SG
град	cidade	град	cidade	N;INDF;MASC;SG	N;FEM;SG
много	muito	много	muito	ADV;INDF;PL	ADV
също	igualmente	също	igualmente	ADV	ADV
също	também	също	também	ADV	ADV
век	século	век	século	N;INDF;MASC;SG	N;MASC;SG
век	century	век	century	N;INDF;MASC;SG	N;MASC;SG
село	vila	село	vila	N;INDF;NEUT;SG	N;FEM;SG
село	aldeia	село	aldeia	N;INDF;NEUT;SG	N;FEM;SG
един	um	един	um	NUM;INDF;MASC;SG	NUM
един	uma	един	um	NUM;INDF;MASC;SG	NUM
между	entre	между	entre	ADP	ADP
още	ainda	още	ainda	ADV	ADV
още	mais	още	mais	ADV	ADV
война	guerra	война	guerra	N;INDF;FEM;SG	N;FEM;SG
война	war	война	war	N;INDF;FEM;SG	N;MASC;SG
само	só	само	só	ADV	ADV
само	apenas	само	apenas	ADV	ADV
само	somente	само	somente	ADV	ADV
само	unicamente	само	unicamente	ADV	ADV
само	só	само	só	ADV	ADV
само	apenas	само	apenas	ADV	ADV
област	região	област	região	N;INDF;FEM;SG	N;FEM;SG
област	oblast	област	oblast	N;INDF;FEM;SG	N;MASC;SG
област	distrito	област	distrito	N;INDF;FEM;SG	N;MASC;SG
област	area	област	area	N;INDF;FEM;SG	N;FEM;SG
област	área	област	área	N;INDF;FEM;SG	N;FEM;SG
под	sob	под	sob	ADP	ADP
община	município	община	município	N;INDF;FEM;SG	N;MASC;SG
община	concelho	община	concelho	N;INDF;FEM;SG	N;MASC;SG
място	lugar	място	lugar	N;INDF;NEUT;SG	N;MASC;SG
място	place	място	place	N;INDF;NEUT;SG	N;MASC;SG
място	local	място	local	N;INDF;NEUT;SG	N;MASC;SG
място	sítio	място	sítio	N;INDF;NEUT;SG	N;MASC;SG
място	localização	място	localização	N;INDF;NEUT;SG	N;FEM;SG
когато	quando	когато	quando	ADV	ADV
вид	type	вид	type	N;INDF;MASC;SG	N;MASC;SG
вид	tipo	вид	tipo	N;INDF;MASC;SG	N;MASC;SG
вид	espécie	вид	espécie	N;INDF;MASC;SG	N;FEM;SG
една	um	един	um	NUM;INDF;FEM;SG	NUM
една	uma	един	um	NUM;INDF;FEM;SG	NUM
всички	todos	всеки	todo	PRO;NOM;PL	PRO;MASC;PL
всички	todos	всеки	todo	PRO;NOM;PL	PRO;MASC;PL
семейство	família	семейство	família	N;INDF;NEUT;SG	N;FEM;SG
семейство	familia	семейство	familia	N;INDF;NEUT;SG	N;FEM;SG
започва	começa	започвам-(се)	começar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
започва	inicia	започвам-(се)	iniciar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
започва	começa	започвам-(се)	começar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
срещу	contra	срещу	contra	ADP	ADP
срещу	contra	срещу	contra	ADP	ADP
тези	estes	този	este	DET;PL	DET;MASC;PL
тези	esses	този	esse	DET;PL	DET;MASC;PL
тези	aqueles	този	aquele	DET;PL	DET;MASC;PL
