for	para	for	para	ADP	ADP
med	con	med	con	ADP	ADP
den	la	den	él	PRO;SG;3	PRO;ACC;FEM;SG;3
var	fue	vere	ser	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
var	fueron	vere	ser	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
har	tengo	ha	tener	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
har	tiene	ha	tener	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
har	tener	ha	tener	V;IND;PRS;FIN	V;NFIN
har	tienen	ha	tener	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
også	igualmente	også	igualmente	ADV	ADV
også	además	også	además	ADV	ADV
også	también	også	también	ADV	ADV
også	también	også	también	ADV	ADV
også	demasiado	også	demasiado	ADV	ADV
men	sino	men	sino	CONJ	CONJ
men	pero	men	pero	CONJ	CONJ
etter	tras	etter	tras	ADP	ADP
lenker	grilletes	lank	grillete	N;INDF;FEM;PL	N;MASC;PL
lenker	cadenas	lank	cadena	N;INDF;FEM;PL	N;FEM;PL
lenker	acoplamientos	lank	acoplamiento	N;INDF;FEM;PL	N;MASC;PL
lenker	vínculos	lank	vínculo	N;INDF;FEM;PL	N;MASC;PL
lenker	enlaces	lank	enlace	N;INDF;FEM;PL	N;MASC;PL
lenker	links	lank	link	N;INDF;FEM;PL	N;MASC;PL
under	bajo	under	bajo	ADP	ADP
eksterne	externos	ekstern	externo	ADJ;PL	ADJ;MASC;PL
kan	pueden	kunne	poder	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
kan	puedo	kunne	poder	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
kan	puede	kunne	poder	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
hadde	tuvo	ha	tener	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
første	primera	første	primero	ADJ;DEF;SG	ADJ;FEM;SG
første	primer	første	primero	ADJ;DEF;SG	ADJ;MASC;SG
født	nacido	føde	nacido	ADJ;INDF;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
mot	contra	mot	contra	ADP	ADP
der	allí	der	allí	ADV	ADV
der	ahí	der	ahí	ADV	ADV
norsk	noruego	norsk	noruego	N;INDF;MASC;SG	N;MASC;SG
norsk	noruega	norsk	noruego	N;INDF;MASC;SG	N;FEM;SG
mellom	entre	mellom	entre	ADP	ADP
fikk	consiguió	fikk	conseguir	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
blant	entre	blant	entre	ADP	ADP
kom	vengan	kome	venir	V;IMP;PST;FIN	V;IMP;PL;3;FIN
cest	cest	cra	cest	N	N
wikipedia	wikipedia	wikipedia	wikipedia	N;DEF;NEUT;SG	N;FEM;SG
død	fallecimiento	død	fallecimiento	N;INDF;MASC;SG	N;MASC;SG
død	death	død	death	N;INDF;MASC;SG	N
død	muerte	død	muerte	N;INDF;MASC;SG	N;FEM;SG
død	defunción	død	defunción	N;INDF;MASC;SG	N;FEM;SG
død	dead	død	dead	N;INDF;MASC;SG	N
del	compartan	dele	compartir	V;IMP;FIN	V;IMP;PL;3;FIN
del	compartir	dele	compartir	V;IMP;FIN	V;NFIN
del	comparta	dele	compartir	V;IMP;FIN	V;IMP;SG;3;FIN
tre	tres	tre	tres	NUM;PL	NUM;PL
vil	quieres	vilje	querer	V;IND;PRS;FIN	V;IND;SG;2;PRS;FIN
vil	quiero	vilje	querer	V;IND;PRS;FIN	V;IND;SG;1;PRS;FIN
vil	querer	vilje	querer	V;IND;PRS;FIN	V;NFIN
vil	quieren	vilje	querer	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
skal	va	skulle	ir	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
skal	yendo	skulle	ir	V;IND;PRS;FIN	V;V.MSDR
store	grandes	stor	grande	ADJ;PL	ADJ;PL
kjent	conocida	kjent	conocido	ADJ;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
kjent	conocido	kjent	conocido	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
kjent	familiar	kjent	familiar	ADJ;INDF;NEUT;SG	ADJ;SG
kjent	familiarizado	kjent	familiarizado	ADJ;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
mai	mai	mai	mai	N;INDF;MASC;SG	N;MASC
mai	mayo	mai	mayo	N;INDF;MASC;SG	N
bare	únicamente	bare	únicamente	ADV	ADV
bare	solo	bare	solo	ADV	ADV
bare	sólo	bare	sólo	ADV	ADV
bare	solamente	bare	solamente	ADV	ADV
bare	solo	bare	solo	ADV	ADV
bare	simplemente	bare	simplemente	ADV	ADV
bare	sólo	bare	sólo	ADV	ADV
