une	una	un	uno	DET;INDF;FEM;SG	DET;INDF;FEM;SG
catégorie	categoria	catégorie	categoria	N;FEM;SG	N;FEM;SG
pour	per	pour	per	ADP	ADP
qui	chi	qui	chi	PRO	PRO
avec	con	avec	con	ADP	ADP
son	suo	son	suo	DET;MASC;SG	DET;MASC;SG
plus	più	plus	più	ADV	ADV
pas	non	pas	non	ADV;NEG	ADV
sont	sono	être	essere	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
elle	lei	elle	lei	PRO;FEM;SG;3	PRO;SG;3
avancement	avanzamento	avancement	avanzamento	N;MASC;SG	N;MASC;SG
avancement	avanzamento	avancement	avanzamento	N;MASC;SG	N;MASC;SG
avancement	progress	avancement	progress	N;MASC;SG	N;MASC
avancement	progresso	avancement	progresso	N;MASC;SG	N;MASC;SG
mais	ma	mais	ma	CONJ	CONJ
cette	questo	ce	questo	DET;FEM;SG	DET;MASC;SG
cette	questa	ce	questo	DET;FEM;SG	DET;FEM;SG
pop	pop	pop	pop	N;FEM;SG	N;MASC
deux	due	deux	due	NUM	NUM
naissance	born	naissance	borno	N;FEM;SG	N;MASC;SG
naissance	nascita	naissance	nascita	N;FEM;SG	N;FEM;SG
naissance	parto	naissance	parto	N;FEM;SG	N;MASC;SG
aussi	inoltre	aussi	inoltre	ADV	ADV
aussi	anche	aussi	anche	ADV	ADV
france	francia	france	francia	N;FEM;SG	N;FEM;SG
fait	fatto	faire	fare	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fait	fatta	faire	fare	V;MASC;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fait	fatto	faire	fare	V;MASC;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
notes	note	note	nota	N;FEM;PL	N;FEM;PL
notes	annotazioni	note	annotazione	N;FEM;PL	N;FEM;PL
entre	tra	entre	tra	ADP	ADP
entre	fra	entre	fra	ADP	ADP
sous	sotto	sous	sotto	ADP	ADP
même	perfino	même	perfino	ADV	ADV
même	persino	même	persino	ADV	ADV
même	anche	même	anche	ADV	ADV
être	essendo	être	essere	V;NFIN	V;V.MSDR
être	essere	être	essere	V;NFIN	V;NFIN
nom	cognome	nom	cognome	N;MASC;SG	N;MASC;SG
nom	denominazione	nom	denominazione	N;MASC;SG	N;FEM;SG
nom	nome	nom	nome	N;MASC;SG	N;MASC;SG
français	francese	français	francese	ADJ;MASC;SG	ADJ;SG
lui	lui	lui	lui	PRO;SG;3	PRO;MASC;SG;3
lieu	posto	lieu	posto	N;MASC;SG	N;MASC;SG
lieu	luogo	lieu	luogo	N;MASC;SG	N;MASC;SG
lieu	place	lieu	place	N;MASC;SG	N;MASC
lieu	ubicazione	lieu	ubicazione	N;MASC;SG	N;FEM;SG
autres	altri	autre	altro	PRO;PL	PRO;MASC;PL
autres	altri	autre	altro	PRO;PL	PRO;MASC;PL
décès	death	décès	death	N;MASC;SG	N
décès	decesso	décès	decesso	N;MASC;SG	N;MASC;SG
décès	morte	décès	morte	N;MASC;SG	N;FEM;SG
références	referenze	référence	referenza	N;FEM;PL	N;FEM;PL
références	riferimenti	référence	riferimento	N;FEM;PL	N;MASC;PL
liens	collegamenti	lien	collegamento	N;MASC;PL	N;MASC;PL
liens	link	lien	link	N;MASC;PL	N;MASC
était	era	être	essere	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
commune	common	commune	common	N;FEM;SG	N
ville	città	ville	città	N;FEM;SG	N;FEM
ville	città	ville	città	N;FEM;SG	N;FEM
leur	loro	lui	loro	PRO;PL;3	PRO;PL;3
depuis	da	depuis	da	ADP	ADP
première	primo	premier	primo	ADJ;FEM;SG	ADJ;MASC;SG
ans	ans	an	ans	N;MASC;PL	N;MASC
ans	anni	an	anno	N;MASC;PL	N;MASC;PL
alors	allora	alors	allora	ADV	ADV
alors	poi	alors	poi	ADV	ADV
externes	esterni	externe	esterno	ADJ;MASC;PL	ADJ;MASC;PL
site	site	site	sito	N;MASC;SG	N
site	sito	site	sito	N;MASC;SG	N;MASC;SG
premier	primo	premier	primo	ADJ;MASC;SG	ADJ;MASC;SG
ces	questi	ce	questo	PRO;PL;3	PRO;MASC;PL
fut	fu	être	essere	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
http	http	http	http	N;MASC;SG	N;MASC
film	film	film	film	N;MASC;SG	N;MASC
film	pellicola	film	pellicolo	N;MASC;SG	N;FEM;SG
film	film	film	film	N;MASC;SG	N;MASC
voir	vedere	voir	vedere	V;NFIN	V;NFIN
voir	vedi	voir	vedere	V;NFIN	V;IMP;SG;2;PRS;FIN
voir	visualizza	voir	visualizzare	V;NFIN	V;IND;SG;3;PRS;FIN
pays	nazione	pays	nazione	N;MASC;SG	N;FEM;SG
pays	paese	pays	paese	N;MASC;SG	N;MASC;SG
source	fonte	source	fonte	N;FEM;SG	N;FEM;SG
source	sorgente	source	sorgente	N;FEM;SG	N;FEM;SG
ils	loro	il	loro	PRO;MASC;PL;3	PRO;PL;3
