رده	třída	رده	třída	N;SG	N;NOM;FEM;SG;POS
از	ze	از	z	ADP	ADP;GEN
از	od	از	od	ADP	ADP;GEN
که	že	که	že	CONJ	CONJ
این	tento	این	tento	DET	DET;NOM;MASC;SG
این	toto	این	tento	DET	DET;NOM;NEUT;SG
این	tohle	این	tenhle	DET	DET;NOM;NEUT;SG
یک	jedno	یک	jeden	NUM	NUM;NOM;NEUT;SG
یک	jednu	یک	jeden	NUM	NUM;ACC;FEM;SG
یک	jeden	یک	jeden	NUM	NUM;NOM;MASC;SG
یک	jedna	یک	jeden	NUM	NUM;NOM;FEM;SG
سال	roku	سال	rok	N;SG	N;INAN;GEN;MASC;SG;POS
سال	rok	سال	rok	N;SG	N;INAN;NOM;MASC;SG;POS
سال	ročník	سال	ročník	N;SG	N;INAN;NOM;MASC;SG;POS
سال	roce	سال	rok	N;SG	N;INAN;GEN;MASC;SG;POS
برای	pro	برای	pro	ADP	ADP;ACC
برای	za	برای	za	ADP	ADP;ACC
شهرستان	hrabství	شهرستان	hrabství	N;SG	N;NOM;NEUT;SG;POS
شهرستان	okres	شهرستان	okres	N;SG	N;INAN;NOM;MASC;SG;POS
آمریکا	amerika	آمریکا	amerika	N;SG	N;NOM;FEM;SG;POS
آمریکا	ameriko	آمریکا	ameriko	N;SG	N;NOM;MASC;SG;POS
فهرست	katalog	فهرست	katalog	N;SG	N;INAN;NOM;MASC;SG;POS
فهرست	katalogu	فهرست	katalog	N;SG	N;INAN;GEN;MASC;SG;POS
فهرست	seznam	فهرست	seznam	N;SG	N;INAN;NOM;MASC;SG;POS
فهرست	katalog	فهرست	katalog	N;SG	N;INAN;NOM;MASC;SG;POS
فهرست	katalogu	فهرست	katalog	N;SG	N;INAN;GEN;MASC;SG;POS
بود	bylo	بود#باش	být	V;SG;3;PST	V;NEUT;SG;POS;PST;V.PTCP;ACT
بود	byl	بود#باش	být	V;SG;3;PST	V;MASC;SG;POS;PST;V.PTCP;ACT
دارد	má	داشت#دار	mít	V;SG;3;PRS	V;IND;SG;3;POS;PRS;FIN;ACT
او	ona	او	on	PRO;SG;3	PRO;NOM;FEM;SG;3
او	ho	او	on	PRO;SG;3	PRO;ACC;SG;3
او	jí	او	on	PRO;SG;3	PRO;DAT;FEM;SG;3
او	ji	او	on	PRO;SG;3	PRO;ACC;FEM;SG;3
او	ní	او	on	PRO;SG;3	PRO;DAT;FEM;SG;3
