din	từ	din	từ	ADP;ACC	ADP
sit	website	sit	website	N;INDF;MASC;SG	N
dupa	sau	dupa	sau	N;DEF;FEM;SG	N
dupa	sau	dupa	sau	N;DEF;FEM;SG	N
lea	lea	lea	lea		
regiunea	tần	regiune	tần	N;DEF;FEM;SG	N
regiunea	vùng	regiune	vùng	N;DEF;FEM;SG	N
mare	tuyệt	mare	tuyệt	ADJ;INDF;MASC;SG	ADJ
mare	lớn	mare	lớn	ADJ;INDF;MASC;SG	ADJ
mare	to	mare	to	ADJ;INDF;MASC;SG	ADJ
anul	năm	an	năm	N;DEF;MASC;SG	N
legaturi	xích	legatură	xích	N;INDF;FEM;PL	N
legaturi	xích	legatură	xích	N;INDF;FEM;PL	N
vezi	xem	vedea	xem	V;IND;SG;2;PRS;FIN	V
dar	nhưng	dar	nhưng	CONJ;POS	CONJ
cod	cod	cod	cod		
romania	romania	romanie	romania	N;DEF;FEM;SG	N
romania	romania	romanie	romania	N;DEF;FEM;SG	N
jpg	jpg	jpg	jpg	N	N
lista	danh	listă	danh	N;DEF;FEM;SG	N
lista	danh	listă	danh	N;DEF;FEM;SG	N
nume	tên	nume	tên	N;INDF	N
ani	ani	an	ani	N;INDF;MASC;PL	N
ani	năm	an	năm	N;INDF;MASC;PL	N
avea	xịt	avea	xịt	V;IND;SG;3;IPFV;FIN	V
pana	lông	pană	lông	N;DEF;FEM;SG	N
rege	vua	rege	vua	N;INDF;MASC;SG	N
regiune	tần	regiune	tần	N;INDF;FEM;SG	N
regiune	vùng	regiune	vùng	N;INDF;FEM;SG	N
anii	năm	an	năm	N;DEF;MASC;PL	N
parte	phần	parte	phần	N;INDF;FEM;SG	N
judetul	quận	judet	quận	N;DEF;MASC;SG	N
judetul	hạt	judet	hạt	N;DEF;MASC;SG	N
judetul	quận	judet	quận	N;DEF;MASC;SG	N
judetul	hạt	judet	hạt	N;DEF;MASC;SG	N
centura	đai	centură	đai	N;DEF;FEM;SG	N
centura	đai	centură	đai	N;DEF;FEM;SG	N
timp	gian	timp	gian	N;INDF;MASC;SG	N
timp	thời	timp	thời	N;INDF;MASC;SG	N
limba	lưỡi	limbă	lưỡi	N;DEF;FEM;SG	N
limba	ngữ	limbă	ngữ	N;DEF;FEM;SG	N
limba	lưỡi	limbă	lưỡi	N;DEF;FEM;SG	N
limba	ngữ	limbă	ngữ	N;DEF;FEM;SG	N
sat	làng	sat	làng	N;INDF;MASC;SG	N
biserica	thờ	biserică	thờ	N;DEF;FEM;SG	N
biserica	thờ	biserică	thờ	N;DEF;FEM;SG	N
fisier	tệp	fisier	tệp	N;INDF;MASC;SG	N
fisier	file	fisier	file	N;INDF;MASC;SG	N
fisier	tệp	fisier	tệp	N;INDF;MASC;SG	N
fisier	file	fisier	file	N;INDF;MASC;SG	N
latns	latns	latns	latns		
latd	latd	latd	latd		
longd	longd	longd	longd		
imagine	ảnh	imagine	ảnh	N;INDF;FEM;SG	N
imagine	nh	imagine	nh	N;INDF;FEM;SG	N
imagine	hình	imagine	hình	N;INDF;FEM;SG	N
imagine	ảnh	imagine	ảnh	N;INDF;FEM;SG	N
avut	xịt	avea	xịt	V;MASC;SG;V.PTCP	V
familia	đình	familie	đình	N;DEF;FEM;SG	N
numele	tên	nume	tên	N;DEF;MASC;SG	N
timpul	gian	timp	gian	N;DEF;MASC;SG	N
timpul	thời	timp	thời	N;DEF;MASC;SG	N
nord	bắc	nord	bắc	N;INDF;MASC;SG	N
nord	nord	nord	nord	N;INDF;MASC;SG	N
sud	nam	sud	nam	N;INDF;MASC;SG	N
loc	nơi	loc	nơi	N;INDF;MASC;SG	N
loc	chỗ	loc	chỗ	N;INDF;MASC;SG	N
februarie	tháng	februarie	tháng	N;INDF;MASC;SG	N
trei	ba	trei	ba	NUM;PL	NUM
trei	three	trei	three	NUM;PL	NUM
longm	longm	longm	longm		
latm	latm	latm	latm		
partea	phần	parte	phần	N;DEF;FEM;SG	N
departamentul	sở	departament	sở	N;DEF;MASC;SG	N
departamentul	khu	departament	khu	N;DEF;MASC;SG	N
data	ngày	dată	ngày	N;DEF;FEM;SG	N
data	ngày	dată	ngày	N;DEF;FEM;SG	N
departament	sở	departament	sở	N;INDF;MASC;SG	N
departament	khu	departament	khu	N;INDF;MASC;SG	N
grup	nhóm	grup	nhóm	N;INDF;MASC;SG	N
locul	nơi	loc	nơi	N;DEF;MASC;SG	N
