sau	لیکن	sau	لیکن	CONJ;POS	CONJ
prin	بشمول	prin	بشمول	ADP;ACC	ADP
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	ممتاز	mare	ممتاز	ADJ;INDF;MASC;SG	ADJ
mare	شاندار	mare	شاندار	ADJ;INDF;MASC;SG	ADJ
mare	وسیع	mare	وسیع	ADJ;INDF;MASC;SG	ADJ
mare	پُرشکوہ	mare	پُرشکوہ	ADJ;INDF;MASC;SG	ADJ
mare	ماہر	mare	ماہر	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	ممتاز	mare	ممتاز	ADJ;INDF;MASC;SG	ADJ
mare	شاندار	mare	شاندار	ADJ;INDF;MASC;SG	ADJ
mare	وسیع	mare	وسیع	ADJ;INDF;MASC;SG	ADJ
mare	پُرشکوہ	mare	پُرشکوہ	ADJ;INDF;MASC;SG	ADJ
mare	ماہر	mare	ماہر	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
mare	اہم	mare	اہم	ADJ;INDF;MASC;SG	ADJ
mare	نمایاں	mare	نمایاں	ADJ;INDF;MASC;SG	ADJ
externe	خارجی	extern	خارجی	ADJ;INDF;FEM;PL	ADJ
externe	خارجی	extern	خارجی	ADJ;INDF;FEM;PL	ADJ
externe	بیرونی	extern	بیرونی	ADJ;INDF;FEM;PL	ADJ
vezi	پانا	vedea	پانا	V;IND;SG;2;PRS;FIN	V;SG;NFIN;ACT
vezi	سوچنا	vedea	سوچ	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
vezi	ملنا	vedea	مل	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
dar	لیکن	dar	لیکن	CONJ;POS	CONJ
cod	بکواس.	cod	بکواس.		
cod	لغو	cod	لغو		
nume	شہرت	nume	شہرت	N;INDF	N;NOM;FEM;SG;3
