この	to	この	ta	DET	DET;NOM;NEUT;SG
この	ta	この	ta	DET	DET;NOM;MASC;SG
この	tega	この	ta	DET	DET;GEN;NEUT;SG
まで	do	まで	do	ADP	ADP;GEN
もの	stvari	もの	stvar	N	N;NOM;FEM;PL
大学	univerze	大学	univerza	N	N;NOM;FEM;PL
大学	univerz	大学	univerza	N	N;GEN;FEM;PL
大学	univerzami	大学	univerza	N	N;DAT;FEM;PL
大学	univerza	大学	univerza	N	N;NOM;FEM;SG
大学	fakulteta	大学	fakulteta	N	N;NOM;FEM;SG
大学	kolidž	大学	kolidž	N	N;NOM;MASC;SG
大学	fakultete	大学	fakulteta	N	N;NOM;FEM;PL
大学	kolegijev	大学	kolegij	N	N;GEN;MASC;PL
テレビ	televizijo	テレビ	televizija	N	N;ACC;FEM;SG
テレビ	televizija	テレビ	televizija	N	N;NOM;FEM;SG
放送	oddaja	放送	oddajati	V	V;IPFV;IND;SG;3;PRS;FIN
削除	odstrani	削除	odstran	V	V;PFV;IND;SG;3;PRS;FIN
現在	tok	現在	tok	N	N;NOM;MASC;SG
現在	sedanjost	現在	sedanjost	N	N;NOM;FEM;SG
学校	šole	学校	šola	N	N;NOM;FEM;PL
学校	šol	学校	šola	N	N;GEN;FEM;PL
学校	šole	学校	šola	N	N;NOM;FEM;PL
学校	šolo	学校	šola	N	N;ACC;FEM;SG
学校	šola	学校	šola	N	N;NOM;FEM;SG
世界	svet	世界	svet	N	N;NOM;MASC;SG
でも	toda	でも	toda	CONJ	CONJ
でも	ampak	でも	ampak	CONJ	CONJ
でも	vendar	でも	vendar	CONJ	CONJ
作品	dela	作品	delo	N	N;NOM;NEUT;PL
作品	diskografija	作品	diskografija	N	N;NOM;FEM;SG
時代	era	時代	era	N	N;NOM;MASC;SG
映画	film	映画	film	N	N;NOM;MASC;SG
映画	kino	映画	kino	N	N;NOM;MASC;SG
映画	film	映画	film	N	N;NOM;MASC;SG
映画	kino	映画	kino	N	N;NOM;MASC;SG
映画	filmi	映画	film	N	N;NOM;MASC;PL
映画	filme	映画	film	N	N;ACC;MASC;PL
監督	direktor	監督	direktor	N	N;NOM;MASC;SG
監督	direktorica	監督	direktorica	N	N;NOM;FEM;SG
監督	režiser	監督	režiser	N	N;NOM;MASC;SG
監督	nadzorovanje	監督	nadzorovanje	N	N;NOM;NEUT;SG
監督	nadzor	監督	nadzor	N	N;NOM;MASC;SG
鉄道	železnice	鉄道	železnica	N	N;NOM;FEM;PL
鉄道	železnico	鉄道	železnica	N	N;ACC;FEM;SG
鉄道	železnice	鉄道	železnica	N	N;NOM;FEM;PL
鉄道	železnica	鉄道	železnica	N	N;NOM;FEM;SG
鉄道	železnice	鉄道	železnica	N	N;NOM;FEM;PL
鉄道	železnice	鉄道	železnica	N	N;NOM;FEM;PL
鉄道	železnica	鉄道	železnica	N	N;NOM;FEM;SG
明治	meidži	明治	meidža	N	N;NOM;FEM;PL
時間	urami	時間	ura	N	N;NOM;FEM;PL
時間	ure	時間	ura	N	N;NOM;FEM;PL
時間	urah	時間	ura	N	N;ESS;FEM;PL
時間	ur	時間	ura	N	N;GEN;FEM;PL
時間	uro	時間	ura	N	N;ACC;FEM;SG
時間	ura	時間	ura	N	N;NOM;FEM;SG
時間	urice	時間	urica	N	N;NOM;FEM;PL
時間	čas	時間	čas	N	N;NOM;MASC;SG
時間	časa	時間	čas	N	N;GEN;MASC;SG
開始	začni	開始	začeti	V	V;PFV;IMP;SG;2;FIN
シリーズ	serijo	シリーズ	serija	N	N;ACC;FEM;SG
シリーズ	serije	シリーズ	serija	N	N;NOM;FEM;PL
シリーズ	serija	シリーズ	serija	N	N;NOM;FEM;SG
記事	članek	記事	članek	N	N;NOM;MASC;SG
記事	člena	記事	člen	N	N;GEN;MASC;SG
記事	člen	記事	člen	N	N;NOM;MASC;SG
記事	izdelek	記事	izdelek	N	N;NOM;MASC;SG
記事	zgodba	記事	zgodba	N	N;NOM;FEM;SG
記事	zgodbo	記事	zgodba	N	N;ACC;FEM;SG
記事	zgodb	記事	zgodba	N	N;GEN;FEM;PL
記事	zgodbice	記事	zgodbica	N	N;NOM;FEM;PL
記事	zgodbe	記事	zgodba	N	N;NOM;FEM;PL
記事	členi	記事	člen	N	N;NOM;MASC;PL
記事	članki	記事	članek	N	N;NOM;MASC;PL
記事	izdelki	記事	izdelek	N	N;NOM;MASC;PL
選手	igralci	選手	igralec	N	N;NOM;MASC;PL
選手	igralca	選手	igralec	N	N;NOM;MASC;SG
選手	igralce	選手	igralec	N	N;ACC;MASC;PL
選手	akterji	選手	akter	N	N;NOM;MASC;PL
選手	športniki	選手	športnik	N	N;NOM;MASC;PL
選手	športnike	選手	športnik	N	N;ACC;MASC;PL
しかし	toda	しかし	toda	CONJ	CONJ
しかし	ampak	しかし	ampak	CONJ	CONJ
しかし	vendar	しかし	vendar	CONJ	CONJ
大会	konvencija	大会	konvencija	N	N;NOM;FEM;SG
大会	konvencijo	大会	konvencija	N	N;ACC;FEM;SG
大会	konvencije	大会	konvencija	N	N;NOM;FEM;PL
チーム	ekip	チーム	ekipa	N	N;GEN;FEM;PL
チーム	ekipe	チーム	ekipa	N	N;NOM;FEM;PL
チーム	moštva	チーム	moštvo	N	N;NOM;NEUT;PL
チーム	ekipa	チーム	ekipa	N	N;NOM;FEM;SG
チーム	team	チーム	teama	N	N;NOM;MASC;SG
作詞	besedila	作詞	besedilo	N	N;NOM;NEUT;PL
作詞	besedilo	作詞	besedilo	N	N;NOM;NEUT;SG
所属	spadajo	所属	spadati	V	V;IPFV;IND;PL;3;PRS;FIN
結果	rezultat	結果	rezultat	N	N;NOM;MASC;SG
結果	izid	結果	izid	N	N;NOM;MASC;SG
結果	rezultati	結果	rezultat	N	N;NOM;MASC;PL
結果	izidi	結果	izid	N	N;NOM;MASC;PL
アルバム	album	アルバム	album	N	N;NOM;MASC;SG
アルバム	albuma	アルバム	album	N	N;GEN;MASC;SG
アルバム	albume	アルバム	album	N	N;ACC;MASC;PL
アルバム	albumov	アルバム	album	N	N;GEN;MASC;PL
ゲーム	igro	ゲーム	igra	N	N;ACC;FEM;SG
ゲーム	tekma	ゲーム	tekma	N	N;NOM;FEM;SG
ゲーム	tekmo	ゲーム	tekma	N	N;ACC;FEM;SG
ゲーム	igra	ゲーム	igra	N	N;NOM;FEM;SG
ゲーム	tekme	ゲーム	tekma	N	N;NOM;FEM;PL
ゲーム	igre	ゲーム	igra	N	N;NOM;FEM;PL
ゲーム	igrah	ゲーム	igra	N	N;ESS;FEM;PL
ゲーム	igrice	ゲーム	igrica	N	N;NOM;FEM;PL
ゲーム	iger	ゲーム	igra	N	N;GEN;FEM;PL
問題	izdaja	問題	izdajati	N	N;NOM;FEM;SG
問題	problem	問題	problem	N	N;NOM;MASC;SG
問題	težava	問題	težava	N	N;NOM;FEM;SG
問題	težavo	問題	težava	N	N;ACC;FEM;SG
問題	težave	問題	težava	N	N;NOM;FEM;PL
問題	problemi	問題	problem	N	N;NOM;MASC;PL
問題	težave	問題	težava	N	N;NOM;FEM;PL
問題	izdaj	問題	izdaja	N	N;GEN;FEM;PL
問題	vprašanja	問題	vprašanje	N	N;NOM;NEUT;PL
リーグ	league	リーグ	league	N	N;NOM;MASC;SG
リーグ	ligo	リーグ	liga	N	N;ACC;FEM;SG
リーグ	liga	リーグ	liga	N	N;NOM;FEM;SG
利用	odkupi	利用	odkupiti	V	V;PFV;IND;SG;3;PRS;FIN
事業	poslovanje	事業	poslovanje	N	N;NOM;NEUT;SG
事業	posel	事業	posel	N	N;NOM;MASC;SG
事業	posli	事業	posel	N	N;NOM;MASC;PL
音楽	glasba	音楽	glasba	N	N;NOM;FEM;SG
音楽	muzika	音楽	muzik	N	N;NOM;FEM;SG
音楽	glasbo	音楽	glasba	N	N;ACC;FEM;SG
情報	info	情報	info	N	N;NOM;MASC;SG
情報	informacije	情報	informacija	N	N;NOM;FEM;PL
情報	obveščanje	情報	obveščanje	N	N;NOM;NEUT;SG
情報	podatki	情報	podatek	N	N;NOM;MASC;PL
情報	informacija	情報	informacija	N	N;NOM;FEM;SG
情報	informacije	情報	informacija	N	N;NOM;FEM;PL
情報	podatek	情報	podatek	N	N;NOM;MASC;SG
公式	uradna	公式	uraden	ADJ	ADJ;NOM;FEM;SG
公式	uradni	公式	uraden	ADJ	ADJ;NOM;DEF;MASC;SG
地域	regije	地域	regija	N	N;NOM;FEM;PL
地域	regij	地域	regija	N	N;GEN;FEM;PL
地域	regiji	地域	regija	N	N;DAT;FEM;SG
地域	regija	地域	regija	N	N;NOM;FEM;SG
変更	spremeni	変更	spremeniti	V	V;PFV;IND;SG;3;PRS;FIN
変更	spremeni	変更	spremeniti	V	V;PFV;IND;SG;3;PRS;FIN
編曲	organizatorja	編曲	organizator	N	N;ACC;MASC;SG
編曲	dogovor	編曲	dogovor	N	N;NOM;MASC;SG
編曲	aranžma	編曲	aranž	N	N;NOM;MASC;SG
編曲	ureditev	編曲	ureditev	N	N;NOM;FEM;SG
編曲	razporeditev	編曲	razporeditev	N	N;NOM;FEM;SG
関係	odnosi	関係	odnos	N	N;NOM;MASC;PL
関係	razmerja	関係	razmerje	N	N;NOM;NEUT;PL
クラブ	klub	クラブ	klub	N	N;NOM;MASC;SG
クラブ	club	クラブ	club	N	N;NOM;MASC;SG
クラブ	klubi	クラブ	klub	N	N;NOM;MASC;PL
クラブ	klubov	クラブ	klub	N	N;GEN;MASC;PL
クラブ	klube	クラブ	klub	N	N;ACC;MASC;PL
クラブ	palice	クラブ	palica	N	N;NOM;FEM;PL
中央	središče	中央	središče	N	N;NOM;NEUT;SG
中央	center	中央	center	N	N;NOM;MASC;SG
中央	središče	中央	središče	N	N;NOM;NEUT;SG
中央	center	中央	center	N	N;NOM;MASC;SG
考え	misli	考える	misliti	V	V;IPFV;IND;SG;3;PRS;FIN
教育	izobrazba	教育	izobrazba	N	N;NOM;FEM;SG
教育	izobraževanja	教育	izobraževanje	N	N;GEN;NEUT;SG
教育	izobraževanje	教育	izobraževanje	N	N;NOM;NEUT;SG
プロ	pro	プロ	pro	N	N;NOM;MASC;SG
編集	spremeni	編集	spremeniti	V	V;PFV;IND;SG;3;PRS;FIN
シーズン	sezono	シーズン	sezona	N	N;ACC;FEM;SG
シーズン	sezona	シーズン	sezona	N	N;NOM;FEM;SG
シーズン	sezon	シーズン	sezona	N	N;GEN;FEM;PL
ファイル	datotek	ファイル	datoteka	N	N;GEN;FEM;PL
ファイル	datoteke	ファイル	datoteka	N	N;NOM;FEM;PL
ファイル	datoteka	ファイル	datoteka	N	N;NOM;FEM;SG
ファイル	datoteko	ファイル	datoteka	N	N;ACC;FEM;SG
都市	mesto	都市	mesto	N	N;NOM;NEUT;SG
都市	mestu	都市	mesto	N	N;DAT;NEUT;SG
都市	mest	都市	mesto	N	N;GEN;NEUT;PL
都市	mesta	都市	mesto	N	N;NOM;NEUT;PL
都市	mesti	都市	mesto	N	N;NOM;NEUT;PL
会社	družbo	会社	družba	N	N;ACC;FEM;SG
会社	četa	会社	ket	N	N;NOM;FEM;SG
会社	podjetje	会社	podjetje	N	N;NOM;NEUT;SG
会社	družba	会社	družba	N	N;NOM;FEM;SG
会社	podjetja	会社	podjetje	N	N;NOM;NEUT;PL
会社	družbe	会社	družba	N	N;NOM;FEM;PL
世紀	stoletja	世紀	stoletje	N	N;ACC;NEUT;PL
世紀	stoletje	世紀	stoletje	N	N;NOM;NEUT;SG
ノート	opomba	ノート	opomba	N	N;NOM;FEM;SG
ノート	zvezki	ノート	zvezek	N	N;NOM;MASC;PL
ノート	zvezke	ノート	zvezek	N	N;ACC;MASC;PL
ノート	opombe	ノート	opomba	N	N;NOM;FEM;PL
ノート	opombi	ノート	opomba	N	N;NOM;FEM;SG
ノート	zapiski	ノート	zapisk	N	N;NOM;MASC;PL
ノート	zvezek	ノート	zvezek	N	N;NOM;MASC;SG
社会	družbo	社会	družba	N	N;ACC;FEM;SG
社会	društvo	社会	društvo	N	N;NOM;NEUT;SG
社会	družba	社会	družba	N	N;NOM;FEM;SG
社会	družbe	社会	družba	N	N;NOM;FEM;PL
社会	društva	社会	društvo	N	N;NOM;NEUT;PL
開催	držal	開催	držati	V	V;IPFV;MASC;SG;V.PTCP
開催	potekala	開催	potekati	V	V;IPFV;FEM;SG;V.PTCP
シングル	single	シングル	singla	N	N;NOM;MASC;SG
センター	središče	センター	središče	N	N;NOM;NEUT;SG
センター	center	センター	center	N	N;NOM;MASC;SG
センター	središče	センター	središče	N	N;NOM;NEUT;SG
センター	center	センター	center	N	N;NOM;MASC;SG
終了	nehal	終了	nehati	V	V;PFV;MASC;SG;V.PTCP
終了	končala	終了	končati	V	V;PFV;FEM;SG;V.PTCP
中心	središče	中心	središče	N	N;NOM;NEUT;SG
中心	center	中心	center	N	N;NOM;MASC;SG
中心	središče	中心	središče	N	N;NOM;NEUT;SG
中心	center	中心	center	N	N;NOM;MASC;SG
内容	vsebnost	内容	vsebnost	N	N;NOM;FEM;SG
内容	vsebina	内容	vsebina	N	N;NOM;FEM;SG
内容	vsebine	内容	vsebina	N	N;NOM;FEM;PL
内容	vsebina	内容	vsebina	N	N;NOM;FEM;SG
内容	vsebine	内容	vsebina	N	N;NOM;FEM;PL
文化	kulture	文化	kultura	N	N;NOM;FEM;PL
文化	kulturo	文化	kultura	N	N;ACC;FEM;SG
文化	kultura	文化	kultura	N	N;NOM;FEM;SG
ドラマ	drama	ドラマ	drama	N	N;NOM;FEM;SG
ドラマ	drame	ドラマ	drama	N	N;NOM;FEM;PL
ドラマ	dramo	ドラマ	drama	N	N;ACC;FEM;SG
ドラマ	drame	ドラマ	drama	N	N;NOM;FEM;PL
選手権	prvenstvo	選手権	prvenstvo	N	N;NOM;NEUT;SG
野球	baseball	野球	basebalel	N	N;NOM;MASC;SG
指定	navesti	指定	navesti	V	V;PFV;NFIN
指定	določite	指定	določiti	V	V;PFV;IMP;PL;2;FIN
卒業	diplomiral	卒業	diplomirati	V	V;MASC;SG;V.PTCP
卒業	diplomirala	卒業	diplomirati	V	V;FEM;SG;V.PTCP
人物	oseba	人物	oseba	N	N;NOM;FEM;SG
人物	osebi	人物	oseba	N	N;NOM;FEM;DU
人物	osebo	人物	oseba	N	N;ACC;FEM;SG
確認	potrdi	確認	potrd	V	V;PFV;IND;SG;3;PRS;FIN
歴史	zgodovina	歴史	zgodovina	N	N;NOM;FEM;SG
歴史	zgodovino	歴史	zgodovina	N	N;ACC;FEM;SG
選挙	izvolitev	選挙	izvolitev	N	N;NOM;FEM;SG
選挙	volitve	選挙	volitev	N	N;NOM;FEM;PL
選挙	volitve	選挙	volitev	N	N;NOM;FEM;PL
計画	načrtovanje	計画	načrtovanje	N	N;NOM;NEUT;SG
計画	načrt	計画	načrt	N	N;NOM;MASC;SG
計画	plan	計画	plan	N	N;NOM;MASC;SG
計画	načrte	計画	načrt	N	N;ACC;MASC;PL
計画	načrti	計画	načrt	N	N;NOM;MASC;PL
経済	gospodarstva	経済	gospodarstvo	N	N;GEN;NEUT;SG
経済	ekonomija	経済	ekonomija	N	N;NOM;FEM;SG
経済	gospodarstvo	経済	gospodarstvo	N	N;NOM;NEUT;SG
ページ	stran	ページ	stran	N	N;NOM;FEM;SG
ページ	strani	ページ	stran	N	N;NOM;FEM;PL
教授	profesorica	教授	profesorica	N	N;NOM;FEM;SG
教授	profesor	教授	profesor	N	N;NOM;MASC;SG
教授	profesorja	教授	profesor	N	N;ANIM;ACC;MASC;SG
ラジオ	radia	ラジオ	radio	N	N;GEN;MASC;SG
ラジオ	radio	ラジオ	radio	N	N;NOM;MASC;SG
劇場	gledališče	劇場	gledališče	N	N;NOM;NEUT;SG
劇場	gledališče	劇場	gledališče	N	N;NOM;NEUT;SG
グループ	skupino	グループ	skupina	N	N;ACC;FEM;SG
グループ	skupina	グループ	skupina	N	N;NOM;FEM;SG
