die	el	die	el	DET;DEF	DET;DEF;MASC;SG
het	ha	het	haber	V;PRS	V;IND;SG;3;PRS;FIN
met	con	met	con	ADP	ADP
was	fue	is	ser	V;PST;FIN	V;IND;SG;3;PST;FIN
was	fueron	is	ser	V;PST;FIN	V;IND;PL;3;PST;FIN
vir	para	vir	para	ADP	ADP
ook	igualmente	ook	igualmente	ADV	ADV
ook	además	ook	además	ADV	ADV
ook	también	ook	también	ADV	ADV
dat	que	dat	que	CONJ	CONJ
hulle	ellas	hulle	él	PRO;PL;3	PRO;FEM;PL;3
hulle	ellos	hulle	él	PRO;PL;3	PRO;MASC;PL;3
jaar	año	jaar	año	N;SG	N;MASC;SG
eerste	primera	eerste	primero	ADJ;NOM	ADJ;FEM;SG
eerste	primeras	eerste	primero	ADJ;NOM	ADJ;FEM;PL
eerste	primer	eerste	primero	ADJ;NOM	ADJ;MASC;SG
eerste	primeros	eerste	primero	ADJ;NOM	ADJ;MASC;PL
maar	sino	maar	sino	CONJ	CONJ
maar	pero	maar	pero	CONJ	CONJ
ander	otras	ander	otro	PRO	PRO;FEM;PL
ander	otro	ander	otro	PRO	PRO;MASC;SG
ander	otros	ander	otro	PRO	PRO;MASC;PL
soos	como	soos	como	CONJ	CONJ
oor	sobre	oor	sobre	ADP	ADP
gebruik	usar	gebruik	usar	V;PRS	V;NFIN
gebruik	utilizar	gebruik	utilizar	V;PRS	V;NFIN
afrikaanse	africanos	afrikaans	africano	N;PL	N;MASC;PL
twee	dos	twee	dos	NUM	NUM;PL
tussen	entre	tussen	entre	ADP	ADP
gemeente	congregación	gemeent	congregación	N;SG	N;FEM;SG
gemeente	ensamblaje	gemeent	ensamblaje	N;SG	N;MASC;SG
gemeente	asamblea	gemeent	asamblea	N;SG	N;FEM;SG
gemeente	montaje	gemeent	montaje	N;SG	N;MASC;SG
begin	empezar	begin	empezar	V;PRS	V;NFIN
waar	donde	waar	donde	PRO	PRO
haar	ella	haar	él	PRO;ACC;SG;3	PRO;FEM;SG;3
sien	viendo	sien	ver	V;PRS	V;V.MSDR
sien	véase	sien	véase	V;PRS	V;SBJV;SG;3;PRS;FIN
sien	ver	sien	ver	V;PRS	V;NFIN
sien	vea	sien	ver	V;PRS	V;IMP;SG;3;FIN
nuwe	nuevas	nuut	nuevo	ADJ;NOM	ADJ;FEM;PL
nuwe	nuevos	nuut	nuevo	ADJ;NOM	ADJ;MASC;PL
nuwe	nuevo	nuut	nuevo	ADJ;NOM	ADJ;MASC;SG
nuwe	nueva	nuut	nuevo	ADJ;NOM	ADJ;FEM;SG
hom	él	hom	él	PRO;NOM;SG;3	PRO;MASC;SG;3
stad	ciudad	stad	ciudad	N;SG	N;FEM;SG
land	pais	land	pais	N;SG	N;MASC;SG
land	país	land	país	N;SG	N;MASC;SG
skakels	acoplamientos	skakel	acoplamiento	N;PL	N;MASC;PL
skakels	vínculos	skakel	vínculo	N;PL	N;MASC;PL
skakels	enlaces	skakel	enlace	N;PL	N;MASC;PL
skakels	links	skakel	link	N;PL	N;MASC;PL
later	posteriormente	laat	posteriormente	ADV;CMPR	ADV
later	después	laat	después	ADV;CMPR	ADV
nog	más	nog	más	ADV	ADV
nog	mas	nog	mas	ADV	ADV
net	únicamente	net	únicamente	ADV	ADV
net	solo	net	solo	ADV	ADV
net	sólo	net	sólo	ADV	ADV
net	solamente	net	solamente	ADV	ADV
net	solo	net	solo	ADV	ADV
net	simplemente	net	simplemente	ADV	ADV
net	sólo	net	sólo	ADV	ADV
tydens	durante	tydens	durante	ADP	ADP
naam	nombre	naam	nombre	N;SG	N;MASC;SG
naam	name	naam	name	N;SG	N
naam	denominación	naam	denominación	N;SG	N;FEM;SG
deel	compartan	deel	compartir	V;PRS	V;IMP;PL;3;FIN
deel	comparte	deel	compartir	V;PRS	V;IND;SG;3;PRS;FIN
deel	compartir	deel	compartir	V;PRS	V;NFIN
deel	comparta	deel	compartir	V;PRS	V;IMP;SG;3;FIN
drie	tres	drie	tres	NUM	NUM;PL
kon	podrían	kan	poder	V;PST;FIN	V;COND;PL;3;FIN
kon	podría	kan	poder	V;PST;FIN	V;COND;SG;3;FIN
mense	personas	mens	persona	N;PL	N;FEM;PL
bestaan	existir	bestaan	existir	V;PRS	V;NFIN
bestaan	existo	bestaan	existir	V;PRS	V;IND;SG;1;PRS;FIN
bestaan	existen	bestaan	existir	V;PRS	V;IND;PL;3;PRS;FIN
bestaan	existe	bestaan	existir	V;PRS	V;IND;SG;3;PRS;FIN
svg	svg	svg	svg	N;SG	N;MASC;SG
nasionale	nacionales	nasionaal	nacional	ADJ;NOM	ADJ;PL
nasionale	national	nasionaal	national	ADJ;NOM	ADJ;SG
nasionale	nacional	nasionaal	nacional	ADJ;NOM	ADJ;SG
maak	hacer	maak	hacer	V;PRS	V;NFIN
kom	ven	kom	ver	V;PRS	V;IND;PL;3;PRS;FIN
kom	venid	kom	venir	V;PRS	V;IND;PL;2;PRS;FIN
kom	venga	kom	venir	V;PRS	V;SBJV;SG;3;PRS;FIN
kom	vengan	kom	venir	V;PRS	V;IMP;PL;3;FIN
vanaf	de	vanaf	de	ADP	ADP
vanaf	desde	vanaf	desde	ADP	ADP
terwyl	mientras	terwyl	mientras	CONJ	CONJ
veral	especialmente	veral	especialmente	ADV	ADV
werk	trabaje	werk	trabaje	V;PRS	V;SBJV;SG;3;PRS;FIN
werk	trabajar	werk	trabajar	V;PRS	V;NFIN
klein	peque	klein	peque		
hier	aquí	hier	aquí	ADV	ADV
hier	acá	hier	acá	ADV	ADV
tyd	hora	tyd	hora	N;SG	N;FEM;SG
tyd	tiempo	tyd	tiempo	N;SG	N;MASC;SG
tyd	time	tyd	time	N;SG	N
vlag	flag	vlag	flag	N;SG	N;SG
vlag	bandera	vlag	bandera	N;SG	N;FEM;SG
verenigde	unidos	verenig	unido	ADJ;NOM	ADJ;MASC;PL;V.PTCP
verenigde	unido	verenig	unido	ADJ;NOM	ADJ;MASC;SG;V.PTCP
verenigde	unida	verenig	unido	ADJ;NOM	ADJ;FEM;SG;V.PTCP
mei	may	mei	maber		
gereformeerde	reformado	reformeer	reformado	ADJ;NOM	ADJ;MASC;SG;V.PTCP
gereformeerde	reformada	reformeer	reformado	ADJ;NOM	ADJ;FEM;SG;V.PTCP
genoem	mencionó	noem	mencionar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
dan	luego	dan	luego	ADV	ADV
dan	entonces	dan	entonces	ADV	ADV
bevolking	población	bevolking	población	N;SG	N;FEM;SG
gebou	construyendo	bou	construir	V;PST;V.PTCP	V;V.MSDR
jare	años	jaar	año	N;PL	N;MASC;PL
jare	anos	jaar	ano	N;PL	N;MASC;PL
junie	jun	junie	jun		
amerikaanse	americano	amerikaans	americano	ADJ;NOM	ADJ;MASC;SG
amerikaanse	estadounidense	amerikaans	estadounidense	ADJ;NOM	ADJ;SG
amerikaanse	americana	amerikaans	americana	ADJ;NOM	ADJ;FEM;SG
slegs	únicamente	slegs	únicamente	ADV	ADV
slegs	solo	slegs	solo	ADV	ADV
slegs	sólo	slegs	sólo	ADV	ADV
slegs	solamente	slegs	solamente	ADV	ADV
slegs	solo	slegs	solo	ADV	ADV
slegs	simplemente	slegs	simplemente	ADV	ADV
slegs	sólo	slegs	sólo	ADV	ADV
gestig	fundó	stig	fundar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
sedert	desde	sedert	desde	ADP	ADP
reeds	ya	reeds	ya	ADV	ADV
engels	ingles	engels	ingle		
nou	ahora	nou	ahora	ADV	ADV
provinsie	provincia	provinsie	provincia	N;SG	N;FEM;SG
provinsie	condado	provinsie	condado	N;SG	N;MASC;SG
provinsie	state	provinsie	state	N;SG	N
provinsie	estado	provinsie	estado	N;SG	N;MASC;SG
universiteit	universitario	universiteit	universitario	N;SG	N;MASC;SG
universiteit	universidad	universiteit	universidad	N;SG	N;FEM;SG
beskou	consideren	beskou	considerar	V;PRS	V;IMP;PL;3;FIN
beskou	considerar	beskou	considerar	V;PRS	V;NFIN
beskou	considere	beskou	considerar	V;PRS	V;SBJV;SG;3;FIN
beskou	consideremos	beskou	considerar	V;PRS	V;IMP;PL;1;FIN
