per	para	per	para	ADP	ADP
con	con	con	con	ADP	ADP
una	una	uno	uno	DET;INDF;FEM;SG	DET;INDF;FEM;SG
non	no	non	no	ADV	ADV;NEG
sono	son	essere	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
più	más	più	más	ADV	ADV
più	mas	più	mas	ADV	ADV
anche	incluso	anche	incluso	ADV	ADV
anche	aun	anche	aun	ADV	ADV
anche	igualmente	anche	igualmente	ADV	ADV
anche	además	anche	además	ADV	ADV
anche	también	anche	también	ADV	ADV
team	equipo	team	equipo	N;MASC	N;MASC;SG
team	team	team	team	N;MASC	N
due	dos	due	dos	NUM	NUM;PL
tra	entre	tra	entre	ADP	ADP
tra	entre	tra	entre	ADP	ADP
era	era	essere	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
suo	su	suo	su	DET;MASC;SG	DET;SG;3
dopo	después	dopo	después	ADV	ADV
dopo	posteriormente	dopo	posteriormente	ADV	ADV
dopo	después	dopo	después	ADV	ADV
prima	antes	prima	antes	ADV	ADV
prima	primero	prima	primero	ADV	ADV
parte	part	parte	part	N;FEM;SG	N
parte	parte	parte	parte	N;FEM;SG	N;FEM;SG
altri	otras	altro	otro	PRO;MASC;PL	PRO;FEM;PL
altri	otros	altro	otro	PRO;MASC;PL	PRO;MASC;PL
altri	otras	altro	otro	PRO;MASC;PL	PRO;FEM;PL
altri	otros	altro	otro	PRO;MASC;PL	PRO;MASC;PL
bar	barra	bar	barra	N;MASC	N;FEM;SG
bar	bar	bar	bar	N;MASC	N;MASC;SG
bar	bares	bar	bar	N;MASC	N;MASC;PL
cest	cest	cest	cest	N;SG	N
anni	anni	anno	anni	N;MASC;PL	N
anni	años	anno	año	N;MASC;PL	N;MASC;PL
anni	anos	anno	ano	N;MASC;PL	N;MASC;PL
italiano	italiana	italiano	italiano	ADJ;MASC;SG	ADJ;FEM;SG
essere	siendo	essere	ser	V;NFIN	V;V.MSDR
essere	ser	essere	ser	V;NFIN	V;NFIN
esterni	externos	esterno	externo	ADJ;MASC;PL	ADJ;MASC;PL
esterni	exteriores	esterno	exterior	ADJ;MASC;PL	ADJ;PL
collegamenti	conexiones	collegamento	conexión	N;MASC;PL	N;FEM;PL
collegamenti	acoplamientos	collegamento	acoplamiento	N;MASC;PL	N;MASC;PL
collegamenti	vínculos	collegamento	vínculo	N;MASC;PL	N;MASC;PL
collegamenti	enlaces	collegamento	enlace	N;MASC;PL	N;MASC;PL
collegamenti	links	collegamento	link	N;MASC;PL	N;MASC;PL
serie	serie	serie	serie	N;FEM	N;FEM;SG
serie	series	serie	serie	N;FEM	N;FEM;PL
serie	serie	serie	serie	N;FEM	N;FEM;SG
viene	viene	venire	venir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
film	films	film	film	N;MASC	N;MASC;PL
film	peliculas	film	pelicula	N;MASC	N;FEM;PL
film	cine	film	cine	N;MASC	N;MASC;SG
film	películas	film	película	N;MASC	N;FEM;PL
film	peliculas	film	pelicula	N;MASC	N;FEM;PL
film	cine	film	cine	N;MASC	N;MASC;SG
film	películas	film	película	N;MASC	N;FEM;PL
film	pelicula	film	pelicula	N;MASC	N;FEM;SG
film	cine	film	cine	N;MASC	N;MASC;SG
film	película	film	película	N;MASC	N;FEM;SG
film	film	film	film	N;MASC	N;MASC;SG
