une	una	un	uno	DET;INDF;FEM;SG	DET;INDF;FEM;SG
catégorie	categoria	catégorie	categoria	N;FEM;SG	N;FEM;SG
catégorie	categoría	catégorie	categoría	N;FEM;SG	N;FEM;SG
pour	para	pour	para	ADP	ADP
qui	quien	qui	quien	PRO	PRO;SG
que	que	que	que	CONJ	CONJ
avec	con	avec	con	ADP	ADP
son	su	son	su	DET;MASC;SG	DET;SG;3
son	su	son	su	DET;MASC;SG	DET;SG;3
plus	además	plus	además	ADV	ADV
plus	más	plus	más	ADV	ADV
plus	mas	plus	mas	ADV	ADV
pas	no	pas	no	ADV;NEG	ADV;NEG
sont	son	être	ser	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
elle	ella	elle	él	PRO;FEM;SG;3	PRO;FEM;SG;3
avancement	adelanto	avancement	adelanto	N;MASC;SG	N;MASC;SG
avancement	avance	avancement	avance	N;MASC;SG	N;MASC;SG
avancement	progress	avancement	progress	N;MASC;SG	N
avancement	progreso	avancement	progreso	N;MASC;SG	N;MASC;SG
mais	sino	mais	sino	CONJ	CONJ
mais	pero	mais	pero	CONJ	CONJ
pop	pop	pop	pop	N;FEM;SG	N
deux	dos	deux	dos	NUM	NUM;PL
ses	sus	son	su	DET;MASC;PL	DET;PL;3
ses	sus	son	su	DET;MASC;PL	DET;PL;3
naissance	born	naissance	born	N;FEM;SG	N
naissance	natalidad	naissance	natalidad	N;FEM;SG	N;FEM;SG
naissance	nacimiento	naissance	nacimiento	N;FEM;SG	N;MASC;SG
naissance	parto	naissance	parto	N;FEM;SG	N;MASC;SG
aussi	igualmente	aussi	igualmente	ADV	ADV
aussi	además	aussi	además	ADV	ADV
aussi	también	aussi	también	ADV	ADV
france	france	france	france	N;FEM;SG	N;FEM;SG
après	tras	après	tras	ADP	ADP
notes	apuntes	note	apunte	N;FEM;PL	N;MASC;PL
notes	notas	note	nota	N;FEM;PL	N;FEM;PL
notes	notes	note	note	N;FEM;PL	N
entre	entre	entre	entre	ADP	ADP
sous	bajo	sous	bajo	ADP	ADP
même	incluso	même	incluso	ADV	ADV
même	aun	même	aun	ADV	ADV
même	igual	même	igual	ADV	ADV
être	siendo	être	ser	V;NFIN	V;V.MSDR
être	ser	être	ser	V;NFIN	V;NFIN
nom	apellido	nom	apellido	N;MASC;SG	N;MASC;SG
nom	nombre	nom	nombre	N;MASC;SG	N;MASC;SG
nom	name	nom	name	N;MASC;SG	N
nom	denominación	nom	denominación	N;MASC;SG	N;FEM;SG
français	francesa	français	francés	ADJ;MASC;SG	ADJ;FEM;SG
ont	han	avoir	haber	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
lui	él	lui	él	PRO;SG;3	PRO;MASC;SG;3
lieu	lugar	lieu	lugar	N;MASC;SG	N;MASC;SG
lieu	lugar	lieu	lugar	N;MASC;SG	N;MASC;SG
lieu	place	lieu	place	N;MASC;SG	N
lieu	lugar	lieu	lugar	N;MASC;SG	N;MASC;SG
lieu	ubicacion	lieu	ubicacion	N;MASC;SG	N;FEM;SG
lieu	ubicación	lieu	ubicación	N;MASC;SG	N;FEM;SG
lieu	emplazamiento	lieu	emplazamiento	N;MASC;SG	N;MASC;SG
lieu	localización	lieu	localización	N;MASC;SG	N;FEM;SG
cet	este	ce	este	PRO;SG;3	PRO;MASC;SG
cet	esto	ce	este	PRO;SG;3	PRO;SG
cet	esta	ce	este	PRO;SG;3	PRO;FEM;SG
autres	otras	autre	otro	PRO;PL	PRO;FEM;PL
autres	otros	autre	otro	PRO;PL	PRO;MASC;PL
autres	otras	autre	otro	PRO;PL	PRO;FEM;PL
autres	otros	autre	otro	PRO;PL	PRO;MASC;PL
décès	fallecimiento	décès	fallecimiento	N;MASC;SG	N;MASC;SG
décès	death	décès	death	N;MASC;SG	N
décès	muerte	décès	muerte	N;MASC;SG	N;FEM;SG
décès	defunción	décès	defunción	N;MASC;SG	N;FEM;SG
références	referencias	référence	referencia	N;FEM;PL	N;FEM;PL
liens	acoplamientos	lien	acoplamiento	N;MASC;PL	N;MASC;PL
liens	vínculos	lien	vínculo	N;MASC;PL	N;MASC;PL
liens	enlaces	lien	enlace	N;MASC;PL	N;MASC;PL
liens	links	lien	link	N;MASC;PL	N;MASC;PL
était	era	être	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
commune	comuna	commune	comuna	N;FEM;SG	N;FEM;SG
commune	common	commune	common	N;FEM;SG	N
ville	pueblo	ville	pueblo	N;FEM;SG	N;MASC;SG
ville	ciudad	ville	ciudad	N;FEM;SG	N;FEM;SG
ville	ciudad	ville	ciudad	N;FEM;SG	N;FEM;SG
date	cita	date	cita	N;FEM;SG	N;FEM;SG
date	fecha	date	fecha	N;FEM;SG	N;FEM;SG
peut	puede	pouvoir	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
depuis	desde	depuis	desde	ADP	ADP
depuis	de	depuis	de	ADP	ADP
depuis	desde	depuis	desde	ADP	ADP
première	primera	premier	primero	ADJ;FEM;SG	ADJ;FEM;SG
première	primer	premier	primero	ADJ;FEM;SG	ADJ;MASC;SG
ans	años	an	año	N;MASC;PL	N;MASC;PL
ans	anos	an	ano	N;MASC;PL	N;MASC;PL
alors	luego	alors	luego	ADV	ADV
alors	entonces	alors	entonces	ADV	ADV
externes	externos	externe	externo	ADJ;MASC;PL	ADJ;MASC;PL
site	website	site	website	N;MASC;SG	N;MASC;SG
site	web	site	web	N;MASC;SG	N;FEM;SG
site	sitio	site	sitio	N;MASC;SG	N;MASC;SG
site	sitio	site	sitio	N;MASC;SG	N;MASC;SG
site	site	site	sitir	N;MASC;SG	N;MASC;SG
premier	primera	premier	primero	ADJ;MASC;SG	ADJ;FEM;SG
premier	primer	premier	primero	ADJ;MASC;SG	ADJ;MASC;SG
ces	éstas	ce	este	PRO;PL;3	PRO;FEM;PL
ces	estos	ce	este	PRO;PL;3	PRO;MASC;PL
ces	estas	ce	este	PRO;PL;3	PRO;FEM;PL
ces	éstos	ce	este	PRO;PL;3	PRO;MASC;PL
fut	fue	être	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
http	http	http	http	N;MASC;SG	N
film	pelicula	film	pelicula	N;MASC;SG	N;FEM;SG
film	cine	film	cine	N;MASC;SG	N;MASC;SG
film	movie	film	movie	N;MASC;SG	N;SG
film	película	film	película	N;MASC;SG	N;FEM;SG
film	pelicula	film	pelicula	N;MASC;SG	N;FEM;SG
film	cine	film	cine	N;MASC;SG	N;MASC;SG
film	película	film	película	N;MASC;SG	N;FEM;SG
film	film	film	film	N;MASC;SG	N;MASC;SG
voir	véase	voir	véase	V;NFIN	V;SBJV;SG;3;PRS;FIN
voir	ver	voir	ver	V;NFIN	V;NFIN
voir	vea	voir	ver	V;NFIN	V;IMP;SG;3;FIN
