dari	từ	dari	từ	ADP	ADP
dengan	với	dengan	với	ADP	ADP
dengan	bằng	dengan	bằng	ADP	ADP
tahun	năm	tahun	năm	N;SG	N
tahun	năm	tahun	năm	N;SG	N
bagian	phần	bagian	phần	N;SG	N
bagian	phần	bagian	phần	N;SG	N
bagian	phần	bagian	phần	N;SG	N
spesies	loài	spesies	loài	N;SG	N
orang	người	orang	người	N;SG	N
orang	người	orang	người	N;SG	N
satu	một	satu	một	NUM	NUM
memiliki	có	menmiliki	có	V;SG;ACT	V
kota	phố	kota	phố	N;SG	N
kota	phố	kota	phố	N;SG	N
kota	kota	kota	kota	N;SG	N
pranala	link	pranala	link	N;SG	N
pranala	xích	pranala	xích	N;SG	N
desa	làng	desa	làng	N;SG	N
desa	làng	desa	làng	N;SG	N
nama	tên	nama	tên	N;SG	N
nama	tên	nama	tên	N;SG	N
kayu	gỗ	kayu	gỗ	N;SG	N
kayu	củi	kayu	củi	N;SG	N
bahasa	ngữ	bahasa	ngữ	N;SG	N
lain	khác	lain	khác	ADJ;SG	ADJ
lain	khác	lain	khác	ADJ;SG	ADJ
besar	lớn	besar	lớn	ADJ;SG	ADJ
besar	lớn	besar	lớn	ADJ;SG	ADJ
besar	to	besar	to	ADJ;SG	ADJ
besar	tuyệt	besar	tuyệt	ADJ;SG	ADJ
film	film	film	film	N;SG	N
saat	khi	saat	khi	N;SG	N
kelas	hạng	kelas	hạng	N;SG	N
kelas	hạng	kelas	hạng	N;SG	N
kelas	lớp	kelas	lớp	N;SG	N
kecamatan	huyện	kecamatan	huyện	N;SG	N
salah	lỗi	salah	lỗi	N;SG	N
salah	salah	salah	salah	N;SG	N
negara	kỳ	negara	kỳ	N;SG	N
negara	quốc	negara	quốc	N;SG	N
kabupaten	quận	kabupaten	quận	N;SG	N
kabupaten	hạt	kabupaten	hạt	N;SG	N
kabupaten	huyện	kabupaten	huyện	N;SG	N
kumbang	bọ	kumbang	bọ	N	N
kumbang	beetle	kumbang	beetle	N	N
lalat	ruồi	lalat	ruồi	N;SG	N
lalat	ruồi	lalat	ruồi	N;SG	N
daftar	danh	daftar	danh	N;SG	N
antara	giữa	antara	giữa	ADP	ADP
barat	tây	barat	tây	N;SG	N
barat	tây	barat	tây	N;SG	N
wilayah	vực	wilayah	vực	N;SG	N
wilayah	vùng	wilayah	vùng	N;SG	N
wilayah	tần	wilayah	tần	N;SG	N
wilayah	vùng	wilayah	vùng	N;SG	N
wilayah	vùng	wilayah	vùng	N;SG	N
tanggal	ngày	tanggal	ngày	N;SG;ACT	N
tanggal	ngày	tanggal	ngày	N;SG;ACT	N
dunia	giới	dunia	giới	N;SG	N
timur	timur	timur	timur	N;SG	N
tempat	nơi	tempat	nơi	N;SG	N
tempat	chỗ	tempat	chỗ	N;SG	N
dua	hai	dua	hai	NUM	NUM
dua	two	dua	two	NUM	NUM
selatan	nam	selatan	nam	N;SG	N
filum	phylum	filum	phylum	N;SG	N
anak	trai	anak	trai	N;SG	N
anak	nhi	anak	nhi	N;SG	N
anak	son	anak	son	N;SG	N
anak	con	anak	con	N;SG	N
species	loài	species	loài	N	N
hidup	đời	hidup	đời	N;SG	N
daerah	vùng	daerah	vùng	N;SG	N
daerah	huyện	daerah	huyện	N;SG	N
daerah	vực	daerah	vực	N;SG	N
daerah	vùng	daerah	vùng	N;SG	N
daerah	tần	daerah	tần	N;SG	N
daerah	vùng	daerah	vùng	N;SG	N
daerah	quận	daerah	quận	N;SG	N
daerah	hạt	daerah	hạt	N;SG	N
daerah	phần	daerah	phần	N;SG	N
sekolah	trường	sekolah	trường	N;SG	N
sekolah	trường	sekolah	trường	N;SG	N
air	nước	air	nước	N;SG	N
air	waters	air	waters	N;SG	N
air	khí	air	khí	N;SG	N
terletak	nằm	terletak	nằm	V;SG;PASS	V
terletak	nằm	terletak	nằm	V;SG;PASS	V
hari	ngày	hari	ngày	N;SG	N
hari	ngày	hari	ngày	N;SG	N
digunakan	phơi	digunakan	phơi	V;SG;PASS	V
kali	gian	kali	gian	N;SG	N
kali	thời	kali	thời	N;SG	N
kali	lần	kali	lần	N;SG	N
album	album	album	album	N;SG	N
album	album	album	album	N;SG	N
album	albums	album	albums	N;SG	N
hal	điều	hal	điều	N;SG	N
hal	thứ	hal	thứ	N;SG	N
hal	đồ	hal	đồ	N;SG	N
hal	điều	hal	điều	N;SG	N
panjang	lâu	panjang	lâu	ADJ;SG	ADJ
panjang	dài	panjang	dài	ADJ;SG	ADJ
menggunakan	dùng	mengunakan	dùng	V;SG;ACT	V
menyebabkan	gây	mensebabkan	gây	V;SG;ACT	V
lihat	xem	lihat	xem	V;SG;ACT	V
lihat	xem	lihat	xem	V;SG;ACT	V
lihat	nhìn	lihat	nhìn	V;SG;ACT	V
lihat	xem	lihat	xem	V;SG;ACT	V
lihat	view	lihat	view	V;SG;ACT	V
