inuti	درون	inuti	درون	N;NOM;INDF;MASC+FEM;SG	N;SG
generationen	نسل	generation	نسل	N;NOM;DEF;MASC+FEM;SG	N;SG
krona	سر	krona	سر	N;NOM;INDF;MASC+FEM;SG	N;SG
krona	کرون	krona	کرون	N;NOM;INDF;MASC+FEM;SG	N;SG
krona	کراون	krona	کراون	N;NOM;INDF;MASC+FEM;SG	N;SG
krona	تاج	krona	تاج	N;NOM;INDF;MASC+FEM;SG	N;SG
delaware	دلاور	delaware	دلاور	N;NOM;INDF;MASC+FEM;SG	N;SG
delaware	دلاویر	delaware	دلاویر	N;NOM;INDF;MASC+FEM;SG	N;SG
hämta	شو	hämta	None	V;IMP;FIN;ACT	V;IMP;SG;2
träning	آموزش	träning	آموزش	N;NOM;INDF;MASC+FEM;SG	N;SG
träning	تمرین	träning	تمرین	N;NOM;INDF;MASC+FEM;SG	N;SG
träning	تعلیم	träning	تعلیم	N;NOM;INDF;MASC+FEM;SG	N;SG
träning	اموزش	träning	اموزش	N;NOM;INDF;MASC+FEM;SG	N;SG
träning	fitness	träning	fitness	N;NOM;INDF;MASC+FEM;SG	N;SG
regn	باران	regn	باران	N;NOM;INDF;NEUT;SG	N;SG
regn	بارانی	regn	بارانی	N;NOM;INDF;NEUT;SG	N;SG
regn	بارون	regn	بارون	N;NOM;INDF;NEUT;SG	N;SG
uri	اوری	uri	اور	N;NOM;INDF;MASC+FEM;SG	N;SG
uri	uri	uri	uri	N;NOM;INDF;MASC+FEM;SG	N;SG
prov	نمونه	prov	نمونه	N;NOM;INDF;NEUT;SG	N;SG
årsjubileum	سالگرد	årsjubileum	سالگرد	N;NOM;INDF;NEUT;SG	N;SG
hörn	گوشه	hörn	گوشه	N;NOM;INDF;NEUT;SG	N;SG
ansiktet	چهره	ansikt	چهره	N;NOM;DEF;NEUT;SG	N;SG
ansiktet	صورت	ansikt	صورت	N;NOM;DEF;NEUT;SG	N;SG
ansiktet	face	ansikt	face	N;NOM;DEF;NEUT;SG	N;SG
money	پول	money	پول	N;NOM;INDF;MASC+FEM;SG	N;SG
money	پولی	money	پولی	N;NOM;INDF;MASC+FEM;SG	N;SG
pressen	پرس	press	پرس	N;NOM;DEF;MASC+FEM;SG	N;SG
pressen	فشار	press	فشار	N;NOM;DEF;MASC+FEM;SG	N;SG
teckning	ترسیم	teckning	ترسیم	N;NOM;INDF;MASC+FEM;SG	N;SG
