yang	que	yang	que	PRO	PRO;MASC;SG
dari	de	dari	de	ADP	ADP
ini	este	ini	este	DET	DET;MASC;SG
ini	esse	ini	esse	DET	DET;MASC;SG
dengan	com	dengan	com	ADP	ADP
adalah	são	adalah	ser	V	V;IND;PL;3;PRS;FIN
adalah	estão	adalah	estar	V	V;IND;PL;3;PRS;FIN
untuk	por	untuk	por	ADP	ADP
untuk	para	untuk	para	ADP	ADP
tahun	years	tahun	years	N;SG	N;MASC;SG
tahun	ano	tahun	ano	N;SG	N;MASC;SG
juga	igualmente	juga	igualmente	ADV	ADV
juga	também	juga	também	ADV	ADV
bagian	seção	bagian	seção	N;SG	N;FEM;SG
bagian	secção	bagian	secção	N;SG	N;FEM;SG
bagian	part	bagian	part	N;SG	N;MASC;SG
bagian	parte	bagian	parte	N;SG	N;FEM;SG
spesies	espécie	spesies	espécie	N;SG	N;FEM;SG
orang	pessoa	orang	pessoa	N;SG	N;FEM;SG
orang	povo	orang	povo	N;SG	N;MASC;SG
orang	gente	orang	gente	N;SG	N;FEM;SG
mereka	eles	mereka	eles	PRO;PL;3	PRO;NOM;MASC;PL;3
mereka	eles	mereka	eles	PRO;PL;3	PRO;NOM;MASC;PL;3
mereka	elas	mereka	ele	PRO;PL;3	PRO;NOM;FEM;PL;3
satu	um	satu	um	NUM	NUM
satu	uma	satu	um	NUM	NUM
memiliki	tem	menmiliki	ter	V;SG;ACT	V;IND;SG;3;PRS;FIN
memiliki	tenha	menmiliki	ter	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
memiliki	ter	menmiliki	ter	V;SG;ACT	V;NFIN
kota	vila	kota	vila	N;SG	N;FEM;SG
kota	cidade	kota	cidade	N;SG	N;FEM;SG
kota	cidade	kota	cidade	N;SG	N;FEM;SG
kota	kota	kota	kota	N;SG	N;MASC;SG
pranala	link	pranala	link	N;SG	N;MASC;SG
pranala	ligação	pranala	ligação	N;SG	N;FEM;SG
karena	porque	karena	porque	CONJ	CONJ
desa	vila	desa	vila	N;SG	N;FEM;SG
desa	aldeia	desa	aldeia	N;SG	N;FEM;SG
ada	existe	ada	existir	V;SG	V;IND;SG;3;PRS;FIN
lebih	mais	lebih	mais	ADV	ADV
nama	nome	nama	nome	N;SG	N;MASC;SG
kayu	madeira	kayu	madeira	N;SG	N;FEM;SG
setelah	após	setelah	após	ADP	ADP
bahasa	língua	bahasa	língua	N;SG	N;FEM;SG
bahasa	idioma	bahasa	idioma	N;SG	N;MASC;SG
bahasa	linguagem	bahasa	linguagem	N;SG	N;FEM;SG
asteroid	asteróides	asteroid	asteróide	N	N;MASC;PL
asteroid	asteroides	asteroid	asteroide	N	N;MASC;PL
asteroid	asteróide	asteroid	asteróide	N	N;MASC;SG
asteroid	asteroide	asteroid	asteroider	N	N;MASC;SG
asteroid	asteróides	asteroid	asteróide	N	N;MASC;PL
besar	grande	besar	grande	ADJ;SG	ADJ;MASC;SG
besar	grande	besar	grande	ADJ;SG	ADJ;MASC;SG
besar	ótima	besar	bom	ADJ;SG	ADJ;FEM;SG
besar	grande	besar	grande	ADJ;SG	ADJ;MASC;SG
besar	ótimo	besar	bom	ADJ;SG	ADJ;MASC;SG
film	filme	film	filme	N;SG	N;MASC;SG
film	película	film	película	N;SG	N;FEM;SG
film	filme	film	filme	N;SG	N;MASC;SG
film	cinema	film	cinema	N;SG	N;MASC;SG
saat	saat	saat	saat	N;SG	N;MASC;SG
saat	when	saat	when	N;SG	N;MASC;SG
kelas	turma	kelas	turma	N;SG	N;FEM;SG
kelas	classe	kelas	classe	N;SG	N;FEM;SG
kelas	aula	kelas	aula	N;SG	N;FEM;SG
beberapa	algum	beberapa	algum	DET	DET;MASC;SG
kecamatan	distrito	kecamatan	distrito	N;SG	N;MASC;SG
salah	incorrecta	salah	incorrecto	N;SG	N;FEM;SG
salah	false	salah	false	N;SG	N;MASC;SG
salah	salah	salah	salah	N;SG	N;MASC;SG
negara	país	negara	país	N;SG	N;MASC;SG
negara	state	negara	state	N;SG	N;MASC;SG
negara	estado	negara	estado	N;SG	N;MASC;SG
biasanya	geralmente	biasanya	geralmente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
biasanya	habitualmente	biasanya	habitualmente	ADV	ADV
biasanya	usualmente	biasanya	usualmente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
biasanya	tipicamente	biasanya	tipicamente	ADV	ADV
biasanya	normalmente	biasanya	normalmente	ADV	ADV
kemudian	então	kemudian	então	ADV	ADV
kemudian	depois	kemudian	depois	ADV	ADV
kemudian	depois	kemudian	depois	ADV	ADV
banyak	muito	banyak	muito	ADV	ADV
kabupaten	regência	kabupaten	regência	N;SG	N;FEM;SG
kabupaten	condado	kabupaten	condar	N;SG	N;MASC;SG
