van	من	van	مِن	ADP	ADP
met	مع	met	مَعَ	ADP	ADP;ACC
uit	من	uit	مِن	ADP	ADP
uit	خارج	uit	خَارِجَ	ADP	ADP;ACC
ook	ايضا	ook	أَيضًا	ADV	ADV
ook	ايضا	ook	أَيضًا	ADV	ADV
score	النتيجة	score	نَتِيجَة	N;MASC+FEM;SG	N;NOM;DEF;SG
naam	اسم	naam	اِسم	N;MASC+FEM;SG	N;NOM;INDF;SG
naam	الاسم	naam	اِسم	N;MASC+FEM;SG	N;NOM;DEF;SG
soort	نوع	soort	نَوع	N;SG	N;NOM;INDF;SG
soort	النوع	soort	نَوع	N;SG	N;NOM;DEF;SG
soort	نوع	soort	نَوع	N;SG	N;NOM;INDF;SG
familie	عائلة	familie	عَائِلَة	N;MASC+FEM;SG	N;NOM;INDF;SG
familie	الاسرة	familie	أُسرَة	N;MASC+FEM;SG	N;NOM;DEF;SG
familie	اسرة	familie	أُسرَة	N;MASC+FEM;SG	N;NOM;INDF;SG
familie	العائلة	familie	عَائِلَة	N;MASC+FEM;SG	N;NOM;DEF;SG
gepubliceerd	نشرت	publiceren	نَشَر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
geldig	سارية	geldig	سَارِي	ADJ	ADJ;NOM;INDF;FEM;SG
geldig	صالحة	geldig	صَالِح	ADJ	ADJ;NOM;INDF;FEM;SG
over	حول	over	حَولَ	ADP	ADP;ACC
over	عن	over	عَن	ADP	ADP
dan	اذن	dan	إِذَن	ADV	ADV
plaats	مكان	plaats	مَكَان	N;MASC+FEM;SG	N;NOM;INDF;SG
plaats	المكان	plaats	مَكَان	N;MASC+FEM;SG	N;NOM;DEF;SG
onder	تحت	onder	تَحتَ	ADP	ADP;ACC
onder	تحت	onder	تَحتَ	ADP	ADP;ACC
team	فرقة	team	فِرقَة	N;NEUT;SG	N;NOM;INDF;SG
team	الفرقة	team	فِرقَة	N;NEUT;SG	N;NOM;DEF;SG
team	الفريق	team	فَرِيق	N;NEUT;SG	N;NOM;DEF;SG
team	فريق	team	فَرِيق	N;NEUT;SG	N;NOM;INDF;SG
eerste	اول	één	أَوَّل	ADJ	ADJ;NOM;INDF;MASC;SG
eerste	اولا	één	أَوَّل	ADJ	ADJ;ACC;INDF;MASC;SG
eerste	الاول	één	أَوَّل	ADJ	ADJ;NOM;DEF;MASC;SG
eerste	الاولى	één	أَوَّل	ADJ	ADJ;NOM;DEF;FEM;SG
andere	اخرى	ander	آخَر	ADJ	ADJ;NOM;INDF;FEM;SG
andere	اخرون	ander	آخَر	ADJ	ADJ;NOM;INDF;MASC;PL
andere	اخرين	ander	آخَر	ADJ	ADJ;ACC;INDF;MASC;PL
andere	الاخرون	ander	آخَر	ADJ	ADJ;NOM;DEF;MASC;PL
kan	يمكن	kunnen	أَمكَن	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
