cuarteto	kvarteta	cuarteto	kvartets	N	N;GEN;MASC;SG
corría	bija	corría	būt	V	V;FH;IND;3;POS;PST;FIN;ACT
ensino	mācīšana	ensino	mācīšana	N	N;NOM;FEM;SG
ensino	mācību	ensino	mācība	N	N;ACC;FEM;PL
informática	datoram	informática	dators	N	N;DAT;MASC;SG
informática	datoru	informática	dators	N	N;ACC;MASC;SG
informática	dators	informática	dators	N	N;NOM;MASC;SG
técnicas	paņēmieni	técnica	paņēmiens	N	N;NOM;MASC;PL
veterinarios	veterinārārstu	veterinario	veterinārārsts	N	N;ACC;MASC;SG
confesión	atzīšanās	confesión	atzīšanās	N	N;NOM;FEM;SG
loitan	cīnās	loitar	cīnīties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
loitan	ir	loitar	būt	V	V;FH;IND;3;POS;PRS;FIN;ACT
loitan	cīnīties	loitar	cīnīties	V	V;POS;REFL;NFIN
medicinas	zāles	medicina	zāle	N	N;NOM;FEM;PL
medicinas	medicīna	medicina	medicīna	N	N;NOM;FEM;SG
perden	pazaudēt	perder	pazaudēt	V	V;POS;NFIN
perden	zaudē	perder	zaudēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
perden	zaudēt	perder	zaudēt	V	V;POS;NFIN
culturas	kultūras	cultura	kultūra	N	N;NOM;FEM;PL
interpretación	interpretācijas	interpretación	interpretācija	N	N;NOM;FEM;PL
interpretación	interpretāciju	interpretación	interpretācija	N	N;ACC;FEM;SG
interpretación	interpretācijā	interpretación	interpretācija	N	N;ESS;FEM;SG
interpretación	interpretācija	interpretación	interpretācija	N	N;NOM;FEM;SG
escoitan	klausās	escoitar	klausīties	V	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
escoitan	klausoties	escoitar	klausīties	V	V;REFL;V.CVB
dinámica	dinamika	dinámica	dinamika	N	N;NOM;FEM;SG
dinámica	dinamika	dinámica	dinamika	N	N;NOM;FEM;SG
dinámica	dinamiku	dinámica	dinamika	N	N;ACC;FEM;SG
populares	populāra	popular	populāra	ADJ	ADJ;NOM;FEM;SG
populares	populārs	popular	populārs	ADJ	ADJ;NOM;MASC;SG
aumenta	būs	aumentar	būt	V	V;FH;IND;3;POS;FUT;FIN;ACT
aumenta	palielināt	aumentar	palielināt	V	V;POS;NFIN
sida	palīglīdzekļi	sida	palīglīdzeklis	N	N;NOM;MASC;PL
sida	aids	sida	aids	N	N
similar	līdzīgs	similar	līdzīgs	ADJ	ADJ;NOM;MASC;SG
similar	līdzīgas	similar	līdzīga	ADJ	ADJ;NOM;FEM;PL
similar	līdzīga	similar	līdzīga	ADJ	ADJ;NOM;FEM;SG
espectadores	skatītājiem	espectador	skatītājs	N	N;DAT;MASC;PL
espectadores	skatītājus	espectador	skatītājs	N	N;ACC;MASC;PL
espectadores	skatītāji	espectador	skatītājs	N	N;NOM;MASC;PL
saibas	zinu	saber	zināt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
saibas	zinām	saber	zināt	V	V;FH;IND;PL;1;POS;PRS;FIN;ACT
saibas	zināt	saber	zināt	V	V;POS;NFIN
garantía	garantija	garantía	garantija	N	N;NOM;FEM;SG
bambú	bambusa	bambú	bambuss	N	N;GEN;MASC;SG
falsos	aplams	falso	aplams	ADJ	ADJ;NOM;MASC;SG
pensaban	domāja	pensabar	domāt	V	V;FH;IND;3;POS;PST;FIN;ACT
pensaban	domāju	pensabar	domāt	V	V;FH;IND;SG;1;POS;PRS;FIN;ACT
pensaban	likās	pensabar	likties	V	V;FH;IND;3;POS;REFL;PST;FIN;ACT
coñecida	zināma	coñecer	zināt	V	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
coñecida	zināmi	coñecer	zināt	V	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
coñecida	zināms	coñecer	zināt	V	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
coñecida	pazīstama	coñecer	pazīt	V	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
xulgado	tiesa	xulgado	tiesa	N	N;NOM;FEM;SG
xulgado	palāta	xulgado	palātīt	N	N;NOM;FEM;SG
extensión	pagarinājumu	extensión	pagarinājums	N	N;ACC;MASC;SG
extensión	pagarināšana	extensión	pagarināšana	N	N;NOM;FEM;SG
extensión	paplašināšana	extensión	paplašināšana	N	N;NOM;FEM;SG
extensión	paplašinājums	extensión	paplašinājums	N	N;NOM;MASC;SG
extensión	pagarinājums	extensión	pagarinājums	N	N;NOM;MASC;SG
expansión	paplašināšana	expansión	paplašināšana	N	N;NOM;FEM;SG
expansión	izplešanās	expansión	izplešanās	N	N;NOM;FEM;SG
expansión	paplašināšanās	expansión	paplašināšanās	N	N;NOM;FEM;SG
azar	iespēja	azar	iespēja	N	N;NOM;FEM;SG
azar	izdevība	azar	izdevība	N	N;NOM;FEM;SG
necesitan	vajag	necesitar	vajadzēt	V	V;FH;IND;3;POS;PRS;FIN;ACT
organizacións	organizācijas	organización	organizācija	N	N;NOM;FEM;PL
individual	individuāla	individual	individuāls	ADJ	ADJ;NOM;FEM;SG
individual	individuālā	individual	individuāls	ADJ	ADJ;NOM;FEM;SG
web	mājaslapa	web	mājaslaps	N	N;NOM;FEM;SG
web	mājaslapā	web	mājaslaps	N	N;ESS;MASC;SG
web	web	web	web	N	N
web	tīmekļa	web	tīmeklis	N	N;NOM;MASC;SG
novamente	atkal	novamente	atkal	ADV	ADV
novamente	vēlreiz	novamente	vēlreiz	ADV	ADV
intres	mirkļi	intres	mirklis	N	N;NOM;MASC;PL
intres	brīžiem	intres	brīdis	N	N;DAT;MASC;PL
intres	brīži	intres	brīdis	N	N;NOM;MASC;PL
específico	specifiskas	específico	specifiska	ADJ	ADJ;NOM;FEM;PL
específico	īpašie	específico	īpašs	ADJ	ADJ;NOM;MASC;PL
ordenadores	datoriem	ordenador	dators	N	N;DAT;MASC;PL
ordenadores	datorus	ordenador	dators	N	N;ACC;MASC;PL
ordenadores	datori	ordenador	dators	N	N;NOM;MASC;PL
ordenadores	datoram	ordenador	dators	N	N;DAT;MASC;SG
ordenadores	datoru	ordenador	dators	N	N;ACC;MASC;SG
ordenadores	dators	ordenador	dators	N	N;NOM;MASC;SG
estatísticas	statistika	estatística	statistika	N	N;NOM;FEM;SG
características	pazīmes	característica	pazīme	N	N;NOM;FEM;PL
características	iezīmes	característica	iezīme	N	N;NOM;FEM;PL
características	īpašības	característica	īpašība	N	N;NOM;FEM;PL
características	raksturojums	característica	raksturojums	N	N;NOM;MASC;SG
características	raksturlielumi	característica	raksturlielums	N	N;NOM;MASC;PL
residencia	rezidence	residencia	rezidence	N	N;NOM;FEM;SG
residencia	uzturēšanās	residencia	uzturēšanās	N	N;NOM;FEM;SG
residencia	dzīvesvieta	residencia	dzīvesvieta	N	N;NOM;FEM;SG
