ve	dan	ve	dan	CONJ	CONJ
daha	lebih	daha	lebih	ADV	ADV
daha	lagi	daha	lagi	ADV	ADV
sonra	kemudian	sonra	kemudian	ADV	ADV
sonra	kemudian	sonra	kemudian	ADV	ADV
ilk	duluan	ilk	duluan		
yer	tempat	yer	tempat	N;NOM;SG;3	N;SG
yer	lokasi	yer	lokasi	N;NOM;SG;3	N;SG
bağlantılar	link	bağlantı	link	N;NOM;PL;3	N
center	pusat	center	pusat	N;NOM;SG;3	N;SG
diğer	lain	diğer	lain	ADJ	ADJ;SG
yeni	baru	yeni	baru	ADJ	ADJ;SG
her	setiap	her	setiap	DET	DET
ilgili	tertarik	ilgili	tertarik	ADJ	ADJ;SG
önemli	sorot	önemli	sorot		
madde	zat	madde	zat	N;NOM;SG;3	N;SG
madde	substansi	madde	substansi	N;NOM;SG;3	N;SG
madde	clause	madde	clause	N;NOM;SG;3	N
madde	klausul	madde	klausul	N;NOM;SG;3	N;SG
madde	matre	madde	matre	N;NOM;SG;3	N
madde	bahan	madde	bahan	N;NOM;SG;3	N;SG
madde	materi	madde	materi	N;NOM;SG;3	N;SG
madde	material	madde	material	N;NOM;SG;3	N;SG
madde	materi	madde	materi	N;NOM;SG;3	N;SG
madde	pasal	madde	pasal	N;NOM;SG;3	N;SG
madde	artikel	madde	artikel	N;NOM;SG;3	N;SG
sağlık	kesejahteraan	sağlık	kesejahteraan	N;NOM;SG;3	N;SG
sağlık	kebugaran	sağlık	kebugaran	N;NOM;SG;3	N;SG
sağlık	kedokteran	sağlık	kedokteran	N;NOM;SG;3	N;SG
sağlık	medis	sağlık	medis	N;NOM;SG;3	N;SG
sağlık	kesehatan	sağlık	kesehatan	N;NOM;SG;3	N;SG
genel	umum	genel	umum	ADJ	ADJ;SG
adı	nama	ad	nama	N;NOM;SG;3	N;SG
ocak	jan	ocak	jan		
kasım	nov	kasım	nov		
ağustos	august	ağustos	august		
önce	duluan	önce	duluan		
ekim	okt	ekim	okt		
ekim	oct	ekim	oct		
zaman	kali	zaman	kali	N;NOM;SG;3	N;SG
zaman	waktu	zaman	waktu	N;NOM;SG;3	N;SG
