снаружи	बाहर	снаружи	बाहर	ADV	ADV;NOM;MASC;SG;3
баскетбол	बास्केटबॉल	баскетбол	बास्केटबॉल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
баскетбол	बास्केट	баскетбол	बास्केट	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
предпочтение	प्राथमिकता	предпочтение	प्राथमिकता	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
предпочтение	वरीयता	предпочтение	वरीयता	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
предпочтение	वरीयता	предпочтение	वरीयता	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;3
общение	संचार	общение	संचार	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
луч	बीम	луч	बीम	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
эми	एमी	эмот	एमी	N;ANIM;NOM;FEM;SG	N;NOM;MASC;SG;3
цветок	फूल	цветок	फूल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
частная	निजी	частный	निजी	ADJ;NOM;FEM;SG	ADJ;NOM
прокурор	अभियोजक	прокурор	अभियोजक	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
арк	आर्क	арк	आर्क		
чай	चाय	чай	चाय	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
этапы	कदम	этап	कदम	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL;3
доверие	आत्मविश्वास	доверие	आत्मविश्वास	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
доверие	विश्वास	доверие	विश्वास	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
доверие	भरोसा	доверие	भरोसा	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
доверие	ट्रस्ट	доверие	ट्रस्ट	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
доверие	विश्वास	доверие	विश्वास	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
сер	सर	сер	सर	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
нос	नाक	нос	नाक	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
произношение	उच्चारण	произношение	उच्चारण	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
зерна	दाने	зерно	दाना	N;INAN;NOM;NEUT;PL	N;NOM;MASC;PL;3
поставки	आपूर्तियाँ	поставка	आपूर्ति	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;3
грудь	सीने	грудь	सीना	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
грудь	स्तन	грудь	स्तन	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
грудь	स्तन	грудь	स्तन	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
бросил	फेंका	бросить	फेंक	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
самолет	विमान	самолет	विमान	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
самолет	वायुयान	самолет	वायुयान	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
самолет	समतल	самолет	समतल	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
самолет	प्लेन	самолет	प्लेन	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
самолет	विमान	самолет	विमान	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
самолет	वायुयान	самолет	वायुयान	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
противостояние	विरोध	противостояние	विरोध	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
противостояние	विपक्ष	противостояние	विपक्ष	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
расчёт	गणना	расчет	गणना	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
